DateTime,AddedIPs,RemovedIPs
1573717610,884,0
1573739209,749,2545
1573760801,652,0
1573782382,722,0
1573804039,626,0
1573825591,683,2346
1573847238,650,0
1573868828,636,0
1573890415,949,0
1573911974,868,2324
1573933675,912,0
1573955203,1,0
1573962427,8,0
1573984043,1526,0
1574003840,930,2376
1574025436,1214,0
1574063216,953,0
1574084798,1506,2780
1574106441,1409,0
1574127995,1302,0
1574149610,1637,0
1574171363,1171,2511
1574192869,1129,0
1574214500,1034,0
1574236050,1086,0
1574257678,557,2352
1574304561,13,0
1574326102,1469,0
1574345911,0,2454
1574365684,953,0
1574387293,699,0
1574398158,290,0
1574419661,862,0
1574439514,712,2118
1574461111,49,0
1574475464,618,0
1574495354,663,0
1574516952,807,1905
1574536688,852,0
1574558360,876,0
1574579928,1009,0
1574601519,519,2130
1574610477,55,0
1574632067,570,0
1574650078,10,0
1574671750,1433,0
1574693316,721,2322
1574704124,30,0
1574725595,759,0
1574747326,478,0
1574768106,970,0
1574788727,789,2585
1574808513,823,0
1574830074,352,0
1574851696,508,0
1574864353,634,2250
1574885886,520,0
1574907501,507,0
1574929143,829,0
1574950687,516,2551
1574972275,443,0
1574993879,13,0
1575015491,889,0
1575033545,198,2263
1575049671,663,0
1575067755,482,0
1575089317,259,0
1575110896,951,0
1575132479,636,2094
1575154087,645,0
1575175668,355,0
1575190057,467,0
1575211690,698,1992
1575233248,752,0
1575254921,650,0
1575276469,908,0
1575298106,596,1957
1575319782,584,0
1575341355,16,0
1575362906,999,0
1575384693,799,2734
1575398886,84,0
1575420465,971,0
1575436679,454,0
1575456460,1094,0
1575478183,713,4032
1575510638,724,0
1575532087,642,0
1575553765,658,3291
1575575223,777,0
1575596993,792,0
1575618525,987,0
1575640103,232,2388
1575652788,460,0
1575672556,594,0
1575694221,355,0
1575715855,791,0
1575737332,584,2418
1575758922,583,0
1575780525,432,0
1575802391,493,0
1575820153,199,3294
1575834546,535,0
1575856101,466,0
1575877721,685,0
1575899306,510,4245
1575920958,248,0
1575942475,281,0
1575946103,11,0
1575967723,727,0
1575985738,84,4451
1575998307,438,0
1576018229,413,0
1576039837,362,0
1576061296,521,0
1576082899,461,2719
1576091954,98,0
1576111820,602,0
1576133302,536,0
1576154925,218,0
1576169241,358,2017
1576190877,595,0
1576212446,356,0
1576234079,315,0
1576244825,339,0
1576264683,413,0
1576286262,438,0
1576307853,470,0
1576329431,319,0
1576342055,71,0
1576363632,411,0
1576378026,29,0
1576397782,140,0
1576407099,425,0
1576428448,409,0
1576450015,323,0
1576471667,333,0
1576491418,430,0
1576513037,37,0
1576518491,296,0
1576536528,118,0
1576666556,279,0
1579776820,3540,81956
1579798303,7933,0
1579819963,2164,0
1579841490,2112,0
1579863038,1718,1
1580073360,4233,0
1580094905,1451,0
1580114707,878,0
1580136213,896,0
1580171757,284,0
1580184877,431,0
1580206468,831,0
1580228046,609,0
1580249681,646,0
1580271297,415,0
1580292865,185,0
1580310875,407,0
1580332460,590,0
1580348658,523,0
1580368458,500,0
1580390180,646,0
1580411824,523,0
1580433285,574,0
1580454864,629,0
1580476462,365,0
1580485462,228,0
1580507128,595,0
1580525066,68,0
1580546682,1271,0
1580568253,437,0
1580575483,159,0
1580597063,509,0
1580618667,227,0
1580640375,587,0
1580662029,423,0
1580683463,479,0
1580705083,75,0
1580712285,314,0
1580733979,433,0
1580755501,449,0
1580777150,348,0
1580798681,404,0
1580804082,61,0
1580825678,385,0
1580847282,332,0
1580868937,34,0
1580901788,594,0
1580921124,418,0
1580942704,410,0
1580964290,215,0
1580985900,533,0
1581007485,388,0
1581029104,374,0
1581050750,367,0
1581057940,92,0
1581079491,466,0
1581101140,441,0
1581122730,457,0
1581144457,572,0
1581171147,553,0
1581192963,478,0
1581214530,63,0
1581236185,1022,0
1581257674,189,0
1581270275,804,0
1581291055,1083,0
1581309911,431,0
1581331513,857,0
1581353148,768,0
1581374724,575,0
1581396311,519,0
1581417928,33,0
1581426924,545,0
1581448532,488,0
1581470150,528,0
1581491723,677,0
1581513405,501,52
1581540361,142,0
1581562097,766,0
1581583594,1158,0
1581605163,1012,3834
1581626817,873,0
1581648421,53,0
1581669997,783,0
1581691579,1073,0
1581706001,1021,0
1581727629,955,0
1581741988,271,0
1581763553,1140,0
1581785136,1122,0
1581806729,161,0
1581821139,1020,0
1581839100,778,0
1581860991,979,2090
1581882335,754,0
1581903927,806,0
1581925518,918,0
1581947191,787,1756
1581968713,655,0
1581990636,71,0
1581992149,4,0
1582022735,1178,36
1582044383,937,2074
1582065910,907,0
1582085733,599,0
1582107326,948,0
1582128935,312,2073
1582137965,415,0
1582157918,898,0
1582179363,750,0
1582201007,643,1369
1582222553,750,0
1582244325,146,0
1582253216,479,0
1582273079,529,0
1582291010,0,2018
1582375576,0,2055
1582458823,0,1936
1582523195,1948,0
1582544947,1929,1373
1582566372,1384,0
1582587486,148,0
1582602435,864,0
1582623978,904,0
1582645606,743,1628
1582667228,705,0
1582688817,58,0
1582710462,1414,0
1582731991,1122,1746
1582753572,1045,0
1582775172,294,0
1582796840,1062,0
1582814817,4,1922
1582836433,720,0
1582858004,712,0
1582876164,709,0
1582897591,854,1117
1582917434,828,0
1582939114,794,0
1582960645,1114,0
1582980761,0,1564
1583000196,766,0
1583021887,696,0
1583041568,15,0
1583062412,1378,2340
1583082993,807,0
1583102779,692,0
1583124827,276,0
1583149788,0,2336
1583246756,0,1995
1583288466,1878,0
1583309827,487,0
1583329557,697,1318
1583351204,641,0
1583372788,579,0
1583390816,420,0
1583412412,649,2235
1583433972,522,0
1583455589,550,0
1583477194,16,0
1583494079,601,2194
1583515038,527,0
1583534793,614,0
1583556495,14,0
1583576227,876,0
1583597822,604,2330
1583619351,550,0
1583640975,224,0
1583662573,791,0
1583684174,322,2286
1583703981,187,0
1583725554,557,0
1583745384,497,0
1583765184,530,3009
1583785087,548,0
1583806655,538,0
1583828233,613,0
1583849780,446,2911
1583869653,550,0
1583909149,12,0
1583927376,816,3104
1583949023,661,0
1583966043,583,0
1583986750,230,0
1584008163,94,0
1584029323,708,2374
1584049597,847,0
1584068453,49,0
1584087373,384,0
1584107147,996,0
1584127016,770,0
1584148693,617,0
1584170223,501,0
1584191857,603,0
1584213379,530,0
1584235020,516,0
1584256545,637,0
1584278181,175,0
1584294402,260,0
1584315635,545,0
1584326811,2,0
1584348354,873,0
1584369939,322,0
1584387971,283,1
1584409749,547,0
1584427600,196,0
1584449238,738,0
1584470846,550,0
1584492443,544,0
1584514006,482,0
1584535591,530,0
1584557221,530,0
1584577450,63,0
1584597597,404,0
1584611210,576,0
1584630993,453,0
1584652651,472,0
1584672502,10,0
1584694079,734,0
1584715683,123,0
1584726535,469,0
1584747758,469,0
1584769693,345,0
1584787643,202,0
1585063384,2480,0
1585084675,964,0
1585106291,59,0
1585109997,213,0
1585131640,756,0
1585153290,405,0
1585158635,80,0
1585180032,470,0
1585201541,416,0
1585266775,1291,0
1585306084,616,0
1585327887,588,0
1585349304,599,0
1585364480,512,0
1585385313,565,0
1585406886,514,0
1585428465,465,0
1585456771,213,0
1585477977,634,0
1585498652,459,0
1585518474,461,0
1585534860,38,0
1585556362,265,0
1585576311,491,0
1585596208,435,0
1585617977,163,0
1585638220,511,0
1585659117,446,0
1585686400,391,0
1585706932,446,0
1585727312,402,0
1585749099,419,0
1585770627,18,0
1585788927,403,0
1585801303,21,0
1585820975,857,0
1585842566,498,0
1585864141,510,0
1585896515,321,0
1585918107,566,0
1585938172,494,0
1585959704,466,0
1585981248,524,0
1586003016,399,0
1586018980,29,0
1586040504,420,0
1586121566,1152,0
1586141337,501,0
1586161205,455,0
1586188248,343,0
1586207980,329,0
1586229632,154,0
1586251376,365,0
1586288993,281,0
1586309012,368,0
1586328686,264,0
1586348651,422,0
1586370179,496,0
1586391664,351,0
1586447414,899,0
1586465551,474,0
1586487069,399,0
1586508657,439,0
1586528786,452,0
1586550200,433,0
1586577299,29,0
1586598604,759,0
1586620159,420,0
1586641933,506,0
1586663450,55,0
1586681419,270,0
1586695819,629,0
1586717387,165,0
1586739073,810,0
1586760685,995,0
1586780373,652,0
1586801986,619,0
1586839992,539,0
1586861589,573,0
1586882993,428,0
1586901021,437,0
1586921042,13,0
1586942447,734,0
1586964094,360,0
1586985655,435,0
1587007373,145,0
1587027035,13,0
1587039656,526,0
1587059482,454,0
1587081093,459,0
1587102642,363,0
1587124195,437,0
1587145845,414,0
1587167388,59,0
1587187305,300,0
1587207232,352,0
1587228677,457,0
1587246585,371,0
1587264648,378,0
1587286358,523,0
1587307766,312,0
1587329349,340,0
1587350943,207,0
1587365503,630,0
1587387076,719,0
1587408583,554,0
1587430472,419,0
1587451854,236,0
1587471641,470,0
1587493279,360,0
1587514868,805,0
1587536563,804,0
1587558374,145,0
1587577892,335,0
1587592400,478,0
1587612179,469,0
1587633860,447,0
1587655068,152,0
1588182701,3676,0
1588204286,1413,0
1588225886,213,0
1588247486,527,0
1588265514,552,0
1588283502,618,0
1588305200,496,0
1588317468,229,0
1588359019,812,0
1588380709,458,1
1588387898,20,0
1588409415,304,0
1588429193,520,0
1588449024,443,0
1588470657,469,0
1588492200,286,0
