DateTime,AddedIPs,RemovedIPs
1583060606,1,0
1583067809,0,1
1583075007,1,0
1583093027,0,1
1583096605,1,0
1583103808,0,1
1583107386,1,0
1583129012,0,1
1583132617,1,0
1583139816,0,1
1583147018,0,1
1583150617,1,0
1583165014,1,0
1583193784,0,1
1583201020,1,1
1583208218,0,1
1583211802,1,0
1583215404,0,1
1583233404,1,0
1583237013,1,0
1583240609,0,1
1583244215,1,0
1583251406,1,1
1583255009,0,1
1583262205,1,0
1583265818,1,0
1583273012,0,1
1583276618,0,1
1583280192,2,0
1583294607,0,2
1583298211,1,1
1583301814,0,1
1583305403,3,0
1583319804,0,2
1583323393,1,0
1583326998,1,0
1583341409,0,2
1583352209,1,0
1583355810,1,0
1583362999,0,1
1583366611,1,0
1583377404,0,1
1583381006,0,2
1583388202,2,0
1583395410,1,0
1583402617,0,1
1583417022,0,1
1583420616,1,0
1583431415,1,0
1583445815,0,1
1583449412,1,0
1583474612,0,1
1583478204,1,0
1583492603,0,1
1583496202,1,1
1583503391,1,0
1583535808,0,2
1583539401,1,0
1583568197,1,0
1583582595,0,1
1583597001,0,1
1583600603,1,0
1583604199,1,0
1583640214,0,1
1583643806,1,0
1583651012,0,1
1583658224,0,1
1583665420,1,0
1583669008,1,0
1583683404,0,2
1583687013,1,1
1583694208,1,0
1583701407,1,0
1583726607,0,1
1583730210,1,0
1583741004,0,1
1583744605,1,1
1583755408,1,2
1583759014,1,1
1583762606,1,0
1583769810,1,0
1583809410,0,1
1583813000,0,1
1583816608,2,0
1583831002,0,1
1583834608,1,0
1583838205,0,1
1583845410,0,1
1583849008,0,1
1583852600,2,0
1583856190,1,0
1583859805,1,0
1583863410,0,1
1583867007,0,1
1583870603,1,0
1583899409,0,1
1583913806,1,1
1583928203,0,1
1583931807,2,0
1583996615,0,1
1584000218,1,0
1584014616,0,1
1584021812,1,0
1584029017,0,1
1584032623,1,0
1584047017,0,1
1584054218,0,1
1584057794,2,0
1584133410,0,1
1584140615,1,0
1584158613,0,1
1584162212,1,1
1584165813,1,1
1584169415,1,0
1584176614,0,1
1584180214,1,0
1584191005,0,1
1584194614,1,0
1584205409,0,2
1584208997,1,0
1584219807,1,0
1584259428,0,2
1584266608,2,0
1584273809,1,0
1584284608,0,1
1584291812,0,1
1584302619,1,0
1584309807,0,1
1584317012,1,0
1584331413,0,1
1584335001,2,0
1584342204,0,1
1584353006,0,1
1584360204,1,0
1584385404,0,1
1584392597,1,0
1584396198,0,1
1584399808,1,0
1584425003,0,1
1584428610,0,1
1584432199,0,1
1584435805,2,0
1584446613,1,0
1584450222,0,1
1584453815,0,1
1584457421,1,0
1584464619,1,0
1584468223,0,1
1584471813,1,0
1584489821,0,1
1584504225,1,1
1584525820,1,0
1584547416,0,1
1584554622,0,2
1584558216,2,0
1584561812,1,0
1584597814,0,1
1584601419,1,0
1584633809,0,2
1584637417,1,0
1584644614,1,0
1584659024,0,1
1584662600,1,0
1584669808,0,1
1584673417,1,0
1584687821,0,1
1584695020,1,0
1584756213,0,1
1584759809,1,0
1584770617,0,1
1584774227,0,1
1584777815,0,1
1584781413,2,0
1584810206,0,1
1584824619,0,1
1584828214,1,0
1584842620,1,0
1584893022,0,2
1584900215,0,1
1584903822,3,0
1584918226,0,1
1584921825,1,1
1584932613,1,0
1584950613,0,1
1584957817,1,0
1584986607,0,1
1585001019,1,0
1585027819,0,1
1585052572,0,1
1585061167,1,0
1585105410,0,1
1585113109,1,0
1585127021,0,2
1585130626,2,0
1585199022,0,1
1585206222,1,0
1585238629,0,1
1585256631,0,1
1585267429,1,1
1585271026,1,0
1585296237,1,0
1585314228,0,1
1585317821,1,1
1585325031,1,0
1585465429,0,2
1585469026,1,0
1585476232,1,0
1585494234,0,1
1585497832,1,0
1585533829,0,1
1585544635,1,0
1585555433,0,1
1585559045,1,0
1585573439,0,1
1585584240,1,0
1585587834,0,1
1585595032,1,0
1585616636,0,1
1585641868,1,0
1585663464,0,2
1585667060,1,0
1585670630,1,2
1585674225,2,0
1585685059,0,1
1585699465,0,2
1585706660,3,0
1585721068,0,1
1585724765,1,0
1585739150,0,1
1585746354,1,1
