DateTime,AddedIPs,RemovedIPs
1579939275,0,1
1579942877,0,1
1579950076,1,1
1579953678,1,0
1579960875,1,0
1579964477,0,1
1579968076,1,0
1580000475,0,1
1580018475,1,1
1580040076,1,0
1580043675,0,1
1580047275,1,0
1580086878,0,1
1580094075,1,0
1580101277,0,1
1580112075,1,0
1580126476,0,1
1580144476,1,0
1580162477,0,1
1580166074,0,1
1580169679,1,0
1580173278,1,0
1580184077,0,1
1580194877,0,1
1580209276,1,0
1580212874,1,0
1580238077,0,1
1580241675,0,1
1580259682,1,0
1580270481,1,0
1580288482,0,1
1580295683,1,0
1580313683,0,1
1580335281,1,0
1580349678,0,1
1580353275,1,1
1580356875,1,0
1580371275,0,1
1580392876,1,0
1580425275,0,2
1580428878,1,0
1580446876,1,0
1580511675,0,2
1580518878,1,0
1580522476,0,1
1580529677,1,0
1580601678,0,1
1580605276,1,0
1580616077,0,1
1580637675,0,1
1580648474,1,0
1580659278,1,0
1580666475,0,1
1580673676,1,0
1580698871,0,1
1580706069,1,0
1580839277,0,1
1580850075,1,0
1580868074,0,1
1580871678,1,0
1580936475,0,1
1580940077,0,1
1580958074,1,0
1580968877,1,0
1580986877,0,1
1580994076,1,0
1581040875,0,1
1581044475,1,0
1581055277,0,1
1581073277,1,0
1581105677,0,1
1581109275,1,0
1581123677,0,1
1581138078,1,0
1581141677,0,1
1581159675,1,0
1581192077,0,1
1581199281,1,0
1581224471,0,1
1581231675,1,0
1581249671,0,1
1581253271,0,1
1581256870,1,0
1581267670,1,0
1581285672,0,1
1581289271,1,0
1581314470,0,1
1581321671,1,0
1581328872,0,1
1581332472,1,0
1581346871,0,1
1581350470,1,0
1581404478,0,1
1581408076,1,0
1581429677,0,1
1581454877,1,0
1581469276,0,1
1581476477,0,1
1581483676,1,0
1581487276,1,0
1581498074,0,1
1581501674,1,0
1581516076,0,1
1581519677,1,0
1581555675,0,1
1581559277,1,0
1581580877,0,1
1581588077,1,0
1581602477,0,1
1581616875,1,0
1581645677,0,1
1581649276,1,0
1581663677,0,1
1581667277,1,0
1581706876,0,1
1581714076,1,0
1581760875,0,1
1581764475,1,0
1581778877,0,1
1581782474,1,0
1581789681,0,1
1581822072,0,1
1581829271,1,0
1581832869,1,0
1581847271,0,1
1581850870,1,0
1581890474,0,1
1581904870,0,1
1581908469,1,0
1581922871,1,1
1581930071,1,0
1581944472,0,1
1581948072,1,0
1581966071,0,1
1581969671,1,1
1581976871,1,0
1581984073,0,1
1581987679,1,0
1581991277,0,1
1582005677,1,0
1582012877,0,1
1582016475,1,0
1582034477,0,1
1582038075,1,0
1582045275,0,1
1582052477,1,0
1582077675,0,1
1582106477,0,1
1582110076,1,0
1582117273,1,0
1582196475,0,1
1582207276,1,0
1582228875,0,1
1582232477,1,0
1582239677,0,1
1582250475,1,0
1582293677,0,1
1582297278,1,0
1582311676,0,1
1582329677,1,0
1582344076,0,1
1582351277,1,0
1582358476,0,1
1582365675,1,0
1582376475,0,1
1582401677,1,0
1582408877,0,1
1582416077,1,1
1582419672,1,0
1582441276,0,1
1582448471,1,0
1582470070,0,1
1582477271,1,0
1582491671,0,1
1582513272,1,0
1582527672,0,1
1582534871,1,0
1582574471,0,1
1582585271,1,1
1582592475,1,0
1582599675,0,1
1582614077,1,1
1582621276,1,0
1582642877,0,1
1582646475,1,0
1582653677,0,1
1582657277,1,0
1582671677,0,1
1582675276,1,0
1582696878,0,1
1582704077,1,0
1582718477,0,1
1582725675,1,0
1582765279,0,2
1582776083,1,0
1582804881,1,0
1582819282,0,1
1582826479,1,0
1582830081,0,1
1582833681,1,0
1582840879,0,1
1582848084,0,1
1582855282,1,0
1582862483,1,0
1582873281,0,1
1582887681,1,0
1582912879,0,1
1582927279,0,1
1582934487,2,0
1583002881,0,1
1583013683,1,0
1583082077,0,1
1583089278,1,0
1583215271,0,1
1583229670,1,0
1583244071,0,1
1583247671,1,0
1583265671,0,1
1583269271,1,0
1583272871,0,1
1583276471,1,0
1583305275,0,2
1583308876,1,0
1583316077,1,0
1583330479,0,1
1583355677,1,0
1583380874,0,1
1583384477,1,0
1583478075,0,1
1583481676,1,0
1583496077,0,1
1583524878,1,0
1583571677,0,1
1583578880,1,0
1583622077,0,1
1583636476,1,0
1583676077,0,1
1583690477,1,0
1583758872,0,1
1583769671,1,0
1583805671,0,1
1583816471,1,0
1583845269,0,1
1583848871,1,0
1583870471,0,1
1583881271,1,1
1583899277,1,1
1583913677,1,0
1583924476,0,1
1583928075,1,1
1583935278,1,0
1583964076,0,1
1583967674,1,0
1584028876,0,1
1584068474,1,0
1584108077,0,1
1584115276,1,0
1584190875,0,1
1584198074,1,0
1584208873,0,1
1584212477,1,0
1584216075,0,1
1584226876,1,0
1584248477,0,1
1584252078,1,0
1584266476,0,1
1584270078,1,0
1584284476,0,1
1584291675,1,0
1584352871,0,1
1584367271,1,0
1584381673,0,1
1584388872,0,1
1584392472,1,0
1584396072,1,0
1584410471,0,1
1584432072,1,0
1584435670,0,1
1584446471,0,1
1584450073,1,0
1584464471,1,0
1584504076,0,1
1584507678,1,0
1584568877,0,1
1584594075,1,0
1584612077,0,1
1584630077,1,0
1584673276,0,1
1584676877,1,0
1584684076,0,1
1584687676,1,0
1584698475,0,1
1584716477,1,0
1584763277,0,1
1584781277,1,0
1584810076,0,1
1584813678,1,0
1584828076,0,1
1584842477,1,0
1584882076,0,1
1584885677,1,0
1584907277,0,1
1584910875,1,0
1585008077,0,1
1585015276,1,0
1585034778,0,2
1585037627,0,1
1585062081,1,0
1585076476,2,0
1585090876,0,1
1585098078,1,0
1585123285,0,1
1585134085,1,0
1585159287,0,1
1585170087,1,0
1585184487,0,1
1585191685,1,0
1585216887,0,1
1585238485,1,0
1585296085,0,1
1585303285,1,0
1585335687,0,1
1585346488,1,0
1585360886,0,1
1585386084,1,0
1585400488,0,1
1585407689,1,0
1585422087,0,1
1585425685,1,0
1585443685,0,1
1585447287,1,0
1585479690,0,1
1585483293,1,0
1585522887,0,1
1585555293,1,0
1585569689,0,1
1585573288,1,0
1585602091,0,1
1585605690,1,0
1585630890,0,1
1585638100,1,0
1585652494,0,1
1585656095,1,0
1585674087,0,1
1585677694,1,0
1585681293,0,1
1585688495,1,0
1585710095,0,1
1585713697,1,0
1585742501,0,1
1585756900,1,0
1585764101,0,1
1585771298,0,1
1585778502,1,0
1585792895,1,1
1585796496,1,0
1585810896,0,1
1585825295,0,1
1585832494,1,0
1585850498,1,0
1585872098,0,2
1585879296,1,0
1585886493,1,0
1585900895,0,1
1585908093,1,0
1585915303,0,1
1585933293,1,0
1585936898,0,1
1585947658,1,0
1585965659,0,1
1585987256,1,0
1586059256,0,1
1586070058,1,0
1586138454,0,1
1586145654,1,0
1586188856,0,1
1586206855,1,0
1586296856,0,1
1586300457,1,0
1586314854,0,1
1586340056,1,0
1586368857,0,1
1586376056,1,0
1586390456,0,1
1586401256,1,0
1586426457,0,1
1586448056,1,0
1586494857,0,1
1586502056,1,0
1586527257,0,1
1586530857,1,0
1586559656,0,1
1586563256,1,0
1586577656,0,1
1586599255,1,0
1586613656,0,1
1586628058,1,0
1586674856,0,1
1586678456,1,0
1586685656,0,1
1586696455,1,0
1586710856,0,1
1586721656,1,0
1586768456,0,1
1586775654,1,1
1586786456,1,0
1586790057,0,1
1586818855,1,0
1586851254,0,2
1586854856,1,0
1586865655,1,0
1586883657,0,1
1586890856,1,0
1586901654,0,1
1586908858,0,1
1586912456,1,0
1586923258,1,0
1586962858,0,1
1586973657,1,0
1587016857,0,1
1587024056,1,0
1587038456,0,1
1587045656,1,0
1587067254,0,1
1587074455,1,0
1587088857,0,1
1587099658,0,1
1587106856,1,0
1587114057,1,0
1587128456,0,1
1587160856,1,0
1587175256,0,1
1587186056,1,0
1587204056,0,1
1587225655,1,0
1587240056,0,1
1587268854,1,0
1587326456,0,1
1587351656,1,0
1587405658,0,1
1587409257,1,0
1587423656,0,1
1587448858,1,0
1587502854,0,1
1587510058,1,0
1587556857,0,1
1587560456,1,0
1587625256,0,1
1587643254,1,0
1587661256,0,1
1587664854,1,0
1587693657,0,1
1587700856,1,0
1587715256,0,1
1587736854,1,0
1587751257,0,2
1587754855,1,0
1587805257,1,0
1587823257,0,1
1587837656,1,0
1587852054,0,1
1587855656,0,1
1587859254,2,0
1587873656,0,1
1587877257,1,0
1587888055,0,1
1587891656,1,0
1587916856,0,1
1587924056,1,0
1587952856,0,1
1587956458,1,0
1587970857,0,1
1587978055,1,0
1587996056,0,1
1588006856,1,0
1588035656,0,1
1588046456,1,0
1588068056,0,1
1588075256,1,0
1588100456,0,1
1588129257,1,0
1588143656,0,1
1588150858,1,0
1588172456,0,1
1588176057,1,1
1588222856,1,0
1588262456,0,1
1588280455,1,0
1588294857,0,1
1588312856,1,0
1588320056,1,0
1588327256,0,1
1588366853,0,1
1588374054,1,0
1588417257,0,1
1588420855,1,0
1588431656,0,1
1588435257,0,1
1588438854,1,0
1588467656,1,0
