DateTime,AddedIPs,RemovedIPs
1577277157,6,409
1577299213,13,955
1577321066,12,986
1577342911,11,766
1577364991,6,19
1577397875,11,45
1577419936,9,21
1577441793,9,12
1577463890,31,11
1577485945,13,15
1577508020,15,21
1577530093,6,5620
1577551934,16,4293
1577574041,14,24
1577596108,14,28
1577618168,6,30
1577640282,17,11
1577662333,9,16
1577684412,35,356
1577706277,368,736
1577728328,719,18
1577750190,25,98
1577772078,922,20
1577794386,21,18
1577816426,34,12
1577838739,31,6
1577860612,40,10
1577882653,54,7
1577904729,69,28
1577926843,20,6
1577949163,35,12
1577971219,5257,19
1577993062,9542,4
1578015163,30,12
1578037209,17,30
1578059064,21,30
1578080912,26,6
1578102991,21,11
1578124875,22,9
1578146933,23,3
1578168972,25,11
1578191071,24,7
1578213148,24,7
1578235001,41,238
1578257055,51,201
1578279130,62,370
1578301263,37,23
1578323118,25,11
1578345175,21,12
1578367452,36,817
1578389555,50,12
1578411611,3972,20
1578433694,19,20
1578455560,17,13
1578477706,23,22
1578499730,87,37
1578521781,719,12
1578543630,21,22
1578565697,893,14
1578587543,3647,6562
1578609615,2292,14
1578631472,11,9
1578653325,23,13
1578675398,15,15
1578697506,19,16
1578720075,16,11
1578742340,17,23
1578764190,10,32
1578786039,32,16
1578808094,14,26
1578829943,8,42
1578851801,16,35
1578873678,16,161
1578895709,118,290
1578917558,285,488
1578939627,480,16
1578961697,6,22
1578983563,12,39
1579005610,76,8875
1579027472,225,318
1579049313,247,10
1579071366,64,15
1579093252,69,15
1579115312,15,780
1579137371,10,12
1579159449,10,16
1579181304,14,3605
1579203159,13,5931
1579225233,14,389
1579247316,14,27
1579269158,9,26
1579291227,12,20
1579313411,17,17
1579335392,20,24
1579357454,8,15
1579379297,347,18
1579401390,3226,24
1579423454,5891,9
1579445308,1102,9
1579467412,10,67
1579489730,10,10
1579511777,71,10
1579533852,17,23
1579555710,10,7
1579577560,12,3
1579599612,11,14
1579621587,7391,211
1579643542,66,216
1579676667,20,209
1579698746,10,69
1579720824,10,17
1579742891,6,7
1579764778,8,14
1579786841,150,15
1579808891,232,12
1579830966,201,8
1579864127,102,16
1579886171,27,4
1579908014,10,6
1579929864,10,13
1579951938,12,10
1579974035,7,11
1579996094,10,1106
1580018170,4,5947
1580040047,216,3437
1580062107,281,9
1580084176,376,162
1580106019,12,2107
