DateTime,AddedIPs,RemovedIPs
1587504032,9,6
1587505932,5,2
1587507861,1,2
1587509769,3,8
1587511723,3,4
1587514595,7,4
1587516490,1,6
1587518436,2,5
1587520342,8,4
1587522253,3,5
1587524184,8,4
1587526104,0,4
1587528968,6,7
1587530888,6,2
1587532849,3,3
1587534750,4,4
1587536665,2,3
1587539784,7,8
1587541692,2,9
1587543611,4,3
1587545535,8,5
1587547459,4,1
1587549370,1,2
1587551290,7,5
1587554187,7,4
1587556091,3,4
1587558056,2,5
1587560063,5,4
1587562091,1,2
1587564979,8,43
1587566900,2,5
1587568811,5,5
1587570750,4,5
1587572664,4,2
1587574568,3,7
1587576492,4,1
1587579412,5,3
1587581299,0,5
1587583233,2,4
1587585128,5,4
1587587063,11,3
1587588968,2,6
1587590894,2,10
1587593768,5,3
1587595697,2,2
1587597610,2,2
1587599530,2,6
1587601483,7,2
1587603368,5,3
1587605288,4,5
1587608190,2,5
1587610090,1,7
1587612265,0,3
1587614167,5,3
1587616086,3,5
1587617901,2,6
1587619951,5,5
1587621876,1,2
1587623776,5,4
1587625714,3,4
1587627628,4,4
1587629534,3,2
1587631468,3,11
1587633375,2,5
1587635294,5,2
1587637223,3,6
1587639168,2,5
1587641064,4,7
1587642977,3,2
1587644890,3,4
1587647783,6,6
1587649687,3,6
1587651630,4,6
1587653528,4,0
1587655460,15,6
1587657365,4,3
1587659297,5,3
1587661239,0,3
1587663132,0,4
1587665068,2,3
1587666973,3,0
1587668894,6,2
1587670835,3,3
1587672775,3,10
1587674652,4,2
1587676577,3,2
1587678488,2,5
1587680418,3,1
1587682331,3,3
1587684250,4,3
1587686181,2,2
1587688087,6,6
1587690032,12,5
1587691949,3,4
1587694111,3,1
1587696012,4,2
1587697932,1,0
1587699861,3,4
1587701768,6,3
1587703692,5,4
1587705618,4,5
1587707534,5,1
1587709450,6,3
1587711377,2,5
1587713287,3,4
1587715282,2,4
1587717134,5,1
1587719304,6,3
1587721245,12,4
1587723133,2,3
1587725062,4,3
1587727256,3,5
1587729137,5,3
1587731066,8,2
1587732978,4,5
1587734829,3,2
1587736858,2,6
1587738734,5,6
1587740657,9,16
1587742580,4,1
1587744503,2,6
1587746427,6,2
1587748340,5,0
1587750253,4,2
1587752176,4,0
1587754116,1,5
1587756013,4,4
1587757947,1,4
1587759854,6,1
1587761794,7,3
1587763726,3,5
1587765635,3,3
1587767573,3,0
1587769465,1,3
1587771372,0,3
1587773304,4,6
1587775211,3,7
1587777373,6,6
1587779293,3,5
1587781223,6,2
1587783139,6,3
1587785051,4,1
1587786980,2,5
1587788892,4,5
1587791775,5,7
1587793691,1,5
1587795629,5,5
1587797550,2,4
1587799452,0,2
1587801383,7,1
1587803290,4,5
1587805251,8,5
1587807196,10,9
1587809084,4,4
1587810972,4,4
1587812914,2,2
1587814831,3,3
1587816748,2,6
1587818651,5,7
1587820571,5,2
1587822500,5,4
1587824411,2,2
1587826333,1,8
1587828265,5,7
1587830173,4,2
1587832091,4,6
1587834969,6,5
1587836923,3,3
1587838809,2,5
1587842664,3,6
1587844577,2,0
1587846489,7,4
1587848461,4,7
1587850338,1,2
1587852296,2,3
1587854183,0,3
1587856097,5,1
1587858014,4,0
1587859947,4,5
1587861851,2,3
1587863771,3,5
1587865698,3,2
1587867617,3,6
1587869534,5,6
1587871465,3,7
1587873368,1,2
1587875290,10,2
1587877240,5,4
1587879136,4,3
1587881302,8,5
1587883211,2,2
1587885146,4,1
1587887074,3,6
1587888968,2,5
1587890899,1,7
1587892810,3,12
1587894761,15,4
1587896659,3,3
1587898569,2,5
1587900778,6,2
1587902665,0,1
1587904834,0,6
1587906750,1,5
1587908782,5,4
1587910925,38,2
1587912731,7,1
1587914661,3,5
1587916568,2,4
1587918511,4,3
1587921380,5,6
1587923288,1,4
1587925244,9,2
1587927130,5,1
1587929055,5,2
1587930977,2,2
1587932889,2,8
1587935792,6,6
1587937691,2,1
1587939613,5,1
1587941542,1,3
1587943450,14,3
1587945368,3,6
1587947289,5,2
1587949439,3,3
1587951373,4,3
1587953551,3,6
1587955452,3,3
1587957370,1,4
1587959297,7,2
1587961207,3,3
1587963149,3,7
1587967254,7,14
1587969147,6,3
1587971062,4,4
1587972971,10,2
1587975149,1,3
1587977052,10,2
1587978972,5,2
1587980891,2,14
1587982826,6,4
1587984745,3,3
1587986653,1,6
1587988592,272,0
1587990488,1,0
1587993370,2,4
1587995289,7,2
1587997219,5,33
1587999133,3,12
1588001063,4,2
1588002970,4,4
1588004910,1,3
1588006845,9,4
1588008735,5,2
1588010668,2,5
1588012584,4,6
1588014492,3,5
1588016412,5,5
1588018346,5,2
1588020250,3,5
1588022171,1,1
1588024100,3,1
1588026012,1,5
1588027932,2,1
1588029863,2,14
1588031771,4,4
1588033715,5,6
1588036684,2,2
1588038512,4,7
1588040424,3,1
1588042341,3,3
1588044263,3,5
1588046169,7,3
1588048121,5,5
1588051011,4,1
1588052907,4,4
1588054812,4,5
1588056734,5,5
1588058664,6,10
1588060573,5,1
1588062492,6,2
1588065374,11,11
1588067306,5,2
1588069212,4,6
1588071133,2,4
1588073087,4,2
1588075027,9,270
1588076896,2,1
1588079837,5,2
1588081701,3,6
1588083508,4,6
1588085541,3,2
1588087691,5,5
1588090579,5,5
1588092515,4,8
1588094425,4,1
1588096333,4,6
1588098256,5,5
1588100183,5,4
1588102115,1,5
1588105217,17,5
1588107131,4,3
1588109048,8,2
1588110976,7,2
1588112888,7,2
1588115767,11,3
1588117685,3,1
1588119635,4,7
1588121533,8,1
1588123462,2,2
1588125370,7,5
1588127293,3,2
1588130169,6,5
1588132114,2,5
1588134012,4,3
1588135932,6,4
1588137865,2,2
1588139768,1,6
1588141713,1,8
1588143673,2,5
1588145541,11,8
1588147705,8,5
1588149616,4,6
1588151558,2,7
1588153453,9,5
1588155615,14,4
1588157549,12,1
1588159453,8,4
1588161368,7,9
1588163554,9,2
1588165475,2,2
1588167411,9,4
1588169311,6,4
1588171225,5,3
1588173381,13,6
1588175306,2,5
1588177212,3,1
1588179148,10,5
1588181055,3,4
1588182989,9,4
1588184892,3,5
1588187771,6,3
1588189706,4,3
1588191621,7,12
1588193532,9,3
1588195454,7,7
1588197381,4,4
1588199289,5,6
1588201238,3,6
1588203148,5,4
1588205059,4,3
1588206973,8,6
1588208904,2,5
1588210828,4,4
1588212749,5,8
1588214651,2,1
1588216587,2,2
1588218490,4,2
1588220416,7,5
1588222341,5,6
1588224253,3,3
1588226229,3,0
1588228091,3,1
1588230040,7,2
1588231940,2,15
1588233856,6,6
1588235782,4,5
1588237698,4,3
1588239614,5,9
1588241549,7,9
1588243454,6,17
1588245611,4,9
1588247530,2,8
1588249491,5,5
1588251380,2,5
1588253292,5,6
1588255461,4,11
1588257374,1,4
1588259324,1,10
1588261216,1,7
1588263164,6,4
1588265052,10,5
1588267212,4,7
1588269145,3,12
1588271055,4,3
1588272970,3,9
1588275417,153,3
1588277304,3,5
1588279216,3,8
1588281148,6,8
1588283051,2,9
1588285258,6,6
1588287130,2,3
1588289064,2,5
1588290969,3,2
1588292893,1,7
1588295766,13,5
1588297697,4,5
1588299634,4,4
1588301532,5,3
1588303461,3,1
1588305411,5,6
1588307322,3,9
1588310178,6,5
1588312348,8,3
1588314252,8,4
1588316208,4,9
1588318116,3,3
1588320037,1,7
1588321949,0,4
1588323868,3,5
1588325778,2,4
1588327732,3,9
1588329855,1,6
1588331773,13,4
1588333700,4,2
1588335613,7,6
1588337529,0,3
1588339461,1,5
1588341389,2,3
1588343288,4,3
1588345335,11,2
1588347383,3,5
1588349315,1,5
1588351249,6,10
1588353140,0,2
1588355062,0,3
1588356975,1,3
1588359135,2,3
1588361053,2,90
1588362983,2,63
1588364892,3,4
1588366855,2,5
1588368754,2,3
1588370672,6,3
1588372586,3,4
1588374503,6,2
1588376417,0,2
1588378351,2,2
1588380254,4,5
1588382170,2,7
1588384101,1,5
1588386015,5,2
1588387945,5,6
1588389871,2,3
1588391772,3,5
1588393694,4,3
1588396584,11,5
1588398490,1,6
1588400414,2,8
1588402343,2,4
1588404255,1,2
1588406181,3,1
1588408092,2,0
1588410975,10,3
1588412907,2,4
1588414824,3,2
1588416745,2,2
1588418666,4,12
1588420580,1,4
1588422500,4,6
1588424468,2,0
1588426339,9,1
1588428282,1,1
