DateTime,AddedIPs,RemovedIPs
1587315131,1,2
1587317320,3,1
1587319311,3,0
1587321148,4,0
1587323078,2,2
1587324974,0,5
1587326909,2,0
1587328816,1,1
1587330994,1,6
1587332904,2,2
1587334834,1,1
1587336772,3,0
1587338662,1,4
1587340570,1,0
1587342492,1,2
1587345372,1,3
1587347307,1,3
1587349213,2,0
1587351137,3,1
1587353116,1,0
1587356886,1,1
1587359783,1,0
1587361702,0,2
1587363636,1,0
1587365530,3,1
1587367511,1,0
1587369465,0,1
1587373510,1,1
1587377333,0,1
1587381105,0,1
1587383124,0,1
1587385387,1,4
1587387409,2,0
1587389711,0,1
1587391969,1,1
1587393876,0,2
1587396035,3,0
1587397946,1,0
1587399853,3,2
1587401795,1,2
1587403992,1,2
1587405968,1,4
1587407814,3,2
1587411911,0,2
1587413789,1,3
1587417611,0,1
1587419528,2,3
1587421472,2,1
1587423370,2,2
1587425291,2,1
1587428474,1,2
1587430414,1,0
1587432253,1,0
1587436233,3,1
1587438405,1,3
1587440411,0,3
1587442343,1,1
1587444256,2,0
1587448099,1,0
1587450008,1,1
1587451928,0,3
1587453881,0,1
1587455767,0,3
1587460610,2,2
1587464424,1,0
1587466342,1,0
1587468282,9,1
1587472092,1,1
1587475216,1,1
1587477134,1,0
1587479060,0,1
1587480969,2,1
1587482889,1,1
1587485841,0,8
1587487706,1,1
1587489612,1,2
1587491552,2,2
1587493462,0,3
1587495374,1,0
1587497574,1,0
1587499474,1,1
1587503590,3,0
1587505454,3,1
1587507380,0,2
1587509300,2,1
1587511215,5,3
1587513158,1,0
1587515060,2,0
1587516971,2,1
1587521778,1,0
1587523692,1,1
1587525623,2,0
1587527550,0,1
1587529456,1,0
1587531382,0,2
1587533293,1,1
1587535293,3,1
1587537259,2,1
1587539318,1,0
1587543149,1,1
1587545064,3,0
1587546974,1,2
1587550815,3,1
1587554660,0,4
1587556579,4,1
1587558566,1,1
1587561617,1,1
1587563558,1,0
1587565466,2,0
1587567372,1,1
1587569292,3,5
1587572184,1,1
1587576009,1,2
1587577932,3,2
1587581767,2,1
1587585731,3,1
1587587536,2,0
1587589498,2,2
1587591380,0,3
1587593291,3,2
1587595212,1,1
1587597141,4,3
1587599053,2,1
1587600977,1,3
1587602915,2,2
1587604809,4,0
1587608652,1,1
1587610571,2,1
1587612486,2,2
1587615642,0,1
1587617903,2,0
1587619954,0,1
1587621891,0,2
1587623779,0,2
1587625716,0,2
1587629536,0,2
1587631471,0,3
1587633382,0,2
1587635296,2,0
1587637226,1,3
1587639171,3,0
1587642980,1,4
1587644893,2,1
1587646964,2,2
1587648971,2,1
1587652862,2,0
1587654767,0,4
1587656693,0,1
1587658585,1,1
1587660520,1,1
1587664344,2,3
1587666255,2,0
1587668180,0,1
1587670104,1,0
1587673271,2,4
1587675137,2,1
1587677095,2,1
1587678979,2,0
1587680888,3,3
1587683767,1,7
1587685689,4,1
1587687638,4,1
1587689531,1,1
1587691474,0,3
1587693407,3,0
1587698170,0,1
1587700088,0,1
1587702019,1,0
1587703927,0,3
1587705849,0,1
1587709687,1,0
1587711657,0,3
1587715376,1,1
1587717381,1,0
1587721248,1,1
1587723135,0,2
1587725064,1,4
1587727258,1,0
1587729139,1,2
1587731067,2,3
1587732980,1,0
1587736896,2,1
1587738737,1,1
1587740659,1,1
1587744504,1,1
1587746428,0,1
1587748341,1,0
1587750254,0,3
1587752178,0,2
1587754118,1,0
1587756015,1,0
1587757973,0,1
1587759861,0,1
1587763779,0,1
1587765714,1,1
1587767575,2,1
1587769482,2,0
1587771374,3,2
1587773306,4,1
1587775213,4,6
1587777378,1,1
1587779306,0,2
1587781226,1,0
1587783142,0,1
1587785078,4,1
1587788894,0,2
1587791781,1,0
1587795631,1,0
1587797552,0,1
1587799454,0,1
1587801385,1,0
1587803292,0,2
1587805334,1,1
1587810974,0,1
1587812916,1,1
1587816750,0,1
1587818653,3,2
1587820573,0,2
1587822502,2,1
1587824414,1,1
1587826335,0,1
1587832093,3,0
1587834136,0,1
1587835941,0,1
1587837859,1,0
1587839786,1,1
1587841730,1,0
1587843765,3,1
1587847707,1,0
1587849610,1,0
1587851533,1,1
1587853465,2,2
1587855391,1,0
1587857291,0,2
1587860166,1,9
1587862100,2,1
1587864008,2,0
1587865927,1,1
1587871686,1,3
1587874573,1,0
1587882266,0,2
1587886351,1,0
1587888260,1,2
1587890186,16,0
1587892100,1,0
1587897854,1,0
1587899782,1,1
1587901703,1,0
1587903614,0,2
1587905843,1,1
1587907813,0,2
1587909945,0,2
1587911781,0,1
1587913967,1,0
1587917774,0,2
1587919707,1,0
1587925692,0,1
1587928571,0,2
1587930494,0,1
1587936249,1,2
1587938173,2,0
1587940097,1,3
1587942980,4,1
1587944890,4,1
1587946821,2,1
1587948730,0,4
1587950655,0,2
1587952582,4,1
1587957372,1,0
1587959298,0,2
1587963152,3,0
1587969149,1,0
1587971066,0,1
1587977054,1,20
1587980893,3,1
1587982828,1,1
1587986655,1,1
1587988594,2,0
1587990490,1,1
1587993372,1,0
1587995292,2,0
1587997222,2,0
1588001067,0,2
1588002973,1,0
1588004912,1,1
1588006869,0,1
1588010672,2,0
1588012585,0,1
1588014492,1,1
1588016413,2,1
1588018346,3,1
1588024102,1,2
1588026015,1,0
1588027934,0,1
1588029866,2,1
1588031774,3,3
1588033718,1,2
1588036711,3,0
1588038515,3,1
1588040427,4,1
1588042344,2,2
1588044265,1,1
1588046172,1,0
1588048124,2,1
1588050147,0,4
1588051962,1,0
1588053886,1,0
1588055788,0,1
1588057717,1,0
1588059616,1,0
1588063454,0,1
1588065381,1,0
