DateTime,Entries,UniqueIPs
1587513159,3454,3454
1587515060,3457,3457
1587516972,3441,3441
1587518921,3428,3428
1587521779,3419,3419
1587523693,3424,3424
1587525624,3415,3415
1587527551,2649,2649
1587529457,2643,2643
1587531382,2643,2643
1587533293,2274,2274
1587535316,2621,2621
1587537259,2621,2621
1587539338,2085,2085
1587541220,2584,2584
1587543150,2582,2582
1587545065,2580,2580
1587546974,2573,2573
1587548897,2576,2576
1587550816,2614,2614
1587552738,2618,2618
1587554661,2622,2622
1587556579,2676,2676
1587558567,2690,2690
1587560448,2687,2687
1587562359,2683,2683
1587564500,2931,2931
1587566410,3156,3156
1587568341,3153,3153
1587570262,3149,3149
1587572185,3146,3146
1587574100,3144,3144
1587576010,3153,3153
1587577933,3149,3149
1587579864,3145,3145
1587581768,3140,3140
1587583688,3140,3140
1587585746,3138,3138
1587587784,3145,3145
1587589717,3139,3139
1587591609,3119,3119
1587593541,3113,3113
1587595453,3111,3111
1587597366,3102,3102
1587599298,3093,3093
1587601222,3088,3088
1587603128,3091,3091
1587605060,3094,3094
1587606969,3147,3147
1587608896,3140,3140
1587610904,3136,3136
1587612738,3129,3129
1587615643,3136,3136
1587617904,3135,3135
1587619954,2136,2136
1587621892,2139,2139
1587623779,2140,2140
1587625717,2140,2140
1587627630,2132,2132
1587629537,2131,2131
1587631471,2136,2136
1587633383,2143,2143
1587635297,2179,2179
1587637227,2140,2140
1587639171,2143,2143
1587641067,2145,2145
1587642981,2102,2102
1587644893,2079,2079
1587646971,2082,2082
1587648972,2087,2087
1587650930,1722,1722
1587652872,1417,1417
1587654768,1419,1419
1587656694,1421,1421
1587658586,1420,1420
1587660520,1410,1410
1587662418,1407,1407
1587664344,1406,1406
1587666255,1409,1409
1587668181,1411,1411
1587670104,1410,1410
1587673278,1413,1413
1587675138,1402,1402
1587677096,1411,1411
1587678980,1420,1420
1587680888,1524,1524
1587683768,1948,1948
1587685689,2220,2220
1587687638,2489,2489
1587689531,2782,2782
1587691474,3040,3040
1587693409,3271,3271
1587695293,3514,3514
1587698170,3953,3953
1587700088,4278,4278
1587702019,4547,4547
1587703927,4824,4824
1587705849,5117,5117
1587707778,5448,5448
1587709687,5695,5695
1587711677,6011,6011
1587713543,6295,6295
1587715378,6590,6590
1587717381,6929,6929
1587719306,7202,7202
1587721248,7487,7487
1587723136,8567,8567
1587725064,9192,9192
1587727259,9573,9573
1587729140,9690,9690
1587731068,9768,9768
1587732981,9838,9838
1587734832,9893,9893
1587736941,9990,9990
1587738988,10068,10068
1587740896,10132,10132
1587742825,10183,10183
1587744992,10235,10235
1587746900,10285,10285
1587748829,10334,10334
1587750744,10411,10411
1587752652,10481,10481
1587754605,10531,10531
1587756494,10599,10599
1587758460,10675,10675
1587760340,10719,10719
1587762272,10783,10783
1587764201,10840,10840
1587766118,10903,10903
1587768022,10874,10874
1587769938,10767,10767
1587771866,10676,10676
1587773773,10598,10598
1587775933,10467,10467
1587777853,10391,10391
1587779790,10331,10331
1587781713,10230,10230
1587783661,10258,10258
1587785546,11243,11243
1587787471,11915,11915
1587789376,12838,12838
1587791309,12853,12853
1587793216,12689,12689
1587795131,12567,12567
1587797065,12370,12370
1587798977,12218,12218
1587800891,12057,12057
1587802821,11948,11948
1587804732,12021,12021
1587806663,11881,11881
1587808573,11712,11712
1587810503,10446,10446
1587812456,10259,10259
1587814351,10122,10122
