DateTime,AddedIPs,RemovedIPs
1576729222,0,1
1576751297,35,0
1576773381,3,1
1576795471,2,2
1576817534,2,1
1576839631,0,12
1576861728,3,0
1576884017,2,1
1576905871,129,0
1576927960,2,10
1576950011,4,0
1576971867,3,0
1576993928,0,1
1577015787,12,13
1577048928,2,5
1577070991,1,2
1577093053,73,19
1577115169,17,66
1577137211,2,4
1577159056,14,1
1577180909,7,1
1577202981,1,2
1577224912,2,0
1577246918,2,1
1577268983,1,8
1577313199,0,2
1577335228,1,0
1577357112,0,11
1577379130,1,4
1577400983,3,31
1577422875,3,1
1577444930,54,3
1577466996,1,2
1577489048,0,2
1577511160,0,247
1577533211,4,3
1577555067,3,3
1577577133,7,2
1577599285,2,0
1577621315,1,10
1577643156,10,0
1577665207,0,4
1577687066,1,5
1577709161,28,46
1577731053,0,1
1577753062,0,101
1577774911,226,15
1577796977,0,1
1577818859,4,0
1577840734,15,2
1577862739,60,5
1577884601,80,1
1577906652,91,0
1577928764,3,0
1577950810,2,2
1577972907,6,1
1577994989,4,0
1578028106,7,3
1578049955,6,10
1578072297,7,1
1578094576,2,0
1578116666,7,0
1578138522,6,3
1578160566,6,0
1578182469,5,2
1578204494,3,1
1578226361,60,3
1578248416,89,13
1578270260,57,0
1578292335,20,2
1578314190,3,1
1578336291,0,1
1578380186,9,60
1578413307,106,1
1578435392,2,0
1578457248,2,1
1578479307,1,46
1578501182,6,48
1578523227,3,5
1578545493,2,6
1578567376,17,11
1578589264,2,12
1578611566,60,5
1578633628,0,4
1578655722,1,11
1578677780,0,10
1578699626,2,8
1578721471,0,8
1578743314,2,16
1578765378,1,53
1578798333,50,15
1578820398,6,20
1578842439,1,153
1578864488,12,56
1578886342,2,86
1578908189,4,11
1578930250,148,4
1578952338,3,1
1578985724,6,21
1579008037,1,175
1579030088,5,6
1579051944,2,0
1579073792,16,8
1579095853,8,1
1579117706,1,6
1579139810,3,0
1579161670,0,12
1579183951,2,22
1579206016,6,1
1579228113,1,65
1579250202,1,6
1579272253,1,15
1579294340,2,7
1579316180,4,0
1579349089,9,4
1579371134,5,1
1579392984,7,1
1579414828,2,6
1579436890,5,3
1579458786,0,25
1579480829,24,100
1579502897,2,4
1579524970,65,154
1579546928,2,24
1579568890,6,3
1579590761,7,5
1579612808,3,1
1579634710,64,1
