DateTime,AddedIPs,RemovedIPs
1576869869,2,0
1576891938,4,1
1576914043,128,8
1576936097,4,2
1576958178,5,0
1577002580,1,13
1577024670,12,0
1577046764,1,5
1577068823,1,2
1577090671,74,5
1577112730,17,79
1577135017,2,5
1577157163,14,0
1577179209,7,2
1577201078,1,2
1577223172,1,0
1577245216,3,1
1577267069,1,7
1577289143,0,2
1577322298,0,2
1577344595,1,9
1577366669,1,3
1577388742,0,20
1577410837,6,15
1577433138,1,4
1577455416,54,2
1577477294,1,1
1577499145,0,5
1577521043,3,247
1577543049,3,4
1577564893,2,3
1577586768,6,0
1577608838,2,9
1577630891,6,1
1577652969,5,0
1577685884,1,8
1577708195,28,48
1577730038,1,1
1577752098,0,101
1577773939,226,13
1577795792,0,3
1577817867,4,0
1577839932,14,2
1577873078,131,6
1577894922,99,0
1577916767,4,0
1577938827,3,0
1577960928,3,2
1577983241,6,1
1578005317,2,2
1578027367,7,0
1578049262,6,11
1578071327,8,1
1578093753,2,0
1578115942,7,0
1578137787,6,3
1578159852,6,0
1578181708,5,2
1578203768,4,1
1578225647,59,0
1578247699,88,16
1578269772,56,0
1578291616,23,1
1578313477,3,2
1578335561,0,1
1578379949,9,60
1578402056,106,0
1578423916,2,1
1578446008,1,0
1578468039,2,19
1578490099,3,30
1578512190,3,47
1578534250,3,8
1578556114,2,7
1578578187,17,15
1578600071,0,3
1578622120,60,7
1578644214,1,10
1578666586,1,10
1578688829,2,9
1578711150,0,5
1578733253,1,16
1578755307,1,7
1578777157,4,9
1578799214,2,11
1578821055,6,23
1578843171,1,161
1578865221,12,45
1578887306,3,86
1578909375,4,12
1578942505,150,4
1578964403,4,0
1578986697,4,26
1579008756,1,170
1579030813,6,6
1579052665,1,0
1579074513,22,8
1579096581,2,1
1579129978,2,5
1579152026,2,0
1579174116,1,34
1579195968,4,0
1579218253,3,65
1579240114,2,1
1579262185,1,21
1579295343,2,7
1579317394,4,0
1579339463,8,4
1579361562,2,0
1579383625,10,2
1579405721,3,0
1579427769,4,9
1579449690,1,4
1579471722,1,122
1579493772,23,3
1579515615,67,3
1579537692,0,178
1579559545,5,3
1579581615,8,3
1579603455,5,3
1579625297,4,3
1579647367,101,1
1579669254,3,1
1579691558,1,38
1579713634,4,4
1579735685,2,1
1579757563,1,0
1579779658,7,3
1579801935,6,11
1579846103,20,2
1579868214,7,12
1579890249,142,0
1579912360,1,0
1579934411,2,9
1579956252,1,2
1579978101,3,57
1580000167,1,5
1580022134,10,0
1580044093,65,0
1580065945,0,1
1580110088,3,105
1580131953,1,0
1580154012,1,10
1580175866,1,12
1580197926,2,12
1580219769,1,4
1580241644,0,99
1580263715,3,7
1580285782,0,2
1580307902,1,0
1580329933,7,5
1580351782,0,2
1580373869,0,4
1580395929,21,18
1580417781,4,21
1580450689,0,23
1580472733,3,15
1580494588,3,191
1580516654,3,0
1580538495,21,1
1580560335,181,4
1580582411,100,3
1580604267,36,0
1580626337,101,9
1580659417,99,64
1580681558,64,0
1580703606,1,0
1580725465,5,3
1580747549,8,0
1580769614,63,2
1580791472,4,1
1580813537,14,0
1580835679,5,0
1580857705,1,1
1580879786,0,1
1580901885,11,1
1580923931,9,8
1580945788,36,0
1580967853,3,0
1580989708,3,1
1581011784,1,1
1581077562,2,1
1581121464,0,2
1581143549,1,10
1581165611,7,3
1581187466,3,5
1581209306,0,3
1581231369,35,7
1581253246,15,4
1581275303,0,156
1581297151,72,0
1581319019,2,4
1581341061,12,2
1581363143,2,3
1581384983,8,3
1581407049,1,6
1581428891,1,28
1581450983,1,65
1581473095,0,4
1581495166,0,20
1581517207,0,35
1581539074,4,69
1581561146,3,3
1581583041,2,3
1581604923,0,1
1581626888,32,1
1581648752,1,0
1581670842,1,3
1581692908,0,62
1581726024,1,1
1581747867,2,9
1581769935,25,4
1581791789,0,2
1581813853,2,0
1581835735,2,57
1581857794,64,42
1581879676,0,21
1581901707,2,17
1581923792,0,6
1581945853,6,19
1581967934,3,0
1581989798,0,5
1582011854,1,2
1582033716,8,6
1582055769,3,2
1582077684,1,0
1582099715,1,0
1582143654,21,4
1582165978,7,3
1582188016,0,4
1582209864,1,0
1582231710,86,50
1582253768,2,0
1582286684,4,3
1582308751,2,0
1582352675,1,1
1582374745,0,39
1582396819,1,0
1582418910,1,2
1582440967,1,3
1582462852,6,66
1582484702,20,1
1582506746,45,1
1582528593,0,4
1582550673,64,2
1582572729,1,3
1582594582,5,0
1582616667,4,1
1582638734,6,0
1582660582,7,6
1582682496,2,9
1582704512,2,1
1582726577,12,0
1582748431,7,1
1582770494,8,0
1582792334,4,21
1582814184,36,58
1582836266,0,63
1582858350,6,1
1582880503,94,4
1582902524,5,0
1582924584,20,1
1582946654,2,0
1582968743,52,2
1582990592,1,0
1583012666,0,30
1583034732,2,12
1583056864,34,0
1583079164,49,26
1583101261,14,1
1583123116,30,1
1583145149,2,3
1583166994,2,3
1583189083,4,1
1583210942,61,3
1583233015,2,5
1583276904,6,5
1583298759,44,0
1583320810,1,2
1583342652,0,3
1583386813,3,0
1583408895,0,2
1583430973,1,30
1583452856,4,1
1583474902,2,2
1583496987,3,83
1583519057,7,0
1583541128,1,1
1583562972,2,0
1583585055,16,34
1583606899,7,0
1583628752,52,0
1583650595,1,6
1583672668,2,17
1583694523,0,2
1583716573,2,3
1583738437,0,30
1583760334,12,1
1583782335,1,22
1583804435,1,4
1583826290,22,24
1583848328,54,4
1583870207,16,5
