DateTime,Entries,UniqueIPs
1576869869,823,823
1576891938,826,826
1576914043,946,946
1576936097,948,948
1576958178,953,953
1577002580,941,941
1577024670,953,953
1577046764,949,949
1577068823,948,948
1577090671,1017,1017
1577112730,955,955
1577135017,952,952
1577157163,966,966
1577179209,971,971
1577201078,970,970
1577223172,971,971
1577245216,973,973
1577267069,967,967
1577289143,965,965
1577322298,963,963
1577344595,955,955
1577366669,953,953
1577388742,933,933
1577410837,924,924
1577433138,921,921
1577455416,973,973
1577477294,973,973
1577499145,968,968
1577521043,724,724
1577543049,723,723
1577564893,722,722
1577586768,728,728
1577608838,721,721
1577630891,726,726
1577652969,731,731
1577685884,724,724
1577708195,704,704
1577730038,704,704
1577752098,603,603
1577773939,816,816
1577795792,813,813
1577817867,817,817
1577839932,829,829
1577873078,954,954
1577894922,1053,1053
1577916767,1057,1057
1577938827,1060,1060
1577960928,1061,1061
1577983241,1066,1066
1578005317,1066,1066
1578027367,1073,1073
1578049262,1068,1068
1578071327,1075,1075
1578093753,1077,1077
1578115942,1084,1084
1578137787,1087,1087
1578159852,1093,1093
1578181708,1096,1096
1578203768,1099,1099
1578225647,1158,1158
1578247699,1230,1230
1578269772,1286,1286
1578291616,1308,1308
1578313477,1309,1309
1578335561,1308,1308
1578379949,1257,1257
1578402056,1363,1363
1578423916,1364,1364
1578446008,1365,1365
1578468039,1348,1348
1578490099,1321,1321
1578512190,1277,1277
1578534250,1272,1272
1578556114,1267,1267
1578578187,1269,1269
1578600071,1266,1266
1578622120,1319,1319
1578644214,1310,1310
1578666586,1301,1301
1578688829,1294,1294
1578711150,1289,1289
1578733253,1274,1274
1578755307,1268,1268
1578777157,1263,1263
1578799214,1254,1254
1578821055,1237,1237
1578843171,1077,1077
1578865221,1044,1044
1578887306,961,961
1578909375,953,953
1578942505,1099,1099
1578964403,1103,1103
1578986697,1081,1081
1579008756,912,912
1579030813,912,912
1579052665,913,913
1579074513,927,927
1579096581,928,928
1579129978,925,925
1579152026,927,927
1579174116,894,894
1579195968,898,898
1579218253,836,836
1579240114,837,837
1579262185,817,817
1579295343,812,812
1579317394,816,816
1579339463,820,820
1579361562,822,822
1579383625,830,830
1579405721,833,833
1579427769,828,828
1579449690,825,825
1579471722,704,704
1579493772,724,724
1579515615,788,788
1579537692,610,610
1579559545,612,612
1579581615,617,617
1579603455,619,619
1579625297,620,620
1579647367,720,720
1579669254,722,722
1579691558,685,685
1579713634,685,685
1579735685,686,686
1579757563,687,687
1579779658,691,691
1579801935,686,686
1579846103,704,704
1579868214,699,699
1579890249,841,841
1579912360,842,842
1579934411,835,835
1579956252,834,834
1579978101,780,780
1580000167,776,776
1580022134,786,786
1580044093,851,851
1580065945,850,850
1580110088,748,748
1580131953,749,749
1580154012,740,740
1580175866,729,729
1580197926,719,719
1580219769,716,716
1580241644,617,617
1580263715,613,613
1580285782,611,611
1580307902,612,612
1580329933,614,614
1580351782,612,612
1580373869,608,608
1580395929,611,611
1580417781,594,594
1580450689,571,571
1580472733,559,559
1580494588,371,371
1580516654,374,374
1580538495,394,394
1580560335,571,571
1580582411,668,668
1580604267,704,704
1580626337,796,796
1580659417,831,831
1580681558,895,895
1580703606,896,896
1580725465,898,898
1580747549,906,906
1580769614,967,967
1580791472,970,970
1580813537,984,984
1580835679,989,989
1580857705,989,989
1580879786,988,988
1580901885,998,998
1580923931,999,999
1580945788,1035,1035
1580967853,1038,1038
1580989708,1040,1040
1581011784,1040,1040
1581077562,1041,1041
1581121464,1039,1039
1581143549,1030,1030
1581165611,1034,1034
1581187466,1032,1032
1581209306,1029,1029
1581231369,1057,1057
1581253246,1068,1068
1581275303,912,912
1581297151,984,984
1581319019,982,982
1581341061,992,992
1581363143,991,991
1581384983,996,996
1581407049,991,991
1581428891,964,964
1581450983,900,900
1581473095,896,896
1581495166,876,876
1581517207,841,841
1581539074,776,776
1581561146,776,776
1581583041,775,775
1581604923,774,774
1581626888,805,805
1581648752,806,806
1581670842,804,804
1581692908,742,742
1581726024,742,742
1581747867,735,735
1581769935,756,756
1581791789,754,754
1581813853,756,756
1581835735,701,701
