DateTime,AddedIPs,RemovedIPs
1576827854,2,3
1576849697,3,0
1576904717,4,0
1576926748,3,0
1576948812,3,0
1576970655,1,0
1576992760,1,1
1577014817,8,0
1577036902,1,2
1577059018,2,3
1577091889,2,7
1577113733,6,3
1577136043,2,0
1577158345,1,1
1577180186,1,0
1577202033,0,2
1577224092,2,1
1577245935,5,0
1577267792,2,1
1577300904,1,0
1577322975,1,1
1577345062,2,1
1577367140,1,2
1577388989,1,2
1577410838,5,1
1577433139,1,1
1577455459,1,3
1577477547,2,3
1577499620,2,1
1577521697,2,2
1577543551,1,4
1577565612,1,1
1577587457,2,3
1577609556,2,4
1577631763,1,7
1577653773,1,2
1577675789,0,1
1577697631,0,2
1577719685,2,7
1577741536,1,2
1577763614,0,2
1577785458,2,1
1577807555,0,1
1577829671,2,3
1577851692,0,4
1577873547,0,3
1577895627,0,1
1577917479,1,1
1577939556,3,1
1577961639,2,1
1577983727,0,1
1578005768,1,4
1578027852,3,1
1578049703,2,2
1578071792,0,1
1578093754,1,3
1578115943,1,1
1578137788,4,1
1578159852,2,1
1578181709,3,0
1578203769,0,3
1578225661,1,1
1578247700,1,1
1578269774,9,0
1578291617,5,0
1578313480,1,0
1578335562,2,4
1578357862,4,0
1578379951,3,3
1578413310,7,0
1578435396,2,2
1578457249,8,0
1578479308,1,0
1578523229,11,1
1578545493,9,2
1578567377,1,2
1578600510,3,0
1578622604,0,2
1578644978,1,1
1578667053,4,1
1578711151,2,0
1578733263,2,5
1578755309,2,2
1578799216,1,4
1578821293,2,1
1578843173,2,0
1578865222,1,6
1578887308,1,5
1578909400,2,3
1578931505,4,0
1578953885,4,3
1578975858,0,6
1578997950,0,1
1579020010,0,7
1579041859,1,2
1579063948,0,9
1579097307,8,1
1579119150,1,3
1579141002,1,14
1579163088,0,2
1579184929,0,1
1579206998,5,5
1579229057,3,1
1579250937,5,3
1579273003,0,4
1579295002,3,0
1579317183,0,1
1579339207,3,2
1579361053,1,1
1579393929,6,1
1579415788,1,2
1579437850,1,3
1579459702,3,0
1579481771,0,1
1579525717,4,5
1579547795,1,2
1579569886,1,2
1579591944,3,0
1579614027,2,1
1579636097,1,1
1579658174,1,1
1579680047,1,2
1579702102,1,6
1579724183,2,1
1579746029,9,1
1579768092,7,0
1579789933,6,1
1579812016,0,2
1579834093,1,3
1579855960,2,6
1579877820,8,0
1579899879,7,3
1579943816,2,1
1579965866,3,2
1579987947,1,4
1580010018,2,2
1580031860,3,3
1580053942,0,1
1580075783,2,1
1580097890,2,0
