DateTime,AddedIPs,RemovedIPs
1587497595,2,2
1587499477,0,1
1587501380,3,2
1587503593,3,4
1587505458,4,3
1587507383,5,2
1587509303,2,0
1587511219,5,1
1587513162,4,2
1587515062,6,7
1587516974,1,2
1587518927,0,1
1587522019,2,1
1587523934,1,2
1587525848,4,1
1587527791,3,0
1587529687,1,0
1587532570,2,0
1587534493,2,1
1587536426,2,3
1587538252,1,5
1587540252,0,2
1587544103,3,1
1587546977,3,2
1587548899,2,5
1587550818,0,1
1587552741,1,0
1587554668,2,2
1587556582,5,0
1587558570,4,2
1587561619,1,2
1587563605,2,1
1587565468,1,0
1587567374,1,1
1587569294,3,1
1587572187,3,2
1587574103,2,2
1587576039,4,1
1587577938,1,1
1587579866,2,2
1587581770,1,4
1587583690,2,1
1587585805,2,0
1587587787,2,4
1587589719,4,2
1587591612,2,6
1587593542,3,5
1587595456,1,1
1587597368,1,4
1587599300,2,6
1587601230,3,4
1587603130,5,2
1587605062,3,1
1587606972,8,1
1587608900,1,2
1587612268,4,6
1587614170,3,3
1587616089,1,1
1587617929,2,2
1587619957,6,2
1587621895,0,1
1587623782,1,0
1587625718,4,1
1587627657,1,0
1587629538,2,3
1587631473,0,1
1587633388,1,2
1587635300,2,2
1587637230,2,0
1587639175,3,2
1587641069,3,2
1587642991,0,5
1587644895,2,4
1587646995,5,1
1587648975,3,1
1587650937,1,1
1587652876,4,2
1587654771,0,3
1587656697,2,2
1587658589,3,3
1587660526,2,2
1587662423,4,4
1587666257,0,1
1587668183,0,1
1587670108,1,2
1587672132,2,3
1587674048,2,1
1587676123,1,2
1587678017,0,3
1587680182,3,3
1587682104,1,2
1587684023,3,3
1587685963,1,0
1587687855,1,1
1587689784,5,4
1587691720,3,2
1587693677,1,8
1587695548,0,3
1587697483,0,1
1587699376,0,4
1587701317,1,3
1587703218,0,1
1587705134,0,5
1587707095,0,2
1587708976,0,2
1587712822,2,3
1587714739,2,0
1587716670,1,1
1587718577,3,0
1587720521,3,1
1587722575,7,2
1587724819,3,3
1587726753,2,5
1587728654,2,0
1587730589,2,1
1587732499,2,2
1587734413,1,5
1587736330,1,2
1587738265,5,1
1587740169,2,3
1587742089,3,2
1587744140,2,1
1587746172,2,2
1587748094,6,3
1587750052,2,2
1587752181,1,1
1587754120,4,0
1587756018,0,1
1587757975,2,1
1587759865,5,2
1587761817,9,1
1587763857,3,0
1587766846,1,1
1587768740,4,3
