DateTime,AddedIPs,RemovedIPs
1587301717,1,1
1587303646,2,1
1587305540,2,0
1587307458,0,1
1587309386,2,3
1587311313,0,2
1587313223,2,0
1587315134,0,1
1587317323,2,0
1587319386,1,1
1587321379,1,0
1587323303,1,4
1587327131,1,1
1587329062,0,1
1587331051,1,0
1587332908,0,1
1587334839,1,0
1587336776,0,3
1587338666,1,0
1587340576,1,1
1587342496,1,0
1587344569,0,1
1587350437,2,0
1587352351,2,0
1587354275,4,1
1587356171,3,0
1587358101,2,0
1587360045,3,0
1587361929,5,1
1587363861,3,1
1587368032,0,1
1587369936,2,2
1587372098,0,1
1587374020,2,2
1587375860,2,0
1587377858,0,7
1587380303,0,24
1587382354,3,2
1587384349,3,1
1587386581,5,1
1587388601,1,2
1587390594,0,1
1587392943,4,2
1587395010,0,1
1587397124,0,1
1587399052,1,2
1587400967,2,0
1587402876,1,2
1587406927,0,2
1587410768,0,1
1587412610,1,0
1587414517,1,1
1587416770,1,1
1587418592,1,0
1587420504,4,1
1587424355,1,1
1587426259,1,0
1587428477,0,2
1587430418,1,0
1587434225,1,0
1587438460,1,4
1587440414,1,3
1587442346,1,3
1587444260,2,3
1587446172,0,3
1587448104,1,4
1587450014,0,4
1587451932,2,0
1587455794,2,0
1587457694,0,2
1587459775,2,2
1587461793,1,2
1587467555,0,1
1587469470,0,3
1587471394,0,3
1587473303,0,4
1587475239,1,1
1587479089,0,4
1587480972,1,0
1587485847,1,1
1587487710,1,3
1587489617,1,0
1587493467,1,0
1587495398,2,0
1587497597,1,1
1587499478,1,1
1587501381,1,1
1587503595,0,1
1587505459,0,1
1587507383,0,4
1587511220,0,1
1587513163,0,1
1587516976,0,1
1587520938,1,1
1587524696,1,1
1587526578,0,1
1587528514,0,1
1587530419,0,2
1587534268,1,1
1587538281,2,2
1587540253,1,0
1587542178,1,2
1587544120,1,0
1587546066,0,2
1587547976,2,0
1587550105,2,1
1587554190,2,0
1587556094,1,0
1587558059,1,0
1587560087,1,0
1587562094,2,1
1587565212,5,0
1587567127,2,1
1587569065,1,0
1587570992,1,1
1587572889,1,1
1587574932,1,0
1587576736,1,1
1587578668,2,0
1587580585,1,3
1587582516,1,0
1587584415,0,1
1587586348,2,1
1587588255,2,1
1587590061,1,0
1587594012,1,0
1587597865,1,0
1587601703,1,0
1587604811,1,0
1587606730,0,1
1587608653,2,0
1587610573,1,1
1587612488,1,0
1587615646,1,0
1587619957,0,1
1587621896,1,0
1587623782,2,1
1587625719,1,1
1587627659,0,1
1587629539,3,2
1587633389,0,1
1587635313,1,1
1587637231,1,2
1587641069,0,2
1587642992,1,1
1587644895,0,1
1587647009,0,1
1587648976,1,3
1587650938,2,3
1587652877,2,2
1587654772,2,2
1587656698,1,0
1587658590,2,2
1587660527,1,1
1587662424,1,1
1587664347,2,2
1587666258,1,1
1587668183,3,2
1587670109,1,0
1587672171,2,1
1587674097,2,3
1587676123,2,1
1587680183,1,1
1587684024,1,1
1587687856,1,1
1587691721,1,1
1587693716,1,0
1587695549,0,2
1587697489,0,1
1587699378,0,1
1587701318,1,1
1587705135,1,0
1587708976,0,3
1587710896,2,0
1587712823,4,1
1587714740,2,0
1587716671,2,3
1587718578,1,0
1587722584,3,1
1587724820,2,1
1587726753,2,0
1587728655,2,0
1587730590,1,0
1587732500,2,0
1587734414,1,1
1587736331,4,1
1587738266,3,2
1587740170,3,1
1587742090,3,2
1587744173,2,1
1587746174,2,2
1587748095,5,1
1587750053,5,2
1587752182,5,1
1587754121,4,3
1587756019,7,1
1587757977,9,2
1587759866,2,1
1587761818,6,2
1587763881,2,1
1587765758,3,0
1587767577,2,1
1587769484,3,0
1587771375,2,1
1587773307,5,1
1587775215,2,0
1587777381,2,2
1587779309,1,1
1587788898,0,1
1587790929,0,1
1587794696,1,0
1587796579,0,1
1587798522,1,3
1587800417,6,3
1587802337,7,3
1587804265,0,1
1587806186,1,0
1587808091,0,3
1587810088,2,1
1587811940,0,2
1587813867,1,2
1587815773,1,1
1587817694,0,2
1587819704,0,1
1587821541,0,2
1587823520,0,5
1587825387,0,2
1587827303,0,3
1587829220,0,3
1587831143,1,2
1587833056,1,3
1587834972,1,3
1587836926,0,6
1587838814,0,4
1587840738,0,4
1587842667,0,7
1587844582,0,9
1587846493,0,3
1587848544,0,5
1587850604,2,2
1587852752,0,4
1587854657,0,2
1587856574,0,2
1587858506,0,5
1587860412,0,1
1587862336,1,3
1587864263,0,1
1587866176,0,1
1587870169,3,0
1587874102,1,0
1587876018,1,0
1587879853,2,0
1587881774,2,1
1587883708,1,0
1587885659,4,3
1587887555,2,6
1587889478,5,5
1587891394,3,1
1587893561,4,0
1587895530,3,2
1587897379,1,0
1587899326,1,1
1587901237,2,0
1587903150,3,0
1587906979,4,0
1587908788,1,0
1587910930,3,0
1587914667,3,0
1587916583,1,1
1587918521,3,0
1587921384,3,2
1587925248,2,0
1587929060,2,0
1587932895,3,0
1587935022,1,0
1587936973,3,2
1587938892,3,0
1587940823,1,0
1587942730,2,0
1587946581,2,0
1587948497,2,1
1587956201,0,3
1587961943,0,2
1587967376,1,3
1587969373,1,1
1587971304,1,3
1587973225,0,2
1587975155,0,6
1587977059,0,1
1587978980,1,7
1587980898,3,1
1587982833,0,3
1587986660,0,3
1587988598,0,2
1587990495,1,2
1587993376,1,4
1587995295,0,1
1587997227,0,4
1587999141,1,0
1588001072,0,3
1588002979,0,1
1588004918,0,3
1588006981,0,1
1588008986,0,2
1588010916,0,1
1588012826,0,1
1588014740,1,2
1588018569,0,2
1588022408,0,2
1588024329,0,2
1588026266,0,3
1588028177,6,0
1588030123,18,2
1588033210,241,2
1588035140,78,2
1588037085,75,0
1588038970,50,0
1588044012,3,0
1588051731,98,0
1588053633,35,0
1588055535,1,2
1588057518,0,1
1588059387,1,0
1588063219,2,0
1588065143,1,1
1588067049,0,3
1588068972,1,1
1588070898,3,0
1588072809,2,0
1588076656,2,1
1588078594,0,1
1588080487,5,0
1588083540,1,0
1588085548,1,1
1588087724,1,0
1588089738,2,0
1588091553,1,0
1588095375,1,0
1588099218,4,0
1588101140,5,0
1588103060,3,0
1588104970,3,0
1588106892,3,0
1588108823,4,0
1588110731,2,0
1588114583,0,6
1588116489,0,14
1588119645,0,245
1588121552,0,78
1588123468,0,75
1588125375,0,50
1588129394,1,0
1588131383,0,3
1588137143,0,44
1588139062,1,89
1588140972,2,0
1588142903,3,1
1588144819,0,1
1588146732,2,0
1588148664,0,2
1588150579,2,0
1588152491,0,1
1588155621,2,2
1588157555,1,2
1588159459,1,2
1588161373,1,0
1588163560,1,2
1588165482,1,1
1588167416,1,4
1588169315,1,0
1588171234,1,2
1588173411,2,0
1588175312,2,1
1588177219,0,3
1588181060,0,1
1588184897,0,3
1588186926,0,4
1588188758,0,3
1588190669,0,3
1588192577,0,3
1588194511,1,4
1588196418,1,3
1588200288,1,0
1588215707,0,1
1588227141,1,2
1588229072,0,4
1588232910,1,2
1588234818,2,0
1588236742,1,2
1588238666,2,0
1588240577,0,1
1588242496,1,1
1588244567,1,1
1588246587,0,1
1588248514,0,1
1588250428,0,1
1588252341,0,1
1588254271,0,2
1588256431,1,0
1588258366,0,2
1588260261,1,0
1588262188,1,2
1588264096,1,0
1588272034,1,0
1588274024,1,1
1588275865,1,0
1588277787,1,0
1588279704,1,0
1588281613,2,1
1588283540,1,1
1588287419,0,1
1588291277,1,0
1588293230,1,0
1588299165,1,0
1588302979,1,0
1588310658,1,0
1588314521,0,1
1588316723,2,0
1588318615,0,1
1588320538,1,1
1588322433,0,1
1588324335,1,1
1588326259,1,2
1588328213,1,0
1588330107,1,2
1588332104,0,1
1588333940,1,0
1588339696,1,0
1588343665,0,1
1588345509,0,1
1588347391,1,1
1588351259,1,1
1588355069,1,0
1588359142,1,1
1588361060,1,1
1588363001,0,2
1588366985,0,2
1588368973,0,1
1588371197,0,1
1588376900,1,1
1588378812,0,1
1588386495,0,1
1588388545,1,1
1588390347,1,0
1588392333,1,0
1588394189,1,0
1588396170,1,0
1588398031,1,1
1588399957,3,0
1588401854,1,2
1588403780,3,0
1588405700,1,1
1588407635,1,0
1588409537,2,1
1588411457,2,0
1588413447,2,2
1588415295,3,0
1588418177,2,1
1588420106,1,1
1588422026,3,0
1588423944,1,0
1588425891,2,1
1588427772,1,0
1588429695,2,0
1588433540,1,1
1588435539,1,0
1588437389,2,1
1588439312,2,0
1588441219,2,1
1588443146,1,0
1588445080,2,0
1588446977,1,0
1588448902,3,0
1588450816,2,0
1588452736,1,0
1588454670,1,0
1588456573,2,0
1588458496,2,0
1588460570,1,0
1588462620,1,1
1588464492,1,0
1588466423,1,0
1588468356,1,0
1588470258,1,0
1588472196,1,0
1588474115,1,1
1588476019,1,1
1588477927,1,1
1588479853,1,1
1588481777,1,0
1588483687,0,2
1588485640,1,0
1588487556,0,4
1588489701,2,3
1588491624,0,1
1588493544,1,1
1588495456,0,2
1588497381,0,2
1588499327,0,1
1588501211,0,3
