DateTime,AddedIPs,RemovedIPs
1587410178,2,2
1587412038,0,1
1587416259,1,0
1587418093,0,1
1587420983,0,2
1587426736,2,1
1587433274,1,2
1587435163,0,2
1587437062,1,0
1587439261,0,1
1587444992,2,0
1587446898,0,1
1587448919,0,1
1587450807,0,1
1587452946,1,0
1587454938,0,1
1587456745,0,2
1587458690,1,1
1587460614,1,1
1587462494,0,1
1587464426,1,1
1587470179,0,1
1587472094,2,2
1587475240,1,4
1587477167,2,1
1587479090,1,1
1587480974,2,2
1587482895,1,0
1587485848,1,3
1587487714,1,2
1587489619,2,1
1587493468,1,1
1587495429,1,3
1587498741,4,0
1587502581,3,1
1587504518,1,0
1587508582,2,0
1587510511,1,0
1587512432,1,0
1587514598,1,2
1587516493,2,0
1587518444,2,0
1587520346,2,1
1587524188,4,1
1587526107,3,0
1587528108,1,0
1587529952,2,0
1587531860,0,2
1587533777,1,0
1587535714,3,0
1587537718,3,0
1587539788,3,1
1587541695,3,0
1587543637,1,1
1587545538,1,0
1587547463,0,1
1587551294,2,1
1587553300,1,0
1587557115,1,0
1587558979,3,2
1587560920,1,1
1587562851,3,2
1587564746,1,1
1587566651,2,0
1587568571,0,3
1587570509,4,0
1587572412,1,1
1587574347,1,2
1587576284,1,1
1587578169,2,0
1587580091,0,1
1587582093,3,1
1587583966,1,3
1587585822,2,1
1587587789,3,1
1587589721,1,2
1587591614,1,1
1587593544,0,1
1587595457,0,1
1587597369,1,1
1587599301,0,1
1587601232,1,1
1587603132,2,3
1587605064,1,1
1587606985,2,2
1587608927,2,2
1587610976,1,2
1587612986,2,3
1587614913,0,1
1587616819,2,2
1587618734,1,0
1587620662,1,2
1587622569,4,3
1587624515,5,2
1587626446,3,2
1587628334,1,3
1587630249,0,1
1587632181,2,1
1587637951,3,2
1587639903,4,1
1587641788,1,0
1587643697,0,1
1587645614,3,4
1587647451,0,1
1587649450,1,2
1587651416,1,1
1587653292,0,3
1587657149,1,4
1587659050,1,1
1587660979,2,2
1587662904,0,1
1587665788,0,1
1587667784,0,2
1587669616,1,2
1587671549,1,2
1587673565,0,3
1587675380,2,1
1587677292,1,1
1587679389,2,0
1587681372,3,0
1587683303,1,1
1587685214,1,0
1587687136,3,1
1587689063,1,1
1587690969,1,1
1587692902,2,3
1587694822,1,1
1587696738,1,2
1587698650,1,1
1587700583,1,1
1587702773,0,2
1587704689,1,1
1587706574,0,1
1587708502,1,4
1587710416,0,3
1587712351,0,4
1587714252,0,1
1587716170,0,1
1587718100,0,2
1587721997,4,0
1587723861,0,2
1587725787,3,3
1587727693,0,3
1587731781,0,3
1587733726,1,0
1587735610,2,1
1587737542,0,1
1587739463,2,0
1587741370,1,0
1587743298,1,0
1587745485,0,2
1587747379,2,2
1587749304,1,0
1587751259,2,0
1587756993,0,1
1587758902,0,1
1587760840,2,0
1587762737,1,3
1587764681,1,1
1587766601,2,3
1587768742,4,2
1587770671,1,0
1587772598,1,2
1587774502,1,2
1587776541,0,2
1587778351,1,2
1587781230,1,1
1587783146,2,1
1587785087,0,2
1587790961,1,1
1587792763,1,0
1587794716,1,1
1587800419,1,0
1587802338,2,0
1587804266,2,0
1587808093,0,4
1587810096,2,0
1587811943,3,3
1587817695,3,0
1587819744,2,1
1587821785,1,2
1587823954,1,0
1587825855,0,2
1587827772,3,1
1587829702,2,1
