DateTime,AddedIPs,RemovedIPs
1587516977,125,142
1587518951,69,172
1587520968,45,90
1587523219,67,104
1587525140,84,129
1587527084,75,128
1587528971,73,42
1587530891,58,83
1587533018,128,129
1587535387,139,142
1587537263,91,52
1587539395,108,103
1587541223,83,202
1587543153,86,81
1587545092,129,76
1587546979,70,103
1587548924,92,166
1587550824,62,74
1587552743,74,74
1587554674,90,59
1587556583,94,69
1587558571,70,72
1587560495,75,50
1587562399,106,64
1587564502,104,67
1587566412,88,111
1587568343,92,80
1587570265,66,128
1587572189,119,93
1587574105,99,79
1587576051,119,106
1587577949,47,128
1587579868,41,65
1587581772,117,187
1587583692,88,324
1587585834,85,246
1587587789,83,85
1587589721,78,67
1587591614,67,62
1587593544,66,71
1587595458,76,49
1587597370,58,63
1587599302,63,96
1587601233,87,61
1587603132,62,136
1587605064,58,77
1587606986,66,46
1587608927,80,44
1587610979,75,92
1587612987,108,66
1587614913,63,61
1587616819,49,70
1587618742,81,68
1587620662,66,174
1587622569,72,66
1587624516,101,106
1587626449,92,76
1587628378,77,82
1587630249,92,72
1587632182,186,140
1587634137,153,75
1587636096,90,69
1587637951,112,73
1587639922,119,82
1587641789,169,89
1587643698,127,76
1587645614,74,69
1587647460,134,84
1587649459,167,102
1587651417,278,93
1587653293,145,96
1587655226,93,80
1587657150,93,68
1587659051,129,97
1587660980,89,121
1587662912,107,82
1587665798,143,98
1587667785,187,122
1587669616,106,85
1587671549,219,81
1587673577,371,94
1587675380,183,75
1587677292,98,60
1587679404,115,67
1587681372,83,85
1587683303,57,61
1587685214,60,61
1587687136,69,84
1587689064,92,58
1587690970,80,58
1587692902,76,63
1587694823,77,68
1587696747,57,67
1587698651,64,100
1587700584,67,63
1587702773,81,67
1587704689,82,61
1587706583,78,69
1587708503,64,77
1587710416,83,88
1587712352,60,108
1587714252,89,61
1587716170,87,94
1587718101,86,104
1587720038,93,201
1587721998,91,89
1587723869,67,80
1587725796,65,120
1587727694,60,111
1587729779,87,175
1587731782,71,84
1587733730,97,135
1587735611,77,127
1587737543,68,300
1587739464,73,156
1587741370,60,101
1587743298,93,78
1587745485,82,160
1587747380,92,82
1587749305,105,108
1587751276,112,107
1587753154,83,104
1587755089,95,192
1587756994,112,124
1587758902,131,320
1587760841,106,380
1587762747,88,107
1587764681,271,84
1587766602,71,119
1587768743,122,86
1587770671,49,44
1587772599,131,66
1587774502,116,67
1587776576,86,114
1587778580,107,84
1587780502,120,82
1587782414,114,72
1587784339,87,52
1587786261,95,58
1587788423,87,72
1587790331,98,60
1587792253,90,98
1587794181,108,83
1587796091,48,68
1587798121,69,75
1587799961,89,77
1587801867,66,82
1587803774,45,79
1587805747,62,99
1587807640,42,72
1587809541,73,79
1587811461,166,76
1587813420,82,45
1587815318,64,83
