DateTime,AddedIPs,RemovedIPs
1587479095,3,0
1587480976,3,1
1587482898,3,1
1587485851,2,1
1587487723,3,1
1587489622,2,4
1587491583,3,1
1587493470,4,2
1587495477,1,5
1587497657,5,1
1587501384,8,1
1587503599,2,1
1587505463,0,1
1587507386,4,1
1587509307,2,1
1587511228,1,2
1587513168,2,0
1587515073,6,3
1587516979,0,10
1587518955,2,18
1587521009,2,1
1587523220,1,1
1587525142,2,2
1587527087,1,1
1587528973,7,1
1587530892,0,2
1587533050,10,0
1587535406,12,1
1587537265,0,2
1587539439,5,0
1587541462,1,0
1587543371,1,5
1587547259,1,0
1587549138,1,1
1587551062,0,2
1587552972,1,1
1587555167,21,3
1587557130,0,2
1587558980,1,1
1587560922,0,1
1587562852,1,4
1587564748,3,1
1587566671,2,2
1587568573,3,16
1587570511,3,7
1587572414,6,2
1587574352,1,1
1587576288,13,1
1587578170,0,4
1587580100,1,2
1587582125,1,3
1587583967,2,5
1587585890,3,0
1587587790,4,8
1587589722,0,2
1587593546,1,1
1587595459,2,5
1587597371,2,0
1587599305,2,2
1587601235,9,1
1587603134,2,3
1587605066,11,3
1587606988,9,1
1587608929,7,0
1587610992,2,2
1587612988,12,1
1587614915,1,5
1587616822,1,2
1587620664,0,20
1587622571,2,2
1587624517,2,2
1587626454,1,2
1587628380,2,2
1587630251,3,0
1587632184,0,1
1587634139,0,1
1587636171,3,1
1587638172,1,0
1587640354,1,11
1587642254,4,13
1587644428,1,2
1587648279,0,2
1587650566,4,3
1587652406,8,2
1587654320,9,3
1587656191,14,2
1587658098,8,4
1587660031,5,2
1587661950,11,0
1587663858,13,1
1587665799,3,0
1587667787,2,2
1587669623,5,1
1587671551,7,1
1587673611,9,6
1587676580,37,1
1587678492,5,0
1587680423,7,3
1587682336,0,2
1587684255,3,1
1587686186,8,4
1587688092,2,5
1587690128,8,2
1587691952,1,17
1587694113,6,4
1587696015,9,5
1587697933,10,2
1587699864,1,6
1587701771,10,0
1587703695,4,1
1587705622,1,1
1587707541,3,1
1587709453,3,0
1587711379,5,21
1587713289,0,1
1587715381,0,2
1587717383,4,1
1587719309,1,1
1587721251,0,1
1587723148,0,1
1587725067,1,0
1587727262,3,0
1587729142,2,2
1587731071,1,3
1587732983,3,1
1587734834,1,0
1587737042,0,4
1587738991,2,11
1587740900,1,13
1587742829,1,13
1587744997,4,4
1587746903,1,14
1587748845,3,6
1587750757,4,11
1587752655,1,2
1587754609,7,1
1587756498,5,7
1587758598,5,5
1587760614,0,19
1587762512,1,16
1587764461,5,19
1587766604,3,6
1587768744,3,0
1587770673,3,3
1587772600,3,8
1587774504,2,2
1587776631,3,9
1587778582,4,1
1587780503,3,7
1587782420,7,9
1587784345,3,9
1587786264,1,1
1587788428,1,10
1587790334,3,5
1587792262,1,2
1587794183,3,2
1587796094,0,3
1587798157,2,5
1587799963,0,1
1587801870,1,0
1587803776,2,4
1587805768,5,2
1587807642,9,0
1587809542,0,2
1587811465,4,1
1587813422,2,2
1587815322,8,2
1587817215,1,0
1587819140,3,3
1587821065,0,2
1587822976,0,1
1587824909,0,2
1587827049,2,1
1587828991,2,1
1587830910,0,3
1587832817,0,1
1587834752,3,2
1587836682,3,1
1587838572,2,2
1587840501,1,7
1587842414,3,5
1587844338,2,6
1587846263,0,1
1587848172,3,2
1587850093,2,3
1587853213,13,4
1587855149,0,3
1587857062,1,0
1587858969,3,2
1587860890,1,2
1587863776,9,3
1587865703,3,4
1587867622,1,5
1587869602,2,7
1587871492,1,4
1587875296,2,2
1587877368,3,1
1587879388,5,4
1587881309,3,3
1587883216,0,2
1587885149,0,2
1587887099,2,0
1587888971,3,1
1587890902,33,4
1587892819,4,7
1587894789,5,5
1587896664,2,0
1587898572,2,3
1587900785,3,3
1587902711,7,5
1587904838,5,0
1587906754,7,1
1587908790,3,0
1587910932,3,0
1587912738,1,1
1587914671,3,2
1587916585,2,1
1587918524,11,0
1587921386,5,5
1587923299,1,4
1587925250,3,2
1587927136,3,0
1587929062,4,2
1587930984,3,0
1587932897,2,0
1587935068,2,3
1587937005,0,3
1587938894,0,13
1587940826,3,1
1587942732,1,0
1587944666,21,3
1587948499,1,5
1587950430,1,4
1587952345,0,2
1587954267,1,1
1587956204,0,1
1587960170,1,2
1587962188,2,2
1587964095,0,3
1587967489,3,5
1587969376,1,2
1587971307,2,0
1587973229,0,2
1587975162,0,3
1587977072,1,34
1587978984,20,4
1587980902,0,6
1587982838,4,1
1587984754,1,3
1587986665,5,1
1587988602,3,3
1587990499,0,9
1587993384,16,7
1587995299,15,4
1587997232,1,3
1587999145,3,1
1588001076,1,3
1588002996,0,4
1588004922,1,12
1588006999,4,3
1588008990,3,6
1588010930,10,1
1588012832,21,5
1588014772,8,4
1588016655,2,4
1588018585,6,2
1588020503,15,2
1588022412,4,1
1588024334,2,1
1588026269,0,3
1588028185,17,1
1588031290,13,23
1588035144,2,0
1588037089,28,0
1588038973,1,0
1588040896,1,2
1588042905,6,0
1588044752,12,0
1588046714,16,2
1588048619,2,0
1588052432,20,2
1588054357,9,0
1588058174,0,1
1588060104,6,1
1588062012,24,0
1588063945,4,1
1588065862,4,20
1588067794,1,3
1588069721,32,3
1588072612,27,1
1588074503,1,2
1588078355,8,0
1588080265,7,24
1588082175,7,8
1588084099,6,2
1588088175,26,3
1588090220,14,0
1588092050,1,0
1588093937,1,1
1588095866,3,5
1588097776,10,15
1588099697,3,21
1588101633,1,1
1588103573,3,0
1588105459,19,3
1588107386,13,17
1588109293,4,1
1588111281,1,2
1588113208,10,1
1588115060,20,20
1588116972,0,7
1588119163,7,1
1588121057,10,0
1588122972,0,18
1588125910,3,13
1588127789,4,1
1588129707,16,7
1588131628,3,16
1588133548,1,10
1588137373,13,3
1588139303,2,20
1588141241,0,5
1588143133,0,1
1588145070,7,0
1588146998,8,11
1588148891,2,22
1588150926,0,2
1588152735,0,3
1588154904,28,3
1588156846,3,15
1588158744,1,16
1588160658,0,5
1588162840,14,0
1588164731,2,7
1588166687,1,7
1588168583,1,42
1588170490,0,3
1588173416,19,3
1588175339,6,32
1588179160,4,2
1588181063,11,1
1588182998,16,3
1588184900,1,14
1588187072,4,1
1588189261,7,6
1588191137,1,10
1588193065,5,24
1588195009,4,2
1588196895,17,3
1588198823,5,3
1588200732,2,26
1588202668,2,3
1588204632,12,0
1588206492,4,15
1588209371,1,3
1588211320,0,3
1588213227,12,1
1588215149,0,14
1588217072,0,8
1588218974,1,1
1588220911,22,1
1588222979,1,5
1588224973,1,11
1588226914,1,0
1588228815,1,0
1588230987,51,1
1588232913,1,13
1588234822,1,2
1588236744,1,0
1588238668,19,0
1588240591,7,24
1588242499,2,5
1588244618,1,2
1588246590,5,0
1588248518,21,7
1588250431,0,9
1588252343,3,0
1588254277,16,0
1588256433,9,1
1588258369,0,13
1588260264,1,10
1588262190,2,1
1588264100,1,1
1588266198,13,3
1588268196,4,25
1588270117,1,2
1588272036,2,0
1588274079,9,6
1588276113,8,4
1588278010,14,1
1588279930,20,5
1588281866,15,8
1588283771,79,17
1588285939,0,1
1588287869,0,1
1588289783,12,0
1588291740,0,16
1588293618,2,1
1588295543,2,0
1588297453,16,0
1588299644,16,13
1588301541,16,0
1588303469,2,1
1588305416,6,0
1588307330,22,24
1588310182,12,2
1588312358,2,2
1588314260,1,0
1588316287,14,44
1588318295,2,5
1588322174,6,1
1588324113,26,6
1588326027,1,20
1588328224,2,2
1588330112,2,0
1588332107,10,3
1588333941,6,15
1588335870,0,8
1588337779,1,0
1588339701,1,12
1588341825,16,15
1588343668,1,0
1588345517,0,1
1588347395,17,1
1588349324,17,1
1588351262,19,5
1588353148,1,11
1588355071,0,2
1588356983,1,2
1588359147,12,4
1588361066,3,8
1588363005,2,16
1588364901,4,12
1588367043,9,14
1588368995,6,14
1588371281,1,87
1588373299,16,1
1588375209,1,4
1588377137,14,8
1588381013,0,5
1588382889,1,0
1588386022,16,33
1588387951,0,16
1588389918,5,2
1588391780,14,6
1588393701,0,23
1588395840,20,14
1588397657,0,4
1588399484,3,2
1588401379,11,1
1588403340,1,14
1588405229,5,2
1588407147,3,0
1588409073,12,10
1588410989,3,22
1588412933,4,1
1588414847,2,1
1588416757,9,2
1588418777,28,10
1588420613,16,5
1588422529,5,0
1588424761,0,3
1588426592,15,5
1588428501,1,10
1588430475,0,2
1588432470,23,1
1588434506,2,20
1588436424,15,29
1588438336,1,5
1588440266,1,0
1588444094,16,1
1588447011,16,14
1588448906,3,2
1588450820,0,3
1588452741,0,3
1588454676,13,14
1588456576,2,0
1588458502,5,12
1588460694,12,5
1588462642,0,9
1588464495,2,6
1588466427,19,2
1588468359,10,1
1588470262,4,1
1588472200,1,13
1588474131,1,2
1588476026,8,1
