DateTime,AddedIPs,RemovedIPs
1577221332,6,4
1577243321,3,3
1577265397,4,4
1577287449,1,3
1577309337,3,2
1577331392,2,6
1577353484,1,10
1577375536,5,7
1577397385,2,5
1577430291,7,7
1577452367,2,4
1577474223,5,6
1577496256,2,1
1577518105,4,6
1577540183,5,3
1577562035,5,18
1577584102,1,2
1577606170,1,1
1577628225,11,4
1577650107,12,10
1577672013,11,2
1577694273,19,3
1577716354,15,4
1577738500,4,2
1577760757,5,3
1577793945,1,6
1577815943,4,8
1577838030,7,0
1577860150,6,5
1577882451,7,4
1577904493,4,3
1577926338,1,5
1577948191,23,1
1577970147,16,2
1577992121,5,5
1578014181,2,4
1578036049,3,3
1578057906,0,46
1578079937,3,6
1578102023,4,0
1578124114,3,3
1578146717,10,6
1578168782,4,3
1578190832,2,1
1578212692,3,3
1578234745,1,21
1578256594,4,4
1578278440,3,13
1578300512,4,15
1578322360,8,16
1578344736,5,4
1578367010,3,6
1578389051,6,2
1578411154,8,3
1578433246,16,6
1578455341,2,6
1578477394,5,6
1578499517,13,7
1578521786,8,4
1578543640,13,19
1578565707,13,5
1578587550,10,13
1578609665,5,3
1578631691,3,1
1578653776,33,2
1578686686,22,3
1578708737,7,4
1578730858,6,1
1578752908,6,10
1578774753,1,1
1578796823,5,3
1578818683,4,3
1578840728,4,2
1578862571,6,3
1578895718,10,6
1578917569,4,3
1578939635,5,6
1578961705,3,2
1578983569,2,8
1579005615,49,5
1579027475,157,6
1579049318,326,5
1579071376,15,0
1579093600,6,6
1579115558,7,8
1579137696,10,10
1579159719,3,9
1579181773,5,10
1579203617,5,5
1579225466,7,4
1579247320,9,16
1579269161,2,13
1579302391,4,18
1579324337,7,6
1579346193,2,5
1579368052,2,4
1579390088,2,3
1579411934,4,4
1579433791,1,3
1579455896,4,5
1579477954,3,8
1579500283,7,2
1579522352,13,2
1579544443,2,5
1579566514,1,1
1579588573,2,2
1579610662,2,59
1579632734,3,169
1579654597,3,339
1579676525,1,9
1579698499,1,5
1579720341,2,8
1579742447,3,12
1579764291,0,6
1579786364,89,7
1579808423,232,7
1579830503,269,5
1579852572,0,4
1579874583,1,2
1579896528,3,2
1579918576,1,2
1579940425,6,3
1579962271,3,2
1579984363,4,1
1580006413,2,3
1580028259,9,3
1580050109,1,3
1580072209,2,2
1580094309,2,2
1580116166,0,15
1580138202,14,6
1580160273,3,2
1580182337,4,1
1580204194,3,2
1580226300,2,2
1580248327,1,1
1580270199,2,1
1580303123,3,0
1580325159,6,1
1580347208,1,4
1580369065,2,0
1580390912,0,2
1580412759,3,5
1580434817,9,3
1580456678,3,0
1580478736,4,1
1580500592,3,1
1580522597,1,6
1580544751,3,1
1580566629,3,3
1580588673,3,3
1580610734,3,0
1580632598,1,3
1580654653,1,57
1580676744,2,102
1580699200,0,120
1580721156,2,218
1580743478,2,182
1580765536,1,4
1580787505,3,3
1580809467,3,3
1580831321,5,5
1580853378,0,4
1580875322,4,3
1580897315,4,3
1580919382,6,6
1580941232,5,2
1580963292,5,0
1580985137,0,2
1581007214,3,0
1581029061,2,10
1581050911,1,4
1581072769,2,2
1581094971,1,5
1581116815,3,1
1581138734,2,1
1581160829,5,5
1581182891,1,5
1581204736,2,2
1581226597,3,2
1581248656,4,2
1581270512,25,3
1581292353,4,1
1581325533,3,3
1581347558,0,2
1581369411,0,3
1581391479,1,4
1581413554,3,0
1581435614,6,3
1581457471,2,2
1581479535,4,3
1581501385,0,5
1581523364,2,5
1581545324,3,7
1581567242,8,9
1581589246,8,0
1581611290,75,1
1581633138,90,3
1581655214,57,0
1581677057,58,1
1581698918,52,2
1581720765,38,5
1581743007,25,2
1581764901,9,3
1581786749,4,2
1581808815,4,3
1581830897,3,4
1581852785,1,3
1581874822,4,23
1581896665,1,5
1581918731,8,0
1581940588,1,1
1581962681,2,0
1581984768,3,1
1582006813,2,3
1582028685,6,5
1582050734,4,4
1582072591,1,1
1582094655,6,3
1582116742,2,1
1582138592,6,0
1582160616,6,4
1582182508,5,7
1582204643,4,8
1582226671,9,34
1582248514,4,39
1582270362,6,26
1582292416,4,71
1582314258,2,75
1582336112,6,73
1582358177,4,74
1582390976,10,12
1582413157,6,2
1582435214,2,1
1582457097,5,2
1582479145,12,4
1582500986,6,0
1582523050,5,7
1582544918,7,2
1582567010,2,3
1582588936,30,1
1582610894,3,3
1582632756,8,7
1582654616,3,6
1582676676,8,1
1582698550,11,5
1582720585,3,2
1582742672,3,5
1582764747,2,5
1582786980,6,7
1582808907,1,5
1582830984,34,8
1582852829,1,4
1582874907,5,6
1582896755,2,4
1582918813,5,2
1582940669,4,6
1582962740,11,3
1582995798,5,7
1583017711,4,5
1583039777,1,2
1583061661,3,5
1583083690,9,15
1583105555,0,3
1583127431,4,4
1583149468,7,7
1583171328,5,1
1583193384,7,24
1583215433,3,5
1583237295,6,8
1583259380,10,4
1583281453,0,12
1583303311,1,10
1583325376,4,2
1583347217,2,5
1583369307,2,3
1583391372,0,8
1583413344,3,2
1583435301,2,35
1583457374,2,3
1583479215,4,7
1583501060,3,2
1583523155,5,7
1583545220,1,3
1583567062,4,10
1583588925,6,2
1583610999,0,2
1583632960,0,2
1583654928,0,2
1583676998,2,3
1583699060,3,10
1583721160,6,3
1583743215,0,4
1583765086,4,11
1583787182,3,5
1583809289,0,7
1583831305,2,6
1583853149,3,6
1583875226,3,5
1583897295,3,1
1583919141,4,4
1583941240,3,1
1583963300,4,3
1583985376,2,1
1584007358,4,4
1584029331,7,2
1584051407,2,2
1584073464,1,2
1584095540,3,5
1584117617,3,4
1584139706,3,3
1584161552,2,2
1584194629,4,8
1584216508,1,0
1584238581,3,1
1584260435,1,3
1584282495,3,2
1584304427,1,3
1584326661,3,4
1584348764,3,0
1584370626,4,5
1584392608,3,3
1584436370,4,2
1584458460,4,3
1584480515,2,4
1584502464,1,3
1584524444,3,3
1584546519,2,2
1584568590,5,2
1584601511,2,5
1584623543,2,8
1584645391,3,0
1584667488,1,3
1584689556,2,1
1584711623,2,6
1584733477,2,3
1584755533,0,1
1584777402,2,3
1584799410,6,3
1584821323,1,3
1584843624,2,3
1584865690,2,3
1584887534,4,3
1584909378,1,0
1584931461,3,1
1584953305,1,1
1584975146,2,4
1585008275,4,3
1585030346,4,1
1585052190,2,4
1585074258,8,2
1585096346,8,3
1585118413,2,2
1585140304,4,0
1585162333,4,4
1585184716,2,2
1585206747,3,2
1585228814,3,3
1585250664,2,3
1585272746,3,1
1585294813,3,3
1585316666,5,1
1585338741,4,1
1585361091,2,1
1585383149,1,2
1585405226,1,9
1585427117,4,3
1585449137,3,2
1585471234,5,3
1585493299,4,4
1585537469,5,1
1585559319,2,1
1585581374,2,3
1585603228,13,1
1585625069,4,5
1585646927,3,3
1585668783,2,3
1585690813,3,7
1585712908,1,5
1585734995,3,1
1585756956,4,3
1585779157,3,4
1585801216,2,3
1585823069,0,1
1585845153,1,4
1585867209,0,1
1585889077,2,3
1585911131,0,7
1585932995,1,1
1585954941,2,2
1585976923,2,3
1585998978,1,2
1586020825,3,3
1586042894,1,3
1586064749,0,4
1586086833,1,8
1586130836,2,2
1586152944,0,5
1586174907,5,1
1586196762,2,1
1586218824,3,15
1586240664,0,3
1586262745,1,3
1586284594,5,3
1586306451,3,3
1586328528,5,1
1586350607,1,9
1586372510,2,3
1586394503,0,3
1586416366,1,0
1586438436,2,0
1586460287,1,0
1586482332,0,1
1586504201,2,1
1586526257,4,0
1586548350,6,2
1586570517,6,0
1586592507,3,3
1586614601,6,2
1586636671,3,2
1586658753,3,0
1586702665,1,1
1586724756,1,2
1586757878,2,0
1586780008,5,3
1586802013,1,4
1586823901,4,3
1586846031,1,0
1586868020,1,2
1586889871,3,2
1586911715,2,4
1586933772,2,7
1586955706,6,2
1586977699,2,2
1586999547,2,2
1587021394,2,2
1587043240,2,4
1587087372,3,0
1587109248,0,1
1587131295,2,5
1587153168,2,2
1587175317,1,5
1587197294,0,3
1587219168,1,7
1587241216,3,3
1587263063,6,2
1587285136,4,1
1587307006,5,1
1587329069,6,1
1587351141,6,1
1587373198,41,1
1587395117,38,6
1587417188,46,2
1587439262,5,0
1587461345,8,1
1587483387,6,2
1587505463,7,4
1587527329,2,1
1587549405,4,4
1587571463,2,3
1587593545,0,2
1587615649,5,0
1587637693,1,2
1587659539,1,1
1587681615,11,2
1587703472,5,0
1587725537,1,4
1587747382,3,1
1587791311,1,3
1587813422,2,0
1587835472,1,2
1587857539,2,1
1587879388,0,1
1587901239,0,2
1587923299,2,2
1587945142,3,3
1587966988,4,1
1587988919,4,50
1588010930,22,48
1588032832,10,12
1588054820,11,4
1588076906,5,7
1588098749,1,1
1588120821,1,9
1588142908,5,0
1588164982,3,3
1588187067,0,1
1588209134,0,1
1588230987,4,3
1588252855,1,3
1588285939,1,14
1588307788,1,4
1588329862,1,2
