DateTime,AddedIPs,RemovedIPs
1580829413,0,1
1580837167,1,0
1580840939,2,2
1580849057,0,1
1580850981,1,0
1580852913,1,0
1580854829,0,2
1580858663,1,0
1580860590,1,2
1580864751,1,0
1580866598,2,1
1580870419,2,4
1580872350,2,0
1580874261,0,1
1580878111,1,1
1580880019,1,1
1580881944,1,2
1580883871,1,2
1580885776,1,0
1580887700,1,0
1580895624,0,1
1580903314,1,0
1580907149,0,1
1580910992,0,1
1580912891,1,1
1580915781,1,0
1580921536,1,0
1580924415,7,1
1580926338,0,1
1580928271,0,1
1580934168,1,0
1580936188,5,1
1580938091,1,1
1580941232,2,0
1580943181,3,0
1580945067,4,1
1580946971,1,1
1580951013,0,1
1580953032,3,2
1580956813,0,2
1580958751,0,2
1580962585,1,0
1580964513,0,1
1580966446,1,1
1580968347,1,1
1580970284,0,1
1580972191,0,1
1580974099,0,1
1580989940,0,1
1580999796,0,1
1581001716,0,1
1581007474,0,1
1581009389,0,3
1581011549,0,4
1581021397,0,3
1581023357,0,3
1581025226,0,1
1581029062,0,5
1581032920,0,5
1581040596,0,3
1581048512,0,1
1581052356,0,2
1581059797,1,0
1581131801,1,0
1581147378,0,1
1581153133,1,0
1581155067,1,0
1581198524,1,0
1581218181,0,1
1581239568,0,1
1581241451,0,1
1581282225,0,1
1581361934,1,0
1581366033,3,0
1581369880,1,0
1581419538,1,0
1581421472,3,0
1581423386,3,0
1581427234,2,0
1581429137,1,0
1581433004,1,0
1581437054,1,0
1581446674,1,0
1581448589,0,1
1581452435,0,3
1581456255,0,1
1581503779,1,0
1581507618,1,0
1581519383,1,0
1581523390,3,0
1581544914,1,0
1581576501,0,13
1581590173,0,1
1581594027,0,1
1581605820,0,1
1581609856,0,3
1581629057,0,1
1581702995,1,0
1581708982,1,0
1581720767,1,0
1581722657,1,0
1581742128,1,0
1581751959,2,0
1581783191,1,0
1581786983,1,0
1581788919,1,0
1581790846,0,1
1581794696,0,1
1581802854,1,0
1581806901,0,1
1581810746,0,1
1581824442,1,0
1581826344,1,0
1581828305,0,1
1581837871,0,2
1581853482,1,0
1581855382,2,0
1581865358,1,0
1581869322,0,1
1581873136,0,1
1581876973,0,1
1581878894,2,0
1581886587,1,0
1581891378,0,1
1581906778,1,0
1581910578,0,1
1581912505,1,1
1581925960,1,0
1581939378,0,1
1581941327,0,2
1581952845,0,1
1581964599,0,1
1581966503,0,1
1581970387,1,0
1581972261,0,1
1581997732,0,1
1582013331,0,1
1582019057,1,0
1582057694,0,1
1582065884,1,0
1582067778,0,1
1582081360,1,0
1582085324,1,0
1582104525,0,1
1582132574,1,0
1582151180,0,1
1582154893,1,0
1582156915,1,0
1582168343,0,1
1582172179,0,1
1582179875,1,0
1582215858,1,0
1582217795,0,1
1582221879,1,0
1582227855,1,0
1582241291,0,1
1582243439,0,1
1582264573,0,1
1582270815,1,0
1582288126,1,0
1582301775,0,1
1582307550,0,1
1582313297,0,1
1582356268,0,1
1582373587,0,1
1582392971,1,0
1582398735,2,0
1582400666,1,0
1582410273,1,0
1582418913,1,0
1582424667,1,0
1582432587,1,0
1582444136,1,0
1582451771,1,0
1582453962,1,0
1582460675,1,0
1582462575,1,0
1582472428,1,0
1582474359,1,0
1582480116,0,1
1582482014,1,0
1582483956,0,1
1582485866,0,2
1582489693,1,0
1582491783,1,0
1582493828,1,0
1582495693,2,0
1582497613,1,1
1582505330,1,1
1582507237,1,0
1582511068,0,1
1582512985,1,0
1582515143,1,0
1582518990,0,1
1582528606,1,0
1582530523,0,1
1582538194,0,1
1582540136,1,1
1582542189,1,0
1582546096,0,1
1582548014,0,1
1582549953,1,0
1582554050,1,0
1582557860,1,1
1582559823,1,0
1582561696,0,1
1582564834,2,0
1582568653,0,1
1582575375,2,0
1582577310,0,1
1582579209,1,2
1582581162,0,2
1582583067,0,1
1582590016,1,1
1582591981,1,0
1582593867,0,1
1582597690,1,0
1582599710,0,1
1582601534,0,1
1582603490,1,0
1582613057,1,0
1582614976,0,1
1582626496,0,1
1582628698,0,1
1582634413,1,0
1582636360,0,1
1582640424,0,1
1582644282,0,1
1582646213,1,1
1582648128,1,0
1582650297,0,2
1582661788,1,2
1582665629,0,1
1582669457,1,0
1582677383,0,1
1582679297,0,1
1582683146,1,1
1582690811,0,1
1582698552,0,1
1582722977,0,1
1582732572,0,1
1582734505,0,1
1582746275,1,0
1582748195,0,1
1582755854,0,1
1582759690,1,0
1582763546,1,0
1582769559,0,1
1582784894,1,0
1582796673,1,0
1582798612,3,0
1582833698,0,1
1582843212,1,0
1582845160,0,1
1582850925,0,1
1582864824,1,0
1582870588,0,1
1582882095,0,1
1582885005,1,3
1582929611,0,1
1582952915,0,1
1582960599,1,0
1582970191,0,1
1583043878,1,0
1583045807,2,0
1583047953,2,1
1583063357,1,0
1583130736,0,1
1583132679,0,2
1583134588,0,2
1583146108,0,1
1583223860,1,0
1583239456,1,0
1583243300,1,0
1583249100,1,0
1583250982,1,0
1583255777,1,0
1583265419,1,0
1583267292,1,0
1583310058,0,1
1583325643,0,1
1583327551,1,0
1583329463,0,1
1583335213,1,1
1583337134,0,1
1583340981,1,1
1583350816,1,1
1583353026,0,1
1583354897,1,0
1583367392,1,0
1583388747,1,0
1583402172,1,0
1583414183,0,1
1583420171,0,1
1583428102,0,1
1583437713,1,1
1583441531,0,1
1583453308,0,1
1583474603,0,1
1583488103,0,1
1583508267,1,0
1583523855,0,1
1583537541,1,0
1583539460,1,0
1583541380,1,0
1583545221,1,0
1583574971,1,0
1583593692,0,1
1583595615,1,0
1583605243,1,0
1583611000,1,0
1583622742,0,1
1583624654,0,1
1583628496,0,1
1583630444,0,1
1583641957,1,0
1583651535,1,0
1583661152,0,1
1583682521,0,1
1583686333,1,0
1583688256,1,0
1583690195,0,1
1583696176,0,1
1583711531,1,0
1583729077,0,1
1583738654,0,1
1583753054,1,0
1583763622,1,0
1583773433,0,2
1583775381,1,0
1583796525,0,1
1583798632,1,0
1583839225,0,1
1583843055,1,0
1583849773,0,1
1583861806,0,1
1583886014,0,1
1583925854,0,1
1584105383,1,0
1584150971,1,0
1584159908,1,0
1584161788,1,0
1584192510,0,1
1584237150,0,1
1584244952,0,2
1584257083,1,0
1584281025,1,0
1584317791,1,0
1584344902,0,1
1584366975,0,1
1584402993,0,1
1584407327,1,0
1584444044,1,0
1584493517,0,1
1584528015,0,1
1584573383,1,0
1584586925,1,0
1584653776,1,0
1584659544,2,0
1584685461,0,2
1584695308,1,0
1584712979,1,0
1584740207,0,1
1584745946,0,2
1584781019,0,1
1584796853,0,1
1585002989,1,0
1585064701,1,0
1585105427,1,0
1585107372,1,0
1585148181,0,1
1585150110,0,1
1585177725,1,0
1585191413,0,1
1585193297,0,1
1585260978,0,1
1585301789,1,0
1585317396,1,0
1585319296,1,0
1585347382,1,0
1585388193,0,1
1585405455,0,2
1585433125,0,1
1585436696,1,0
1585522333,0,1
1585587855,1,0
1585595550,1,0
1585675719,0,1
1585679774,0,1
1585703338,1,0
1585788976,0,1
1585899870,1,0
1585920975,6,0
1585944077,1,0
1585986504,0,1
1585996114,1,0
1586030183,1,0
1586041018,1,0
