DateTime,AddedIPs,RemovedIPs
1577308358,1,5
1577330429,11,3
1577352308,3,4
1577374339,3,4
1577396431,4,7
1577418280,4,3
1577440336,0,1
1577462203,3,4
1577484158,4,2
1577506122,3,5
1577528193,2,3
1577550276,1,3
1577572372,4,1
1577594434,2,0
1577616276,3,2
1577638347,5,0
1577660486,0,3
1577682538,2,3
1577704621,3,5
1577726658,2,3
1577748550,3,3
1577770592,6,5
1577792673,2,2
1577814737,3,3
1577837191,0,4
1577859376,3,4
1577881227,0,4
1577903306,3,1
1577925384,4,10
1577947504,1,2
1577969352,4,2
1577991395,3,1
1578013491,2,4
1578035586,4,3
1578057457,2,2
1578079488,6,1
1578101564,3,5
1578123629,2,2
1578145702,5,1
1578167771,4,1
1578200752,9,4
1578222753,3,4
1578244833,2,5
1578266916,2,1
1578288992,1,1
1578311085,2,3
1578333155,6,2
1578366531,10,7
1578388599,1,3
1578410444,8,2
1578432296,5,3
1578454337,4,3
1578476179,9,2
1578498285,8,1
1578520355,4,4
1578542732,13,1
1578564758,1,4
1578586824,6,1
1578608923,1,3
1578630784,2,2
1578652872,3,5
1578675149,1,1
1578697000,3,5
1578719008,7,2
1578740914,2,4
1578762774,3,5
1578784812,5,4
1578806695,2,5
1578828752,1,6
1578850822,1,3
1578872685,9,3
1578894738,4,1
1578916923,2,2
1578939190,3,7
1578961472,2,7
1578983573,4,4
1579005616,2,4
1579027477,4,6
1579049319,2,3
1579071377,3,9
1579093607,1,6
1579115559,2,9
1579137707,0,8
1579159720,3,6
1579181774,4,5
1579203618,1,4
1579225470,1,2
1579247321,6,2
1579269162,2,3
1579291019,3,2
1579313022,2,6
1579334932,2,2
1579356978,6,1
1579378842,2,4
1579401139,3,5
1579422992,2,3
1579445062,4,0
1579467132,1,4
1579488991,4,5
1579511109,1,1
1579533142,5,4
1579554999,8,1
1579576845,4,4
1579598758,3,4
1579620735,0,6
1579642619,3,2
1579664667,2,1
1579686740,5,5
1579709111,5,3
1579731137,4,0
1579752978,1,3
1579774851,3,1
1579796904,3,4
1579818744,0,3
1579840814,2,3
1579862677,3,5
1579884738,3,2
1579906629,3,3
1579928746,3,0
1579950751,4,5
1579972600,1,1
