DateTime,AddedIPs,RemovedIPs
1587513397,73,740
1587515344,363,557
1587518195,152,674
1587520091,90,547
1587522024,109,491
1587523937,120,559
1587525857,89,550
1587527794,71,905
1587529689,71,762
1587533091,161,273
1587535494,158,148
1587537724,145,128
1587539795,241,235
1587541702,79,109
1587543642,114,121
1587545542,82,109
1587547474,92,98
1587549412,96,108
1587551300,81,64
1587553474,80,97
1587555629,89,144
1587557572,86,104
1587559470,57,102
1587561625,66,108
1587563633,81,102
1587565474,54,226
1587567385,55,118
1587569300,61,76
1587572193,69,119
1587574110,49,1277
1587576055,53,938
1587578898,80,95
1587580835,87,83
1587582753,46,69
1587584661,58,71
1587586598,51,74
1587588507,58,60
1587590416,72,89
1587592340,72,67
1587594266,42,71
1587596174,64,62
1587598098,46,69
1587600983,81,380
1587602918,59,129
1587604813,56,123
1587606732,54,127
1587608679,61,127
1587610575,61,130
1587612490,53,125
1587614523,52,111
1587616338,45,100
1587618280,46,98
1587620173,51,103
1587622107,50,151
1587624019,69,126
1587625969,69,246
1587627861,56,102
1587629769,59,118
1587631708,64,83
1587633635,57,112
1587635535,62,79
1587637457,96,95
1587639381,72,90
1587641361,56,71
1587644432,77,178
1587646339,38,74
1587648283,41,68
1587650707,61,102
1587652882,62,66
1587654776,56,62
1587656703,36,57
1587658594,46,52
1587660531,46,57
1587662430,55,67
1587664350,37,68
1587666262,53,82
1587668187,62,56
1587670112,52,50
1587672260,63,62
1587674197,70,57
1587676127,55,62
1587678031,41,71
1587680187,27,53
1587682108,21,62
1587684028,9,66
1587686013,19,69
1587687859,79,59
1587689788,59,81
1587691725,64,67
1587693811,48,62
1587695778,53,79
1587697703,49,63
1587699619,51,75
1587701534,48,57
1587703474,65,228
1587705371,43,62
1587707293,44,62
1587709224,55,56
1587711133,42,62
1587713065,66,69
1587714971,49,57
1587717140,60,86
1587718968,25,76
1587720771,37,53
1587722650,410,61
1587724825,262,53
1587726781,349,72
1587728662,588,60
1587730597,557,51
1587732505,652,45
1587734446,162,49
1587736338,78,42
1587738271,60,48
1587740219,49,44
1587742094,38,123
1587744312,27,45
1587747143,78,92
1587749050,167,59
1587750981,135,57
1587752890,83,53
1587754922,575,71
1587756749,767,53
1587758629,786,57
1587760615,860,65
