DateTime,Entries,UniqueIPs
1577150908,6282,6282
1577172768,6284,6284
1577194611,6283,6283
1577216702,6285,6285
1577238551,6286,6286
1577260607,6286,6286
1577282517,5584,5584
1577304508,4015,4015
1577326365,2053,2053
1577348227,784,784
1577370278,778,778
1577392334,777,777
1577414437,777,777
1577436776,770,770
1577459087,763,763
1577481152,765,765
1577503218,763,763
1577525085,765,765
1577547137,765,765
1577569237,764,764
1577591296,762,762
1577613162,758,758
1577646511,747,747
1577668357,745,745
1577690434,748,748
1577712492,746,746
1577734352,745,745
1577756440,739,739
1577778340,739,739
1577800337,688,688
1577822181,688,688
1577844288,688,688
1577866354,685,685
1577888345,687,687
1577910501,688,688
1577932344,690,690
1577954189,3988,3988
1577976048,7177,7177
1577998111,10626,10626
1578020200,10619,10619
1578042169,10617,10617
1578064119,10632,10632
1578086214,10637,10637
1578108271,10640,10640
1578130351,10644,10644
1578152196,10646,10646
1578174277,10647,10647
1578196359,10649,10649
1578229707,10620,10620
1578251560,10507,10507
1578273632,10509,10509
1578295492,10510,10510
1578317783,10512,10512
1578339671,10517,10517
1578361734,10519,10519
1578383833,10519,10519
1578405820,15704,15704
1578427715,15703,15703
1578449805,15705,15705
1578471861,15704,15704
1578493968,15719,15719
1578515815,16707,16707
1578537856,16707,16707
1578559720,16708,16708
1578581811,16708,16708
1578603796,16652,16652
1578625968,16651,16651
1578648172,16651,16651
1578670155,16647,16647
1578692185,16647,16647
1578714279,16648,16648
1578736331,16645,16645
1578758199,16644,16644
1578780482,16648,16648
1578802359,16649,16649
1578846254,16649,16649
1578868097,16652,16652
1578889963,16650,16650
1578912043,16650,16650
1578934124,16649,16649
1578956198,16647,16647
1578978300,16651,16651
1579000336,5955,5955
1579022201,2002,2002
1579044274,2044,2044
1579066369,2304,2304
1579088457,2711,2711
1579110517,1327,1327
1579132589,1331,1331
1579154801,1332,1332
1579177028,1334,1334
1579199063,1338,1338
1579221155,1334,1334
1579242997,1337,1337
1579264845,1333,1333
1579287158,1330,1330
1579309423,1329,1329
1579331567,1330,1330
1579353638,1325,1325
1579375692,1522,1522
1579397572,1523,1523
1579419612,1524,1524
1579463299,1526,1526
1579485393,1526,1526
1579507538,1523,1523
1579551417,1524,1524
1579573488,1526,1526
1579595533,1524,1524
1579617379,1520,1520
1579639461,1470,1470
1579661302,1244,1244
1579683387,810,810
1579705342,602,602
1579727344,606,606
1579749378,604,604
1579771485,597,597
1579793544,690,690
1579815386,834,834
1579837481,1128,1128
1579859322,1447,1447
1579881163,1490,1490
1579903403,1488,1488
1579925323,1488,1488
1579947179,1486,1486
1579969212,1488,1488
1579991066,1285,1285
1580013155,1284,1284
1580035221,1282,1282
1580057075,1480,1480
1580078977,1481,1481
1580100986,1483,1483
1580123099,1485,1485
1580145035,1484,1484
1580166990,1482,1482
1580189065,1483,1483
1580211141,1484,1484
1580233225,2855,2855
1580255068,2851,2851
1580277128,2851,2851
1580298989,2850,2850
1580321049,2847,2847
1580343168,2850,2850
1580365214,2849,2849
1580387062,2849,2849
1580408912,2832,2832
1580430756,2829,2829
1580452816,2829,2829
1580474699,2827,2827
1580496762,2824,2824
1580519073,2822,2822
1580541166,2821,2821
1580563243,2814,2814
1580585298,2835,2835
1580607173,2833,2833
1580629033,2831,2831
1580651061,2682,2682
1580673135,2785,2785
1580694980,2710,2710
1580717081,2646,2646
1580739179,2529,2529
1580761212,2227,2227
1580783092,2061,2061
1580805197,2058,2058
1580827216,2059,2059
1580849063,650,650
1580870910,654,654
1580892987,654,654
1580914956,655,655
1580936923,650,650
1580958978,653,653
1580980829,655,655
1581002911,655,655
1581024988,652,652
1581047058,646,646
1581068922,650,650
1581090981,646,646
1581113004,644,644
1581134894,643,643
1581156743,642,642
1581178845,603,603
1581200894,600,600
1581222737,601,601
1581244584,599,599
1581266660,602,602
1581288732,603,603
1581310581,601,601
1581332781,600,600
1581354748,598,598
1581376814,595,595
1581398687,589,589
1581420759,588,588
1581442821,578,578
1581464668,567,567
1581497792,596,596
1581519760,598,598
1581541725,601,601
1581563786,608,608
1581585884,609,609
1581607777,611,611
1581629799,612,612
1581651897,626,626
1581673936,627,627
1581695778,627,627
1581717813,629,629
1581739693,632,632
1581761552,635,635
1581783627,635,635
1581805695,642,642
1581827671,641,641
1581849626,639,639
1581871472,638,638
1581893531,639,639
1581915412,634,634
1581937450,639,639
1581959302,642,642
1581981147,637,637
1582002993,641,641
1582025130,641,641
1582047160,2050,2050
1582069215,2049,2049
1582091058,2049,2049
1582112918,2021,2021
1582134992,2019,2019
1582156936,2020,2020
1582178916,2023,2023
1582200990,2026,2026
1582223115,2028,2028
1582245137,2010,2010
1582267222,1990,1990
1582289316,1994,1994
1582311400,1996,1996
1582333375,1995,1995
1582355314,1995,1995
1582377375,1999,1999
1582399228,2003,2003
1582421079,2040,2040
1582443167,2048,2048
1582465214,2049,2049
1582487081,2052,2052
1582509142,2069,2069
1582531318,2073,2073
1582553291,2081,2081
1582575156,2077,2077
1582597221,2076,2076
1582619069,2071,2071
1582641138,2067,2067
1582663220,648,648
1582685064,648,648
1582706911,645,645
1582728998,647,647
1582751093,648,648
1582773169,645,645
1582795051,645,645
1582817058,643,643
1582839159,644,644
1582861305,644,644
1582883299,641,641
1582905141,635,635
1582927015,638,638
1582949016,635,635
1582970923,637,637
1582992972,639,639
1583014836,403,403
1583036905,397,397
1583058762,392,392
1583080818,389,389
1583102910,367,367
1583124881,359,359
1583146952,336,336
1583168905,330,330
1583190754,314,314
1583212823,284,284
1583234893,288,288
1583256742,291,291
1583278607,297,297
1583300664,297,297
1583322740,298,298
1583344622,296,296
1583366544,293,293
1583388511,297,297
1583410388,293,293
1583432417,294,294
1583454520,292,292
1583476582,294,294
1583498693,298,298
1583520784,299,299
1583543030,297,297
1583564937,297,297
1583586980,298,298
1583608839,472,472
1583630896,534,534
1583652754,534,534
1583674815,528,528
1583696678,529,529
1583718761,529,529
1583740928,529,529
1583762895,528,528
1583784742,561,561
1583806601,558,558
1583828684,561,561
1583850755,967,967
1583872820,1947,1947
1583894687,2883,2883
1583916533,3950,3950
1583938607,4875,4875
1583960583,5713,5713
1583982533,6230,6230
1584004419,6229,6229
1584026552,6233,6233
1584048493,6230,6230
1584070340,6231,6231
1584092423,6234,6234
1584114499,6233,6233
1584136572,6234,6234
1584169512,6234,6234
1584191567,6234,6234
1584213619,6102,6102
1584235475,6054,6054
1584257340,6054,6054
1584279396,6056,6056
1584301289,6070,6070
1584323555,6076,6076
1584345401,6077,6077
1584367480,6079,6079
1584389554,6070,6070
1584411413,18366,18366
1584433478,19255,19255
1584455568,19023,19023
1584477619,18442,18442
1584499488,17849,17849
1584521592,17180,17180
1584543852,16627,16627
1584565716,17073,17073
1584587781,16714,16714
1584609637,16714,16714
1584631700,16717,16717
1584653552,16718,16718
1584697715,16717,16717
1584719561,16713,16713
1584752668,16717,16717
1584774516,16719,16719
1584796582,16721,16721
1584818444,16718,16718
1584840507,16715,16715
1584862573,16714,16714
1584906268,16704,16704
1584928340,16702,16702
1584983081,16709,16709
1585005182,10023,10023
1585027213,1882,1882
1585049064,1883,1883
1585071148,1887,1887
1585092993,1892,1892
1585114843,1891,1891
1585136686,1866,1866
1585158744,373,373
1585180599,379,379
1585202683,377,377
1585224753,375,375
1585246837,366,366
1585269145,361,361
1585291029,362,362
1585313069,362,362
1585334929,362,362
1585356981,360,360
1585379087,360,360
1585401141,360,360
1585422983,385,385
1585445072,422,422
1585467413,423,423
1585489472,425,425
1585511545,430,430
1585533412,431,431
1585566272,440,440
1585588361,626,626
1585610445,621,621
1585632539,620,620
1585654579,621,621
1585676662,619,619
1585698731,616,616
1585753538,617,617
1585775547,616,616
1585797618,620,620
1585819489,622,622
1585841549,617,617
1585863393,617,617
1585885463,615,615
1585907534,614,614
1585929400,613,613
1585951510,611,611
1585973545,607,607
1585995625,603,603
1586017692,578,578
1586039589,572,572
1586061618,561,561
1586083496,555,555
1586105571,556,556
1586127417,561,561
1586149352,561,561
1586171300,505,505
1586193154,323,323
1586215233,326,326
1586237293,328,328
1586259135,331,331
1586281040,330,330
1586303053,330,330
1586324920,332,332
1586346998,334,334
1586379885,1829,1829
1586401959,1820,1820
1586423803,1820,1820
1586445887,1819,1819
1586467733,1820,1820
1586489796,1819,1819
1586511869,1818,1818
1586533938,1821,1821
1586555796,1822,1822
1586577832,1824,1824
1586599820,1822,1822
1586621787,1827,1827
1586643893,1827,1827
1586665934,1830,1830
1586687791,1832,1832
1586709859,1832,1832
1586731725,1835,1835
1586753772,1835,1835
1586775861,1830,1830
1586797753,1830,1830
1586819787,1833,1833
1586841859,1840,1840
1586863703,1853,1853
1586885547,1863,1863
1586907497,1865,1865
1586929465,1866,1866
1586951553,1865,1865
1586973396,354,354
1587006512,357,357
1587028646,357,357
1587050654,365,365
1587072511,375,375
1587094573,376,376
1587116444,382,382
1587138519,386,386
1587160584,388,388
1587193469,362,362
1587215553,360,360
1587237615,362,362
1587259467,360,360
1587281322,358,358
1587303397,359,359
1587325481,387,387
1587347539,393,393
1587369587,393,393
1587391527,396,396
1587413397,394,394
1587435402,396,396
1587457473,399,399
1587479542,398,398
1587501416,399,399
1587523462,401,401
1587545543,397,397
1587567386,391,391
1587600303,389,389
1587644434,388,388
1587666539,385,385
1587688573,378,378
1587710420,377,377
1587732506,374,374
1587754611,372,372
1587776673,375,375
1587798555,376,376
1587820578,380,380
1587842671,381,381
1587864742,383,383
1587886622,381,381
1587908486,377,377
1587930502,372,372
1587952347,368,368
1587974207,359,359
1588007007,337,337
1588028893,330,330
1588051023,328,328
1588073104,335,335
1588095149,335,335
1588117217,333,333
1588139072,334,334
1588161144,335,335
1588183000,333,333
1588204919,336,336
1588226918,338,338
1588249013,339,339
1588271065,1414,1414
1588293234,1851,1851
1588359150,1854,1854
1588381021,1867,1867
1588402999,1867,1867
1588425160,1863,1863
1588447018,1864,1864
1588469064,1860,1860
1588491138,1859,1859
