DateTime,AddedIPs,RemovedIPs
1574292053,1,2
1574314374,0,2
1574336422,1,5
1574358312,0,2
1574402210,3,1
1574424169,0,2
1574446360,3,1
1574468200,0,1
1574512359,0,4
1574556515,1,0
1574600701,0,4
1574622753,2,1
1574666682,1,0
1574689016,2,6
1574710860,4,1
1574732916,4,0
1574754766,2,0
1574787914,4,1
1574809949,1,1
1574832076,2,1
1574854363,3,1
1574876225,1,1
1574898282,1,1
1574920130,1,0
1574942189,1,1
1574964100,2,0
1574985971,1,0
1575007962,2,3
1575029823,1,0
1575051924,1,3
1575073975,2,0
1575096030,1,0
1575118119,2,0
1575140179,1,0
1575162173,2,1
1575184108,2,0
1575206212,2,0
1575228281,1,2
1575250353,2,0
1575272196,1,1
1575294284,2,2
1575316128,0,4
1575337969,2,4
1575360095,1,1
1575382125,3,3
1575404385,1,2
1575426256,2,2
1575448136,1,2
1575470206,2,2
1575492267,2,0
1575514141,1,1
1575536169,2,1
1575558296,2,2
1575580372,1,2
1575602419,4,1
1575624533,0,1
1575646592,1,1
1575668662,2,1
1575690770,1,2
1575723893,0,2
1575745737,0,2
1575768036,3,2
1575790108,2,1
1575811962,0,3
1575834018,2,1
1575855864,3,2
1575877735,0,1
1575899841,3,1
1575921809,1,0
1575943716,1,2
1575965559,2,1
1575987740,1,3
1576009692,2,1
1576031539,1,2
1576053653,1,1
1576075958,1,2
1576098168,1,2
1576120133,1,1
1576142443,0,2
1576164291,3,2
1576186360,0,1
1576208422,1,4
1576252366,2,1
1576274592,0,2
1576296527,0,1
1576340439,1,1
1576362540,1,2
1576384849,1,2
1576407168,2,1
1576429019,1,2
1576461887,2,3
1576506265,1,4
1576528393,1,0
1576550482,0,1
1576572512,2,1
1576594582,3,1
1576616540,0,2
1576638805,0,1
1576660814,2,2
1576704997,2,0
1576727057,0,1
1576748917,1,0
1576770982,0,2
1576792952,3,0
1576814914,0,1
1576836774,1,0
1576858829,2,2
1576880896,0,1
1576946652,1,1
