DateTime,AddedIPs,RemovedIPs
1587366686,4,0
1587368646,0,2
1587370591,1,0
1587372642,2,0
1587374678,1,1
1587376581,0,1
1587378538,2,0
1587380530,1,2
1587382362,0,2
1587384358,0,2
1587386594,1,2
1587388616,1,2
1587390656,0,2
1587394109,2,2
1587396278,3,0
1587398140,2,0
1587400250,3,3
1587402460,0,3
1587404307,1,1
1587406466,1,4
1587408502,3,2
1587410411,0,1
1587414256,1,3
1587418343,1,3
1587420287,1,2
1587422192,1,2
1587424096,3,2
1587426017,1,1
1587427982,1,0
1587429857,2,1
1587433714,2,0
1587436264,4,1
1587438512,1,3
1587440421,0,3
1587442353,1,1
1587444268,3,0
1587448111,2,0
1587450024,2,1
1587451956,0,3
1587453908,1,2
1587455807,1,2
1587457702,0,1
1587459799,1,3
1587461809,1,0
1587463711,1,1
1587465625,1,1
1587467598,4,1
1587469479,5,1
1587471477,0,1
1587473313,0,1
1587475247,2,0
1587477173,2,0
1587479101,0,1
1587480980,2,1
1587482902,1,2
1587484878,0,5
1587486737,1,3
1587488695,0,1
1587490588,4,2
1587492497,0,3
1587494416,0,1
1587496245,1,0
1587499949,2,1
1587504046,6,0
1587505976,3,2
1587507871,1,2
1587509778,6,1
1587511736,4,1
1587514604,3,1
1587516499,2,2
1587522267,1,0
1587524193,1,1
1587526130,2,0
1587528215,0,1
1587530178,1,2
1587532108,1,1
1587535948,3,3
1587538436,2,0
1587540259,1,1
1587542185,0,1
1587544272,2,1
1587546165,4,1
1587547998,0,2
1587550110,1,0
1587552069,1,1
1587554194,0,3
1587556100,4,3
1587558063,1,0
1587560090,1,1
1587562098,0,2
1587564170,1,1
1587566192,1,1
1587568098,2,0
1587570287,3,6
1587572196,3,0
1587574113,1,0
1587576058,1,3
1587577986,2,2
1587579881,0,1
1587581803,2,0
1587583744,1,0
1587585900,4,2
1587587796,2,0
1587589728,3,4
1587591623,1,5
1587593551,4,2
1587595473,2,2
1587597377,3,5
1587599310,0,1
1587601241,2,2
1587603166,4,2
1587605072,3,0
1587606995,2,1
1587608934,1,1
1587611010,2,1
1587612995,2,2
1587614934,0,1
1587616829,1,0
1587618750,2,1
1587622577,16,2
1587624523,0,2
1587626467,0,2
1587628403,0,1
1587630259,0,1
1587632190,0,3
1587634150,1,3
1587636338,2,1
1587638178,1,1
1587640361,2,0
1587642260,0,4
1587644436,3,1
1587646356,2,1
1587648303,1,1
1587650734,2,1
1587652885,2,0
1587654784,0,4
1587656712,1,2
1587658597,1,2
1587660535,1,1
1587662434,0,1
1587664353,2,2
1587666265,3,0
1587668189,0,1
1587670115,1,1
1587672389,1,3
1587674241,2,1
1587676143,1,1
1587678034,2,1
1587680189,4,2
1587682110,1,3
1587684034,0,3
1587686015,1,1
1587687862,3,1
1587689791,1,1
1587691728,2,4
1587693901,1,1
1587697706,0,1
1587699624,0,1
1587703477,1,3
1587705373,0,1
1587707296,1,0
1587709227,0,16
1587711135,1,3
1587713068,1,0
1587714974,2,1
1587717145,1,1
1587721254,1,1
1587723151,0,2
1587725070,1,4
1587727270,1,0
1587729146,1,2
1587731074,1,3
1587732986,1,0
1587734859,1,0
1587737075,1,2
1587739000,2,0
1587740933,0,1
1587745002,1,1
1587746907,0,1
1587748861,2,0
1587750761,0,4
1587752657,0,3
1587754613,1,0
1587756506,1,1
1587758676,0,1
1587760618,0,1
1587762517,0,1
1587764487,0,1
1587766609,1,2
1587768749,3,0
1587770678,2,0
1587772605,6,1
1587774509,3,5
1587776677,3,3
