DateTime,AddedIPs,RemovedIPs
1586598271,2,0
1586600196,2,1
1586602106,2,1
1586604035,1,0
1586607900,0,1
1586609776,1,0
1586611704,0,1
1586613827,0,4
1586615779,0,1
1586617709,1,0
1586619642,1,0
1586621788,0,1
1586625895,2,0
1586627782,1,0
1586631782,2,0
1586633800,0,2
1586639552,1,1
1586641464,2,0
1586643379,3,2
1586645360,1,1
1586647222,0,2
1586651082,0,6
1586652976,1,2
1586654905,1,2
1586657033,1,0
1586658989,0,3
1586662820,0,1
1586664795,1,1
1586666670,1,5
1586668576,0,2
1586672421,3,1
1586674337,1,2
1586676267,0,3
1586678175,1,1
1586680386,0,2
1586682265,1,2
1586684198,1,1
1586686127,1,3
1586688038,1,0
1586689970,0,3
1586693822,3,0
1586695724,0,1
1586699560,1,0
1586703436,0,1
1586707517,0,2
1586711421,0,1
1586713261,0,1
1586715147,0,1
1586719000,0,3
1586726669,0,1
1586728600,0,3
1586730507,0,3
1586732672,0,1
1586736509,1,0
1586738419,0,1
1586740590,1,0
1586742503,0,2
1586744432,1,0
1586746374,1,0
1586748286,1,0
1586750182,2,1
1586752095,1,0
1586754294,1,1
1586758128,3,2
1586760039,1,1
1586761955,1,0
1586763894,0,1
1586767700,0,1
1586769629,4,1
1586771564,1,1
1586773471,2,0
1586775379,0,1
1586777307,1,0
1586779381,1,2
1586781404,0,1
1586785300,0,1
1586787149,1,0
1586789072,1,0
1586791348,1,0
1586793177,4,0
1586795057,1,0
1586796983,2,0
1586799129,1,0
1586801031,1,0
1586802987,1,0
1586806836,3,0
1586808748,2,0
1586812582,1,0
1586820257,1,0
1586822188,1,1
1586824359,1,0
1586826307,1,1
1586828179,2,0
1586830116,2,1
1586832040,1,0
1586834182,1,1
1586836345,3,3
1586838273,2,1
1586840218,2,2
1586842096,2,0
1586844212,3,2
1586846034,0,2
1586848129,0,1
1586850023,1,0
1586851941,1,0
1586855778,3,4
1586857948,2,1
1586859861,1,2
1586863704,0,1
1586871616,2,0
1586873538,0,1
1586875476,0,2
1586877377,0,1
1586879295,1,2
1586881231,0,1
1586883138,0,2
1586885057,0,1
1586888203,0,2
1586890096,2,0
1586892029,0,1
1586893944,0,2
1586895852,0,2
1586899691,0,1
1586905943,1,1
1586907875,0,1
