DateTime,AddedIPs,RemovedIPs
1587513171,0,23
1587515076,10,19
1587516982,12,13
1587518963,4,4
1587521089,5,1
1587523230,8,2
1587525152,7,3
1587527091,9,8
1587528977,4,6
1587530895,11,11
1587533143,3,20
1587535497,5,41
1587537726,4,92
1587539797,6,45
1587541704,6,61
1587543643,2,57
1587545544,3,33
1587547476,3,16
1587549414,4,10
1587551302,27,28
1587553494,44,4
1587555630,23,12
1587557591,13,5
1587559471,7,14
1587561626,9,9
1587563634,12,10
1587565475,8,1
1587567401,5,1
1587569301,10,3
1587572197,24,5
1587574113,11,2
1587576058,13,11
1587577986,10,1
1587579882,21,8
1587581803,10,3
1587583744,9,4
1587585902,8,12
1587587797,12,11
1587589729,11,12
1587591624,10,6
1587593552,9,12
1587595474,2,15
1587597378,0,9
1587599311,2,6
1587601242,1,12
1587603167,10,14
1587605072,3,4
1587606995,3,5
1587608935,20,17
1587611034,8,3
1587612995,10,13
1587614935,9,8
1587616830,9,7
1587618751,10,8
1587620672,10,4
1587622578,11,4
1587624524,13,3
1587626472,16,5
1587628405,7,1
1587630260,26,1
1587632191,36,2
1587634150,36,1
1587636344,33,16
1587638179,14,10
1587640361,22,44
1587642261,8,12
1587644436,7,10
1587646356,5,6
1587648304,14,8
1587650737,8,12
1587652886,33,5
1587654785,34,12
1587656713,16,5
1587658598,10,16
1587660537,5,10
1587662434,6,6
1587664353,5,4
1587667229,8,32
1587669137,18,13
1587670972,24,4
1587672898,26,11
1587674892,13,15
1587676823,13,7
1587678743,9,13
1587680661,8,11
1587682582,9,1
1587684515,15,1
1587687643,17,3
1587689535,7,10
1587691477,5,4
1587693413,2,0
1587695296,1,26
1587698429,3,21
1587700336,6,8
1587702287,2,13
1587704254,15,12
1587706096,1,4
1587708033,5,4
1587709953,17,22
1587711946,15,17
1587713792,18,10
1587715703,27,2
1587717617,19,44
1587719552,13,21
1587721457,18,6
1587723375,24,64
1587725297,16,22
1587727270,18,18
1587729146,14,8
1587731075,22,9
1587732987,46,6
1587734859,34,7
1587737076,27,13
1587739001,9,34
1587740933,12,40
1587742838,23,15
1587745003,7,13
