DateTime,AddedIPs,RemovedIPs
1584933142,38,39
1584940362,30,13
1584948022,17,14
1584955943,17,18
1584963149,29,12
1584970583,17,15
1584977785,24,16
1584985703,26,20
1584993621,13,25
1585000830,17,20
1585008030,17,24
1585015228,29,38
1585022430,52,27
1585029868,29,10
1585037067,18,0
1585044511,17,7
1585051702,26,16
1585058909,14,17
1585066116,26,18
1585074025,23,11
1585081217,27,20
1585088418,21,18
1585095858,23,26
1585103296,33,38
1585110747,47,45
1585118660,18,11
1585125858,25,21
1585133062,21,16
1585135942,10,0
1585143385,24,23
1585150590,15,25
1585158513,26,45
1585165705,15,25
1585172901,25,0
1585180162,10,24
1585188029,25,69
1585195227,41,0
1585202427,21,32
1585209640,26,15
1585217548,18,34
1585224744,23,0
1585231949,10,21
1585239380,16,27
1585246823,20,22
1585254260,24,14
1585261458,11,30
1585268658,14,26
1585275857,18,37
1585283059,48,49
1585290979,28,22
1585298424,18,13
1585305850,17,7
1585313059,20,16
1585320968,22,18
1585327468,20,26
1585335378,19,20
1585342578,23,17
1585349804,20,18
1585357224,22,218
1585364423,43,34
1585371627,41,41
1585379553,29,16
1585386743,18,9
1585393944,18,15
1585401379,25,16
1585408823,16,17
1585415547,21,13
1585423457,17,17
1585430660,14,20
1585437860,16,369
1585445062,22,29
1585452260,44,45
1585459459,24,26
1585466896,13,16
1585474353,19,12
1585482259,16,21
1585489463,19,17
1585496671,14,20
1585503862,15,17
1585511061,12,15
1585518370,19,18
1585525459,19,25
1585532663,31,31
1585540100,49,43
1585547296,22,18
1585554742,21,12
1585561939,19,15
1585569382,15,26
1585576580,16,21
1585583781,22,19
1585591219,21,28
1585598673,15,16
1585606112,15,24
1585613780,18,24
1585620747,38,44
1585627939,41,33
1585635138,24,10
1585642340,18,15
1585649781,23,13
1585657216,28,21
1585663709,23,17
1585671618,23,24
1585678821,18,32
1585686018,12,20
1585693944,10,15
1585701149,15,30
1585704017,12,0
1585711459,41,49
1585718664,22,27
1585722260,2,0
1585723225,15,15
1585730418,26,23
1585738105,17,16
1585744816,21,19
1585752264,20,16
1585759701,23,11
1585766900,21,13
1585774098,15,16
1585781301,13,24
1585788502,23,0
1585796423,52,75
1585803629,36,25
1585810855,17,0
1585818025,28,17
1585825231,16,15
1585832427,24,14
1585840330,20,35
1585847527,24,0
1585854738,14,23
1585861938,24,19
1585869140,11,13
1585877058,29,23
1585883775,47,47
1585891217,20,35
1585898422,12,11
1585906348,19,17
1585913545,15,12
1585920743,18,17
1585927944,23,23
1585935148,17,17
1585943064,17,14
1585950262,15,19
1585957465,14,22
1585965376,39,23
1585972578,40,51
1585979779,15,25
1585986982,18,21
1585994901,20,14
1586002110,14,12
1586009307,27,16
1586016502,21,21
1586023709,14,21
1586029464,4,16
1586033062,9,0
1586041011,11,47
1586048177,26,0
1586055378,40,29
1586062613,33,49
1586069779,16,13
1586076978,17,18
1586084188,19,10
1586091379,21,18
1586098836,14,12
1586106511,11,17
1586113701,15,22
1586120909,17,21
1586128110,11,15
1586134819,17,26
1586142018,42,39
1586149713,30,36
1586156423,17,11
1586163666,20,14
1586170834,16,13
1586178749,22,20
1586185944,17,19
1586193147,28,19
1586200350,15,16
1586207551,18,20
1586214733,12,11
1586221933,22,25
1586229373,50,41
1586236810,25,28
1586244012,12,13
1586251209,23,19
1586257949,10,11
1586265152,15,16
1586273060,16,12
1586280261,15,16
1586287460,14,17
1586294663,16,25
1586301863,13,20
1586309064,29,37
1586316261,50,43
1586323464,27,18
1586330666,15,16
1586337863,15,22
1586345061,22,15
1586352270,22,20
1586360182,21,17
1586367382,26,16
1586374584,18,22
1586381781,15,21
1586388979,18,17
1586396420,23,0
1586403613,54,75
1586410810,23,22
1586417539,19,12
1586425449,21,19
1586432661,15,16
1586439868,24,19
1586447061,18,14
1586454264,21,22
1586461700,15,21
1586468901,14,14
1586476102,14,15
1586483304,31,31
1586490502,48,42
1586497219,22,28
1586504419,15,15
1586511861,24,16
1586519300,17,20
1586526505,20,12
1586533701,14,19
1586540901,15,24
1586548341,15,7
1586555292,11,37
1586563211,15,25
1586570415,39,36
1586577137,42,36
1586584570,20,13
1586591768,14,13
1586598973,21,16
1586606661,16,16
1586614102,25,12
1586621307,27,17
1586628026,18,28
1586635943,4,30
1586636662,22,0
1586643857,26,10
1586651060,15,27
1586658259,50,53
1586666178,31,24
1586673385,17,16
1586675541,5,0
1586683461,25,9
1586690441,17,15
1586697622,16,22
1586704822,19,14
1586712496,19,15
1586719695,18,13
1586727150,20,18
1586735058,16,32
1586739411,1,0
1586740112,21,31
1586747540,65,42
1586751146,19,0
1586759057,17,19
1586766496,24,15
1586773695,25,16
1586781388,31,18
1586784260,13,19
1586791707,19,14
1586799388,22,23
1586806344,20,14
1586813540,14,22
1586820745,19,23
1586826500,23,0
1586828657,14,34
1586835857,46,34
1586843059,23,16
1586850257,23,11
1586857462,23,16
1586864659,30,23
1586871865,20,15
1586879781,20,21
1586886744,19,16
1586893937,22,22
1586901376,17,18
1586908815,22,29
1586916029,33,50
1586922730,44,33
1586930182,18,18
1586937624,19,19
1586945060,22,19
1586951778,21,0
1586959710,20,43
1586966420,19,0
1586973639,29,16
1586980820,17,15
1586988023,19,16
1586995956,17,54
1587003138,43,0
1587010348,38,54
1587017542,25,37
1587024979,12,19
1587031947,23,23
1587038912,23,25
1587046115,19,25
1587053315,18,21
1587060738,26,17
1587067939,18,18
1587075145,16,18
1587082588,22,25
1587090016,49,32
1587097222,37,53
1587104416,14,23
1587111620,20,18
1587119540,24,18
1587126742,18,12
1587133939,26,14
1587140659,21,17
1587148577,21,22
1587155300,23,20
1587162983,17,24
1587170182,34,29
1587177381,40,38
1587184584,30,35
1587191779,16,22
1587198979,18,13
1587206897,18,16
1587214098,15,15
1587221300,21,17
1587228497,15,29
1587235695,18,11
1587242896,15,21
1587250101,9,14
1587257297,27,32
1587264498,50,30
1587271698,30,44
1587279625,17,14
1587286816,19,12
1587294019,15,18
1587301227,18,17
1587307941,21,18
1587315375,20,13
1587322577,20,15
1587329817,20,18
1587337219,12,20
1587344422,27,23
1587351621,43,51
1587358827,26,25
1587366028,18,14
1587373955,27,11
1587381083,18,17
1587388105,23,22
1587395557,22,18
1587402758,28,16
1587409939,20,17
1587417151,12,24
1587424348,23,23
1587431065,35,34
1587438751,48,48
1587445939,27,19
1587453143,22,8
1587460334,19,12
1587467548,20,17
1587474738,20,17
1587481942,19,12
1587489155,16,17
1587496602,19,21
1587503553,19,17
1587510745,11,24
1587513626,12,0
1587517460,14,0
1587518176,1,42
1587518907,14,0
1587526343,49,41
1587533540,29,19
1587541215,18,18
1587548410,16,18
1587555146,21,0
1587562578,15,18
1587569781,19,25
1587570497,2,18
1587577699,16,0
1587584897,19,22
1587592098,15,18
1587599294,22,24
1587607225,32,29
1587613714,35,40
1587621418,22,37
1587629302,20,34
1587636511,23,0
1587643943,21,45
1587650912,24,19
1587658580,22,18
1587665782,26,0
1587672759,18,25
1587679706,11,20
1587687615,18,17
1587694816,50,30
1587702014,37,58
1587709216,15,20
1587716660,17,17
1587724346,32,7
1587731061,10,45
1587738984,23,16
1587745694,18,28
1587753146,20,15
1587760833,18,24
1587768255,20,35
1587775461,39,25
1587782662,46,40
1587790573,30,26
1587797774,23,13
1587804978,20,19
1587812910,16,17
1587819620,23,15
1587826829,18,21
1587834027,24,27
1587841939,20,13
1587849138,18,18
1587856337,9,23
1587863539,31,21
1587870740,45,54
1587878656,20,28
1587885858,18,16
1587893056,25,15
1587900261,17,21
1587908474,15,23
1587915379,17,16
1587922586,20,38
1587930489,20,22
1587937243,13,19
1587945135,26,18
1587952578,33,40
1587960027,40,37
1587967717,23,26
1587974659,15,13
1587981869,20,15
1587989299,15,24
1587996748,14,21
1588003935,29,17
1588011141,31,21
1588018342,18,19
1588026259,8,19
1588033697,24,28
1588041386,46,54
1588048595,42,28
1588056498,24,7
1588063701,14,11
1588070894,17,17
1588077868,21,17
1588085536,22,9
1588092978,16,21
1588100178,17,15
1588107377,25,16
1588115300,16,24
1588122024,35,32
1588129233,41,48
1588137139,32,21
1588144340,16,17
1588151547,19,9
1588158974,11,13
1588166417,24,22
1588173864,21,18
1588181301,25,21
1588188745,16,15
1588195937,20,20
1588203141,22,22
1588211298,35,36
1588218019,54,53
1588225457,29,21
1588232900,25,14
1588240097,27,25
1588247299,15,18
1588254979,15,20
1588262179,16,24
1588269623,20,22
1588276824,25,21
1588284743,20,19
1588291946,21,27
1588299150,48,70
1588306830,39,16
1588314500,19,18
1588321694,18,15
1588329381,29,22
1588336614,20,20
1588344486,15,39
1588351224,16,0
1588358657,14,15
1588365860,19,18
1588373294,14,18
1588380496,33,27
1588387698,48,50
1588395627,28,33
1588402338,24,15
1588410731,16,37
1588417937,23,23
1588425152,18,24
1588433058,11,16
1588440256,15,18
1588447462,18,24
1588454661,20,16
1588462095,21,44
1588469540,27,52
1588476742,51,29
1588483951,18,14
1588491377,15,16
1588498578,16,13
