DateTime,AddedIPs,RemovedIPs
1587565520,3,0
1587567021,2,3
1587568472,2,2
1587570617,1,4
1587572335,3,2
1587573614,1,1
1587575710,1,2
1587580458,5,1
1587582052,3,2
1587583518,1,0
1587584817,2,0
1587586773,3,1
1587587657,0,3
1587588785,2,0
1587590199,2,0
1587591259,2,0
1587594045,1,2
1587594860,0,1
1587597161,1,3
1587598460,0,1
1587601522,4,1
1587602058,1,3
1587604646,7,3
1587605660,2,1
1587607993,2,2
1587609260,7,1
1587611275,5,1
1587612862,2,2
1587616459,6,4
1587618801,4,7
1587620064,5,3
1587623658,14,8
1587625626,4,3
1587627257,0,2
1587629027,3,0
1587630322,3,0
1587631818,2,3
1587633268,3,4
1587634464,2,4
1587635623,2,4
1587637521,2,1
1587638061,0,4
1587639653,4,2
1587640778,2,0
1587641660,0,6
1587643125,1,2
1587645260,1,2
1587647997,8,4
1587650405,2,3
1587652458,1,3
1587653641,1,0
1587656058,0,3
1587659120,1,0
1587660617,0,2
1587662502,0,1
1587663640,3,2
1587665153,2,2
1587666856,2,6
1587668387,1,4
1587669757,2,0
1587670456,0,3
1587674058,1,5
1587676123,0,1
1587677658,1,4
1587679758,2,3
1587681261,0,1
1587684196,0,5
1587685818,2,7
1587688456,1,4
1587689966,2,3
1587692056,3,1
1587693370,3,3
1587694758,3,4
1587696620,1,6
1587698668,1,6
1587700218,3,8
1587702320,5,7
1587703820,3,4
1587706461,7,13
1587710061,5,13
1587711335,3,4
1587712846,0,3
1587713997,1,3
1587715783,0,5
1587718859,3,8
1587721524,2,4
1587724460,5,4
1587726950,0,3
1587728046,0,4
1587731121,2,4
1587731659,1,2
1587733343,1,3
1587735262,1,4
1587738032,1,2
1587738860,1,1
1587740444,1,2
1587741915,1,0
1587743418,2,3
1587745342,2,1
1587746057,1,0
1587747627,4,3
1587749667,0,5
1587751498,0,1
1587753256,1,2
1587754850,0,3
1587756257,1,0
1587757822,0,1
1587760459,3,4
1587761837,1,3
1587763521,2,1
1587767030,4,4
1587767664,1,2
1587771254,7,3
1587772624,2,0
1587774320,2,2
1587774858,1,5
1587776835,5,2
1587778460,2,3
1587779905,4,4
1587781522,3,1
1587782057,0,2
1587785122,6,6
1587786620,2,4
1587788720,3,8
1587790221,1,4
1587792858,2,9
1587796456,4,9
1587797725,0,3
1587799520,6,2
1587800055,2,5
1587802891,3,4
1587804617,4,2
1587807259,6,5
1587809614,1,3
1587811647,1,4
1587813917,1,3
1587815417,3,4
1587817274,0,2
1587818059,0,5
1587819310,2,1
1587821120,2,1
1587822575,3,2
1587824569,2,0
1587828859,2,0
1587833416,2,0
1587834912,1,1
1587836060,0,2
1587838051,2,3
1587839391,0,2
1587840621,0,1
1587842498,1,0
1587843777,3,4
1587846055,1,0
1587847438,0,1
1587849298,1,2
1587850525,0,1
1587852214,0,1
1587853520,2,0
1587854056,1,2
1587857659,5,5
1587860042,2,2
1587862217,8,4
1587864319,9,1
1587867353,5,5
1587868461,2,1
1587869872,1,1
1587871519,1,2
1587872976,2,4
1587875660,4,6
1587876982,0,1
1587878630,2,4
1587880216,2,2
1587881622,0,3
1587882859,1,0
1587884331,0,3
1587885922,3,0
1587886459,1,2
1587889027,6,2
1587890058,3,3
1587891239,0,1
1587892685,1,2
1587893658,2,2
1587895056,3,1
1587896415,2,2
1587898848,4,5
1587900316,1,0
1587901614,1,1
1587904457,2,1
1587908059,0,3
1587909648,0,1
1587911659,1,2
1587914125,2,1
1587915486,1,1
1587916622,1,1
1587918321,0,4
1587920636,0,1
1587922457,1,2
1587926058,0,1
1587928518,0,2
1587929656,1,2
1587931113,1,1
1587933892,0,1
1587935679,1,2
1587936860,0,1
1587937995,1,1
1587940460,0,6
1587942256,0,1
1587944061,0,4
1587945822,3,4
1587947117,1,0
1587948620,3,4
1587950330,7,4
1587951587,1,2
1587952972,0,2
1587954318,1,0
1587955819,2,3
1587957921,4,1
1587961519,9,2
1587962624,2,1
1587965119,4,2
1587965661,0,6
1587968522,4,3
1587970171,1,6
1587971388,6,2
1587972857,3,1
1587975118,0,5
1587976458,2,5
1587978088,2,2
1587980800,3,2
1587982194,4,0
1587983661,0,1
1587985532,1,4
1587986721,2,0
1587988005,0,3
1587989168,2,0
1587990858,2,3
1587992729,0,2
1587993918,1,0
1587995096,2,1
1587996673,4,0
1587998125,1,1
1587999468,1,1
1588001657,1,3
1588004371,4,2
1588007043,1,3
1588008859,1,1
1588011621,1,1
1588013260,0,3
1588015038,2,1
1588016057,0,1
1588019661,0,4
1588023258,1,1
1588025819,1,2
1588027026,1,0
1588028459,1,1
1588033065,2,9
1588037656,6,12
1588038905,2,0
1588040720,6,3
1588041263,2,2
1588042408,1,1
1588043502,5,1
1588044860,5,1
1588047540,7,1
1588048461,0,2
1588049878,1,0
1588051163,3,1
1588052064,0,2
1588054361,4,1
1588055657,2,2
1588056988,2,0
1588059258,2,9
1588061658,1,5
1588062929,2,4
1588064362,1,4
1588065544,1,0
1588067030,0,3
1588068387,1,3
1588070059,5,3
1588071554,0,3
1588073029,3,1
1588073662,0,1
1588076443,5,1
1588077260,1,0
1588078405,1,0
1588080858,2,1
1588082240,3,0
1588083920,1,1
1588085332,2,2
1588086809,2,0
1588088060,1,0
1588089216,2,0
1588090931,1,0
1588093421,0,1
1588097038,1,0
1588098856,1,0
1588102462,1,2
1588104646,1,0
1588106059,1,1
1588109660,2,0
1588113263,1,2
1588114857,1,3
1588116318,1,0
1588116857,1,2
1588119354,2,4
1588121420,1,6
1588123523,1,1
1588124841,4,5
1588127664,2,1
1588129937,0,2
1588131261,3,8
1588133299,3,3
1588134862,3,2
1588137903,4,2
1588138458,1,1
1588140936,7,4
1588142062,2,2
1588144919,2,2
1588145658,1,3
1588147164,3,2
1588148276,4,0
1588149258,0,3
1588151167,4,1
1588152859,6,2
1588155919,2,4
1588157418,3,1
1588159521,2,1
1588160963,2,3
1588163120,1,0
1588164621,0,2
1588167259,3,3
1588168792,2,1
1588170319,0,1
1588170857,1,2
1588173395,3,2
1588174460,0,2
1588178057,3,0
1588181121,2,0
1588183384,3,0
1588185259,1,0
1588187042,1,1
1588191423,2,2
1588193422,0,1
1588195066,2,0
1588198418,0,3
1588201701,1,0
1588206121,1,5
1588206861,2,1
1588208547,3,4
1588210461,2,4
1588211928,3,4
1588213523,1,1
1588215023,0,5
1588216859,3,0
1588217663,1,5
1588219159,3,1
1588220726,1,0
1588221256,1,2
1588222378,1,0
1588223701,3,2
1588224859,3,4
1588226395,0,1
1588228458,0,2
1588230399,5,5
1588231519,1,0
1588233528,6,4
1588235122,3,0
1588235659,1,2
1588237113,4,1
1588238724,1,0
1588239257,3,4
1588242321,1,1
1588243620,1,3
1588245917,2,1
1588247198,0,2
1588249252,1,4
1588250059,1,2
1588252044,4,2
1588254621,0,2
1588257600,2,3
1588259094,2,2
1588260857,0,1
1588268056,0,2
1588271661,1,0
1588273107,1,0
1588276965,0,1
1588279819,0,2
1588281637,0,1
1588282908,0,4
1588284259,0,1
1588286061,0,1
1588288191,0,3
1588289662,1,3
1588290848,1,0
1588292718,3,0
1588294111,1,5
1588296861,4,2
1588298695,1,3
1588300463,2,1
1588303066,1,1
1588305020,2,5
1588307627,3,5
1588309428,1,2
1588311256,2,3
1588313198,2,0
1588315820,1,5
1588318462,3,5
1588320052,1,4
1588321521,5,0
1588322058,0,2
1588324042,3,3
1588325661,1,2
1588326753,0,1
1588328197,2,4
1588329256,4,4
1588330743,3,2
1588331957,2,0
1588334901,3,2
1588336882,2,1
1588338049,2,0
1588339311,2,0
1588340558,0,1
1588341849,2,3
1588343659,2,1
1588345811,1,2
1588347262,0,1
1588348976,0,1
1588350863,2,2
1588352550,2,0
1588354457,1,2
1588357798,2,1
1588361117,1,1
1588362620,0,1
1588365400,0,2
1588367414,1,0
1588369410,2,2
1588372663,0,2
1588375480,2,0
1588376663,0,2
1588378245,1,1
1588380755,4,4
1588381888,2,1
1588383261,0,2
1588384485,1,1
1588386859,2,1
1588390460,7,7
1588394061,6,5
1588397658,1,2
1588399942,43,5
1588401258,35,3
1588402910,47,3
1588404856,24,3
1588407173,2,2
1588409422,3,4
1588412060,2,3
1588413656,0,1
1588415120,1,0
1588415662,0,1
1588419259,1,3
1588420937,2,2
1588422857,1,0
1588425474,3,3
1588426456,1,1
1588427807,1,0
1588429398,3,0
1588430055,1,1
1588432696,0,2
1588433660,1,0
1588436055,1,1
1588437524,1,1
1588440326,2,0
1588443190,1,1
1588447543,2,0
1588448059,0,1
1588451660,1,0
1588455263,1,1
1588457724,2,0
1588458859,0,4
1588460353,1,1
1588461623,2,0
1588462459,0,2
1588466058,2,0
1588469660,5,6
1588472208,3,0
1588473995,3,2
1588476323,3,0
1588477823,3,5
1588479441,3,2
1588481420,4,1
1588486065,7,2
1588487659,3,1
1588488909,1,0
1588490719,2,1
1588492216,0,5
1588493874,1,2
1588494858,2,4
1588496105,2,0
1588497920,2,0
1588499420,1,5
1588501096,2,1
