DateTime,AddedIPs,RemovedIPs
1587655275,44,25
1587656057,24,73
1587657855,18,16
1587659119,8,1
1587660616,11,23
1587662501,24,18
1587663639,14,9
1587665153,36,21
1587666855,47,24
1587668386,33,11
1587669756,19,1
1587670455,20,22
1587671852,34,4
1587674057,46,46
1587676123,36,14
1587677657,27,16
1587679757,39,19
1587681260,14,19
1587684195,41,8
1587685817,40,15
1587688455,39,32
1587689966,27,23
1587691430,31,4
1587692055,4,16
1587693369,21,11
1587694757,33,5
1587696619,26,20
1587698668,34,15
1587700217,8,12
1587702319,10,10
1587703818,11,18
1587706460,10,37
1587710060,16,31
1587711334,17,5
1587712845,16,15
1587713996,10,17
1587715782,15,45
1587718855,18,69
1587720318,20,4
1587721522,6,48
1587724459,23,48
1587726948,11,21
1587728042,18,36
1587729253,10,11
1587731120,10,18
1587731658,9,30
1587733342,16,14
1587735261,15,15
1587738030,54,22
1587738859,29,17
1587740440,36,19
1587741914,8,3
1587743417,15,15
1587745341,25,9
1587746055,8,14
1587747626,37,11
1587749113,19,1
1587749666,3,24
1587751497,17,10
1587753255,11,16
1587754845,5,12
1587756256,12,1
1587757821,17,9
1587760458,19,16
1587761836,9,9
1587763520,18,11
1587767029,22,19
1587767663,1,12
1587771249,17,24
1587772623,52,5
1587774319,14,22
1587774857,6,16
1587776832,15,19
1587778459,13,15
1587779883,26,14
1587781521,22,9
1587782056,3,11
1587785121,23,19
1587786618,6,31
1587788719,19,17
1587790219,10,22
1587792857,21,24
1587796456,21,35
1587797724,9,8
1587799519,14,8
1587800054,4,17
1587802889,12,19
1587804616,18,17
1587807258,61,31
1587809613,16,15
1587811646,12,18
1587813916,25,12
1587815416,16,38
1587817273,11,16
1587818058,13,18
1587819306,7,12
1587821119,17,9
1587822574,8,14
1587824568,13,22
1587825255,6,47
1587828858,16,52
1587830448,32,14
1587831916,23,4
1587833416,6,31
1587834909,35,28
1587836059,6,42
1587838050,12,42
1587839389,3,33
1587840620,7,24
1587842497,11,35
1587843775,14,38
1587846053,32,22
1587847437,1,43
1587849297,16,23
1587850524,16,29
1587852213,9,29
1587853519,14,4
1587854055,5,28
1587857658,16,91
1587860040,20,30
1587862216,24,47
1587864317,26,19
1587867352,18,59
1587868460,5,22
