DateTime,AddedIPs,RemovedIPs
1586912871,1,0
1586914077,1,0
1586915379,0,1
1586917397,4,0
1586918063,0,1
1586919322,2,2
1586921655,0,2
1586927282,0,1
1586931852,2,0
1586936054,1,0
1586938605,0,1
1586939660,0,1
1586941981,0,4
1586943262,0,4
1586948107,0,1
1586949453,1,0
1586950463,2,0
1586953370,0,1
1586956391,0,2
1586958622,0,1
1586960724,0,1
1586963881,0,1
1586966701,0,1
1586972060,1,6
1586973654,0,18
1586978720,2,0
1586979259,0,1
1586980985,0,1
1586985492,1,1
1586986462,0,2
1586989526,0,1
1586996721,1,1
1586998224,0,1
1587000263,1,0
1587001825,0,2
1587004465,0,2
1587006057,7,0
1587007526,4,0
1587008061,0,1
1587011661,1,1
1587012817,1,0
1587017005,0,3
1587024492,1,0
1587026060,0,2
1587027274,0,1
1587032445,0,1
1587034225,6,0
1587035898,6,1
1587036862,2,0
1587038097,4,0
1587040460,2,0
1587042431,1,0
1587046611,4,0
1587049605,1,0
1587051258,2,0
1587053856,0,1
1587054859,0,1
1587058459,0,2
1587061517,1,2
1587062058,0,3
1587068719,0,1
1587072861,1,1
1587074804,0,2
1587079522,2,0
1587088222,0,1
1587090324,1,1
1587093439,0,1
1587094460,1,0
1587095760,1,0
1587097181,1,0
1587111531,0,1
1587115281,1,0
1587116063,0,1
1587119659,1,1
1587123561,0,1
1587126862,0,1
1587135207,1,0
1587139762,1,0
1587141260,0,22
1587142457,1,0
1587143580,0,1
1587144923,1,0
1587148458,0,1
1587151521,1,0
1587153721,0,2
1587155662,2,0
1587160918,1,0
1587164175,5,0
1587165340,6,0
1587166461,2,1
1587170063,1,1
1587173124,2,0
1587174622,0,1
1587176725,0,1
1587178231,0,1
1587184459,4,0
1587185832,2,0
1587188062,1,0
1587189304,0,1
1587191126,0,2
1587196222,2,3
1587197508,1,0
1587204552,0,2
1587206058,2,0
1587209664,0,1
1587211259,0,2
1587214217,0,1
1587219221,0,2
1587223522,2,0
1587227662,1,1
1587231822,1,0
1587238460,1,0
1587242061,1,0
1587248215,2,0
1587249438,0,2
1587255919,1,0
1587264624,0,2
1587268222,0,3
1587270328,0,1
1587271823,0,2
1587274463,1,1
1587277524,2,0
1587279020,0,1
1587281666,1,0
1587283257,1,1
1587288262,1,1
1587288862,0,3
1587290200,0,1
1587293755,2,0
1587299659,0,1
1587303261,0,1
1587304717,0,1
1587305853,2,0
1587306864,1,1
1587308210,3,0
1587309922,3,0
1587310462,1,0
1587314063,1,0
1587315327,2,1
1587316752,1,0
1587317661,1,0
1587319123,1,1
1587324322,1,0
1587326387,2,0
1587327923,1,0
1587329880,1,0
1587331216,0,2
1587332658,0,2
1587336327,1,13
1587339261,1,1
1587341134,0,1
1587342864,0,1
1587345924,2,0
1587347924,0,1
1587351648,0,2
1587353656,0,1
1587356623,5,0
1587357265,0,1
1587360860,1,1
1587365424,1,0
1587368064,0,2
1587373896,0,1
1587376940,0,1
1587379820,1,0
1587381298,0,1
1587382465,0,1
1587386065,1,0
1587400458,0,1
1587401954,1,0
1587403518,0,1
1587407127,1,0
1587417620,11,0
1587418464,0,1
1587422064,1,0
1587423820,1,0
1587425659,0,1
1587427358,0,1
1587429264,0,1
1587432861,0,2
1587436463,0,2
1587438061,1,0
1587441024,1,0
1587442222,0,1
1587444809,1,0
1587446725,1,0
1587448224,1,0
1587450864,0,1
1587452727,1,0
1587454463,0,1
1587456743,0,13
1587458068,0,40
1587459477,0,1
1587461124,1,0
1587461665,0,1
1587468862,0,1
1587472022,1,0
1587476060,1,0
1587477875,0,1
1587479660,1,2
1587481613,1,0
1587486864,1,3
1587491985,1,0
1587493114,1,0
1587494059,1,1
1587496049,0,1
1587502114,1,1
1587503331,1,0
1587504860,1,0
1587506743,2,0
1587507921,2,0
1587509422,1,0
1587510566,1,1
1587518723,2,0
1587522322,2,0
1587526463,1,3
1587528653,3,0
1587530060,1,0
1587540275,1,0
1587540862,0,1
1587542918,1,0
1587544463,2,0
1587548908,0,1
1587551661,1,1
1587554004,1,0
1587555265,0,3
1587558866,1,1
1587573618,0,1
1587580460,1,1
1587582471,1,2
1587587659,0,1
1587594047,1,0
1587598463,0,1
1587604649,12,0
1587605663,18,0
1587607996,1,0
1587611278,1,1
1587612865,0,1
1587616462,0,1
1587618803,0,2
1587623661,0,3
1587627260,0,2
1587629029,1,0
1587631820,0,2
1587633271,0,1
1587634472,1,1
1587635626,0,1
1587637523,21,0
1587638064,2,0
1587639874,1,0
1587650437,0,2
1587652461,0,1
1587656061,0,16
1587660620,1,0
1587663664,0,1
1587668393,1,0
1587669760,1,0
1587674061,1,1
1587676126,0,1
1587688459,0,1
1587696623,0,4
1587700221,1,1
1587702322,2,0
1587706464,1,0
1587710063,2,0
1587720322,0,1
1587721526,0,2
1587724463,5,1
1587726957,1,0
1587728053,1,1
1587733352,1,1
1587735264,1,0
1587747635,2,2
1587749116,3,0
1587751500,3,0
1587756260,1,2
1587757825,1,1
1587760462,2,0
1587761840,1,0
1587763523,3,1
1587767033,1,1
1587771257,0,1
1587772631,1,0
1587774323,1,1
1587774861,1,0
1587782060,2,0
1587785124,1,0
1587788723,3,1
1587792860,1,0
1587796459,1,0
1587797727,1,0
1587799523,1,0
1587800058,1,0
1587804620,0,2
1587807262,0,1
1587809617,2,1
1587811650,0,4
1587813920,0,1
1587821122,0,1
1587824571,1,0
1587836063,1,0
1587839394,1,1
1587847440,0,1
1587857661,1,0
1587867359,0,1
1587868464,0,1
1587869875,2,0
1587871522,1,1
1587872979,1,0
1587875662,0,2
1587880219,0,1
1587884333,0,3
1587889034,0,2
1587890060,1,0
1587892693,0,2
1587893661,0,2
1587895059,2,0
1587896418,1,0
1587900319,1,1
1587901617,1,0
1587908062,1,1
1587914128,0,1
1587918324,1,0
1587918858,0,1
1587920638,1,0
1587922460,1,0
1587928520,1,1
1587929659,1,0
1587931115,1,0
1587940463,0,2
1587950333,0,1
1587952974,0,2
1587957924,0,1
1587961522,2,1
1587962628,2,0
1587975121,1,2
1587976461,0,1
1587978096,0,3
1587980803,1,0
1587982197,1,0
1587989175,1,0
1587996680,1,0
1588001660,0,1
1588004374,1,0
1588008862,0,1
1588015040,1,0
1588019664,2,0
1588025822,1,0
1588037659,0,2
1588040723,0,2
1588047543,4,0
1588048463,1,0
