DateTime,AddedIPs,RemovedIPs
1587468981,24,32
1587470896,15,36
1587473072,25,35
1587475212,38,34
1587477130,44,0
1587479054,11,0
1587480965,19,29
1587482886,19,20
1587484814,32,13
1587486731,55,0
1587488652,53,18
1587490579,53,35
1587492493,45,36
1587494408,45,23
1587496599,29,35
1587498730,37,0
1587500645,37,0
1587502576,42,53
1587504484,48,28
1587506424,36,33
1587508331,49,38
1587510252,58,44
1587512177,54,43
1587514099,57,50
1587516021,43,36
1587517940,50,35
1587519850,44,33
1587521774,48,36
1587523685,28,36
1587525615,22,37
1587527528,37,0
1587529451,36,43
1587531375,37,87
1587535230,32,34
1587538104,32,81
1587540017,33,42
1587541932,26,44
1587543856,31,0
1587545770,35,39
1587547694,41,28
1587549625,27,33
1587551533,31,0
1587553733,41,63
1587555617,40,21
1587557540,37,16
1587559455,26,0
1587561612,38,22
1587563530,36,86
1587565460,14,14
1587567366,25,16
1587571224,52,48
1587573142,50,55
1587575053,56,53
1587576983,57,56
1587578893,57,0
1587580829,50,90
1587582743,44,0
1587584654,32,31
1587588498,42,73
1587590410,37,38
1587592333,42,45
1587594259,41,34
1587596169,36,44
1587598092,33,53
1587600025,36,51
1587601937,54,52
1587603856,38,44
1587605782,39,50
1587607703,33,42
1587609621,38,47
1587611808,33,32
1587613711,28,30
1587615618,48,33
1587617880,47,71
1587619944,48,0
1587621854,46,29
1587623770,29,0
1587625705,31,31
1587627624,43,30
1587629530,25,19
1587631461,36,29
1587633366,27,33
1587639164,21,91
1587641057,17,41
1587642970,12,39
1587644886,36,37
1587646821,33,31
1587648737,26,38
1587650909,40,36
1587652821,10,11
1587654753,28,26
1587656672,12,0
1587658576,28,52
1587660488,20,48
1587662408,34,56
1587666249,34,115
1587668167,54,47
1587672014,48,84
1587673935,51,0
1587676108,42,39
1587678010,50,37
1587680173,43,37
1587682097,30,39
1587685933,43,64
1587687848,42,40
1587689773,41,53
1587691688,40,33
1587693620,40,33
1587695541,43,35
1587697457,32,39
1587699372,13,34
1587701298,24,34
1587703214,29,54
1587705129,30,48
1587707057,38,47
1587708967,33,45
1587710889,25,37
1587712813,37,30
1587714732,19,40
1587716657,27,25
1587720486,38,64
1587722423,40,0
1587724343,40,0
1587726295,31,28
1587728180,51,18
1587730111,52,11
1587732026,44,31
1587733942,50,37
1587735849,32,29
1587739694,9,49
1587741611,34,26
1587743528,51,10
1587745453,37,33
1587747367,49,22
1587749294,33,33
1587751215,42,0
1587753143,30,40
1587755058,23,53
1587756980,37,0
1587758897,46,45
1587760830,29,48
1587762733,35,46
1587764649,36,45
1587766573,30,42
1587768732,44,35
1587770649,31,0
1587772573,44,42
1587774493,33,43
1587776412,22,49
1587778341,37,37
1587780256,43,37
1587782170,54,41
1587784102,43,28
1587786013,34,19
1587787934,37,23
1587789859,44,26
1587791767,37,31
1587793689,44,33
1587795624,38,35
1587797530,34,20
1587799448,42,40
1587801378,27,20
1587803287,29,31
1587805215,42,0
1587807178,37,33
1587809065,29,38
1587810969,33,35
1587814815,31,80
1587816742,29,49
1587818648,34,48
1587820568,28,51
1587822494,26,28
1587824408,15,0
1587826330,9,8
1587828259,16,36
1587830168,18,51
1587832088,27,30
1587834023,27,51
1587835936,29,32
1587837854,25,40
1587839778,25,29
1587841691,22,23
1587843761,21,38
1587845771,22,42
1587847697,23,33
1587849606,25,31
1587851529,21,31
1587853458,15,34
1587855371,27,42
1587857286,33,35
1587859221,23,39
1587861133,18,35
1587863053,13,23
1587864977,25,38
1587866889,30,38
1587868808,21,51
1587870737,28,33
1587872650,27,26
1587874569,33,34
1587876494,24,44
1587878407,37,39
1587880327,29,41
1587882260,29,28
1587884167,46,33
1587886339,35,38
1587888256,30,25
1587890180,16,26
1587892096,23,40
1587894029,37,29
1587895936,29,29
1587897850,33,35
1587899778,14,0
1587901697,25,33
1587903609,31,22
1587905837,27,30
1587907808,13,28
1587909932,22,28
1587911771,17,11
1587913951,16,7
1587915850,5,8
1587917770,30,17
1587921820,22,56
1587923775,28,30
1587927619,17,56
1587929544,33,23
1587931459,26,26
1587933373,26,20
1587935301,26,22
1587937239,25,23
1587939135,19,21
1587941050,24,15
1587944886,23,58
1587948726,32,35
1587950651,34,16
1587952575,32,27
1587956429,34,55
1587958333,35,29
1587960497,28,29
1587962412,28,33
1587964340,48,28
1587966743,50,65
1587968650,28,0
1587970577,48,82
1587972488,43,0
1587974417,40,40
1587976334,34,34
1587978256,25,18
1587980425,40,25
1587982342,28,59
1587984260,34,31
1587986418,30,24
1587988327,25,28
1587990254,38,31
1587992176,28,0
1587994088,32,26
1587996026,28,14
1587997935,8,27
1587999861,18,22
1588003694,40,28
1588005612,42,38
1588007539,41,0
1588009448,25,25
1588011367,37,25
1588013295,24,0
1588017128,32,57
1588019061,23,31
1588020969,20,26
1588022886,23,28
1588024855,22,23
1588026740,18,16
1588028661,28,28
1588030589,22,0
1588032743,29,29
1588034648,20,0
1588036572,18,40
1588038495,22,44
1588040419,37,35
1588042331,24,0
1588044255,35,35
1588046164,35,36
1588048089,40,26
1588050020,22,31
1588051949,28,50
1588053860,35,53
1588055779,18,27
1588057696,26,46
1588059610,31,42
1588061541,30,43
1588063448,18,32
1588065369,20,26
1588067295,21,41
1588069206,35,23
1588071129,36,35
1588073056,20,30
1588075020,29,25
1588078816,29,67
1588080733,37,28
1588082901,27,27
1588084819,30,8
1588086737,25,11
1588088659,24,0
1588090573,31,42
1588094417,36,77
1588096328,45,22
1588098251,31,37
1588100175,27,20
1588102086,19,0
1588104019,33,34
1588105944,33,20
1588107852,28,20
1588109770,33,25
1588113611,38,34
1588115529,33,27
1588117460,26,24
1588119607,41,23
1588121529,36,28
1588123456,38,22
1588125366,37,21
1588127286,42,30
1588129229,46,22
1588131131,46,29
1588134977,35,71
1588136922,32,20
1588138809,34,25
1588140742,39,37
1588142648,27,19
1588146494,32,56
1588148405,29,24
1588150328,30,15
1588152255,33,24
1588154164,20,28
1588156086,19,30
1588158016,27,37
1588159930,35,26
1588161862,35,28
1588163768,38,0
1588165697,26,28
1588167627,28,40
1588169534,24,29
1588171460,28,31
1588173377,28,28
1588175300,24,27
1588177208,32,34
1588179143,33,0
1588181051,16,36
1588182969,47,50
1588184889,28,36
1588186817,54,30
1588188742,19,14
1588190655,49,31
1588192571,37,32
1588194502,27,24
1588196411,33,39
1588198338,34,0
1588200265,31,34
1588204098,37,59
1588206020,27,38
1588207931,42,34
1588209852,40,0
1588211772,34,77
1588213700,38,41
1588215626,28,0
1588217580,40,93
1588219467,30,0
1588223311,20,41
1588225212,36,61
1588227134,37,0
1588229060,29,62
1588230974,42,0
1588232897,33,32
1588234810,38,30
1588236734,32,32
1588238656,22,29
1588240569,38,21
1588242487,26,23
1588244433,29,27
1588246333,31,33
1588248504,31,34
1588250419,32,38
1588252335,27,26
1588254260,31,25
1588256418,33,23
1588258330,25,24
1588260253,30,26
1588262176,24,21
1588264087,29,41
1588266031,32,31
1588267934,47,15
1588270106,46,47
1588272023,44,30
1588273934,34,54
1588275860,32,20
1588277778,17,46
1588279697,21,32
1588281607,28,33
1588283535,33,39
1588285466,36,33
1588287413,43,21
1588289288,28,0
1588291229,31,35
1588293213,21,33
1588295303,27,33
1588297213,26,32
1588299146,34,27
1588301050,33,32
1588302974,20,28
1588304895,29,42
1588306827,28,33
1588308739,29,0
1588310652,32,19
1588312567,16,34
1588314497,21,37
1588316662,24,27
1588318594,17,42
1588320503,26,35
1588324332,29,62
1588326252,11,23
1588328177,34,39
1588330098,31,28
1588332017,41,30
1588333933,25,31
1588335858,30,31
1588337770,30,30
1588339686,23,26
1588341632,23,30
1588343657,23,31
1588349311,26,85
1588351221,26,32
1588353137,24,32
1588355057,23,48
1588356972,34,48
1588359133,30,43
1588361050,22,35
1588362978,23,25
1588364889,23,17
1588366830,39,22
1588368748,31,30
1588370655,22,25
1588372581,17,35
1588374500,35,36
1588376413,32,32
1588378347,23,31
1588380250,17,29
1588382167,21,29
1588386010,31,66
1588387941,37,32
1588389860,30,21
1588391769,29,29
1588393692,36,23
1588395624,46,28
1588397618,32,36
1588399465,35,15
1588401371,28,21
1588403315,35,33
1588405211,38,25
1588407137,26,26
1588410973,33,24
1588414821,51,44
1588416730,40,33
1588418662,31,38
1588420568,33,30
1588422495,33,31
1588424424,33,33
1588426337,42,23
1588428255,25,29
1588430185,28,23
1588432107,27,0
1588434013,24,0
1588435948,32,31
1588437854,39,23
1588439765,42,26
1588441700,36,28
1588443609,29,36
1588445534,42,25
1588447460,41,26
1588449370,33,0
1588451290,34,46
1588453229,43,0
1588457063,35,83
1588460907,36,55
1588462819,38,37
1588464740,26,0
1588466648,32,29
1588468572,23,34
1588470491,31,0
1588472422,24,34
1588474333,37,0
1588478177,29,92
1588480094,39,37
1588482013,36,0
1588483947,30,47
1588486114,31,63
1588488014,25,33
1588489942,24,32
1588491850,31,34
1588493775,20,24
1588495698,30,0
1588497608,33,37
1588499528,20,0
1588501462,34,48
