DateTime,AddedIPs,RemovedIPs
1587468981,40,61
1587470896,31,40
1587473072,42,35
1587475212,58,40
1587477130,60,56
1587479054,19,66
1587480965,27,19
1587482886,32,25
1587484814,47,31
1587486731,73,46
1587488652,70,72
1587490579,66,69
1587492493,61,68
1587494408,64,62
1587496599,51,64
1587498730,53,47
1587500645,55,58
1587502576,59,56
1587504484,73,57
1587506424,51,73
1587508331,68,50
1587510252,72,69
1587512177,67,70
1587514099,69,69
1587516021,69,71
1587517940,71,68
1587519850,70,72
1587521774,75,69
1587523685,56,71
1587525615,57,58
1587527528,66,56
1587529451,57,66
1587531375,72,59
1587535230,54,70
1587538104,47,55
1587540017,63,46
1587541932,47,63
1587543856,47,45
1587545770,58,47
1587547694,61,62
1587549625,57,63
1587551533,58,53
1587553733,68,60
1587555617,65,67
1587557540,62,64
1587559455,47,64
1587561612,65,48
1587563530,56,64
1587565460,25,55
1587567366,38,28
1587571224,69,34
1587573142,65,70
1587575053,70,69
1587576983,75,69
1587578893,67,73
1587580829,71,67
1587582743,60,70
1587584654,63,62
1587588498,66,63
1587590410,71,67
1587592333,61,67
1587594259,65,62
1587596169,58,65
1587598092,62,58
1587600025,66,60
1587601937,67,66
1587603856,64,67
1587605782,58,62
1587607703,60,59
1587609621,63,61
1587611808,62,64
1587613711,56,61
1587615618,73,58
1587617880,69,73
1587619944,67,69
1587621854,68,66
1587623770,60,67
1587625705,56,61
1587627624,63,54
1587629530,48,64
1587631461,61,52
1587633366,58,59
1587639164,55,56
1587641057,30,59
1587642970,25,32
1587644886,60,23
1587646821,61,57
1587648737,48,63
1587650909,62,43
1587652821,19,69
1587654753,49,20
1587656672,20,49
1587658576,51,19
1587660488,33,52
1587662408,58,32
1587666249,57,56
1587668167,67,57
1587672014,64,68
1587673935,66,62
1587676108,65,68
1587678010,61,64
1587680173,68,61
1587682097,54,65
1587685933,62,55
1587687848,63,63
1587689773,70,63
1587691688,72,73
1587693620,62,69
1587695541,69,63
1587697457,59,67
1587699372,39,57
1587701298,44,42
1587703214,51,46
1587705129,60,49
1587707057,58,60
1587708967,59,59
1587710889,52,57
1587712813,63,53
1587714732,46,64
1587716657,54,46
1587720486,63,54
1587722423,62,64
1587724343,55,59
1587726295,55,55
1587728180,65,56
1587730111,67,66
1587732026,67,65
1587733942,60,68
1587735849,54,64
1587739694,17,51
1587741611,50,19
1587743528,72,49
1587745453,62,72
1587747367,65,63
1587749294,58,63
1587751215,63,60
1587753143,45,60
1587755058,35,46
1587756980,58,37
1587758897,62,56
1587760830,53,60
1587762733,60,51
1587764649,56,66
1587766573,61,52
1587768732,63,58
1587770649,59,63
1587772573,63,63
1587774493,57,63
1587776412,50,57
1587778341,63,47
1587780256,68,68
1587782170,66,67
1587784102,64,67
1587786013,57,60
1587787934,67,59
1587789859,73,68
1587791767,70,72
1587793689,73,72
1587795624,55,70
1587797530,60,57
1587799448,71,58
1587801378,53,75
1587803287,71,50
1587805215,67,68
1587807178,71,71
1587809065,60,69
1587810969,61,57
1587814815,59,62
1587816742,47,60
1587818648,65,50
1587820568,59,65
1587822494,57,57
1587824408,35,59
1587826330,15,38
1587828259,28,14
1587830168,36,25
1587832088,67,38
1587834023,60,67
1587835936,63,58
1587837854,62,66
1587839778,48,59
1587841691,45,45
1587843761,54,49
1587845771,40,53
1587847697,45,41
1587849606,54,45
1587851529,44,50
1587853458,36,48
1587855371,49,35
1587857286,54,48
1587859221,43,57
1587861133,47,37
1587863053,31,47
1587864977,60,32
1587866889,66,62
1587868808,56,64
1587870737,59,55
1587872650,63,60
1587874569,61,64
1587876494,58,60
1587878407,58,61
1587880327,59,57
1587882260,62,61
1587884167,70,63
1587886339,69,69
1587888256,60,69
1587890180,37,60
1587892096,63,37
1587894029,66,61
1587895936,54,66
1587897850,64,50
1587899778,37,69
1587901697,57,41
1587903609,58,53
1587905837,50,58
1587907808,33,51
1587909932,53,33
1587911771,32,52
1587913951,33,34
1587915850,13,35
1587917770,70,11
1587921820,53,66
1587923775,53,53
1587927619,50,54
1587929544,55,49
1587931459,63,57
1587933373,53,59
1587935301,55,49
1587937239,52,55
1587939135,35,55
1587941050,54,38
1587944886,54,53
1587948726,62,57
1587950651,65,60
1587952575,59,67
1587956429,63,60
1587958333,62,62
1587960497,57,61
1587962412,58,52
1587964340,67,62
1587966743,71,70
1587968650,56,70
1587970577,66,56
1587972488,67,69
1587974417,70,66
1587976334,63,66
1587978256,45,62
1587980425,65,47
1587982342,45,63
1587984260,50,44
1587986418,45,53
1587988327,46,46
1587990254,61,46
1587992176,53,57
