DateTime,AddedIPs,RemovedIPs
1586850724,92,63
1586854563,120,71
1586858405,84,66
1586860322,64,1562
1586862243,1510,0
1586866083,69,67
1586868002,72,73
1586873764,90,59
1586875922,80,76
1586879762,110,84
1586881682,101,70
1586887442,95,90
1586889363,63,92
1586895123,87,85
1586897042,92,91
1586900882,77,100
1586904723,59,120
1586908562,90,112
1586912404,61,102
1586916486,83,82
1586918402,72,96
1586922482,84,132
1586926322,82,86
1586930162,85,77
1586935922,45,4540
1586938082,4545,0
1586940002,111,76
1586941922,99,66
1586947681,85,65
1586951522,89,78
1586955362,87,74
1586959203,103,106
1586961236,69,1547
1586963043,0,1406
1586964962,2965,46
1586968802,89,81
1586972645,93,84
1586976723,89,88
1586980562,102,98
1586984403,87,105
1586986322,60,1479
1586988242,1385,0
1586990161,72,108
1586994002,72,112
1586997842,55,101
1587001682,84,86
1587003603,65,87
1587009362,66,85
1587013205,76,84
1587015122,73,67
1587018962,70,91
1587020883,91,70
1587022802,143,100
1587026643,99,62
1587030481,100,76
1587034322,65,66
1587038162,93,59
1587042004,64,84
1587043922,77,1673
1587046082,1624,0
1587048002,79,69
1587052082,94,94
1587054002,101,94
1587059761,99,109
1587063604,109,99
1587065521,161,130
1587067442,93,93
1587071283,66,96
1587073202,90,92
1587077042,64,117
1587080883,87,111
1587084722,61,105
1587088562,76,70
1587092405,75,88
1587094322,60,1774
1587096242,1699,0
1587098161,61,69
1587102002,82,73
1587105841,73,64
1587109682,93,58
1587113522,98,63
1587115442,84,66
1587121202,85,61
1587123121,77,67
1587125042,72,71
1587130802,87,58
1587132721,85,81
1587138482,94,76
1587142322,87,82
1587146161,99,92
1587150002,100,78
1587153842,80,96
1587155762,82,107
1587159602,74,99
1587163443,67,105
1587167282,85,115
1587171122,53,106
1587174961,68,89
1587178805,74,88
1587180722,25,4238
1587182641,4206,36
1587188401,91,76
1587192242,58,51
1587194162,68,54
1587199922,83,51
1587203762,79,68
1587205682,84,48
1587209522,71,1187
1587211441,1142,0
1587213367,83,93
1587215282,93,83
1587217202,141,125
1587221043,95,73
1587224882,76,65
1587226802,81,65
1587232562,81,75
1587238322,49,4718
1587240243,4688,0
1587242162,66,98
1587246002,89,102
1587249842,73,114
1587253682,82,111
1587257522,54,94
1587261362,75,86
1587265205,64,100
1587267122,48,3057
1587269042,2991,0
1587270962,57,75
1587272882,75,57
1587274802,57,75
1587276723,78,75
1587278642,72,48
1587282481,60,47
1587286322,76,63
1587290162,95,65
1587294003,74,49
1587296162,76,57
1587298322,71,70
1587304082,96,67
1587306002,77,66
1587311762,102,65
1587315605,77,79
1587319682,84,79
1587321603,97,81
1587325442,83,78
1587329282,67,82
1587333362,58,116
1587337203,59,129
1587339122,27,3968
1587341042,3920,0
1587342962,45,81
1587348722,63,72
1587350642,75,85
1587354482,71,81
1587358322,71,74
1587362162,73,77
1587366003,67,59
1587367922,62,1698
1587369842,1759,38
1587375842,70,73
1587379682,74,54
1587383522,85,52
1587387606,82,77
1587390242,102,71
1587392406,71,102
1587394322,102,71
1587396482,77,75
1587398404,96,90
1587400563,96,66
1587404643,98,94
1587408722,94,91
1587414482,93,82
1587416643,76,101
1587418562,70,107
1587422402,79,114
1587426242,81,125
1587430082,51,102
1587434162,80,77
1587436562,68,93
1587440642,78,107
1587444483,91,82
1587448321,76,64
1587452162,70,83
1587456007,82,50
1587458033,86,70
1587463922,84,62
1587468002,75,57
1587469922,77,63
1587473762,66,85
1587475681,88,74
1587479523,52,2061
1587481453,2009,0
1587483362,101,80
1587487202,98,92
1587489123,100,129
1587495122,116,75
1587498962,107,114
1587502803,107,91
1587504722,31,4315
1587506642,4232,0
1587508562,76,130
1587512402,89,97
1587516484,56,98
1587520321,92,85
1587524162,85,92
1587526082,145,158
1587528005,77,100
1587531842,76,75
1587533762,73,78
1587537606,80,59
1587539763,1,0
1587541682,95,56
1587547441,105,57
1587549362,92,69
1587553204,66,63
1587555122,66,1986
1587557042,1933,0
1587558962,61,63
1587562802,88,72
1587566642,83,86
1587570483,79,78
1587574322,85,88
1587578161,89,85
1587582006,96,69
1587583922,100,80
1587589922,132,179
1587595681,66,121
1587599521,87,111
1587603362,54,96
1587607205,64,89
1587609122,61,1670
1587611282,1728,94
1587613202,175,226
1587617042,71,77
1587620882,78,62
1587624722,66,69
1587628562,76,59
1587632404,109,52
1587634322,0,4073
1587636483,4129,26
1587638401,66,54
1587642242,61,61
1587646323,94,88
1587650405,88,77
1587654244,69,78
1587656163,74,61
1587660002,89,66
1587661923,87,62
1587667682,69,90
1587671522,96,76
1587675363,72,96
1587683042,140,255
1587686882,71,78
1587692644,61,72
1587696483,74,100
1587700323,75,92
1587702242,73,92
1587708004,73,75
1587709922,70,522
1587711858,464,0
1587713762,87,48
1587719524,93,69
1587721442,83,39
1587723363,65,65
1587729122,76,69
1587732963,82,58
1587735124,48,2763
1587737282,2725,0
1587739202,99,59
1587743042,72,83
1587744962,89,78
1587750722,78,89
1587752642,132,134
1587754562,130,80
1587756482,79,77
1587760322,67,655
1587762241,572,0
1587764163,73,97
1587768003,59,109
1587771842,82,98
1587775922,50,88
1587777842,68,80
1587781682,66,105
1587785522,14,5026
1587787442,5005,0
1587789362,70,76
1587791282,66,73
1587797043,66,41
1587800882,59,48
1587804722,76,47
1587808562,91,61
1587812405,74,58
1587814322,23,4387
1587816242,4370,0
1587818162,68,64
1587822002,81,73
1587825842,74,74
1587827763,74,65
1587829682,65,74
1587831603,74,65
1587833522,93,70
1587837363,86,71
1587839283,76,78
1587843123,77,83
1587846964,87,82
1587850803,65,85
1587854643,56,106
1587858485,82,114
1587862323,54,79
1587866165,70,80
1587870004,57,88
1587871922,63,1232
1587874082,1152,0
