DateTime,AddedIPs,RemovedIPs
1578358812,768,0
1578389764,512,1280
1578396611,256,0
1578411012,0,256
1578415512,256,0
1578444311,256,512
1578465013,0,1280
1578483912,0,256
1578491111,0,256
1578501277,1024,256
1578506414,0,256
1578573971,1024,0
1578577511,0,768
1578599111,0,256
1578610811,256,0
1578656712,0,1024
1578663012,0,256
1578670204,1536,0
1578689111,0,256
1578699146,256,0
1578705598,768,0
1578735912,256,0
1578743111,256,0
1578756610,0,1280
1578760211,0,256
1578765616,256,0
1578778210,256,0
1578779102,0,256
1578786310,0,256
1578789184,256,0
1578825011,0,256
1578833111,0,256
1578843911,0,256
1578847503,0,256
1578865510,1024,256
1578872710,0,256
1578876310,256,0
1578922269,1024,0
1578940211,512,0
1578948310,256,1280
1578976551,256,0
1579005009,0,1280
1579012202,1024,0
1579027511,0,512
1579034000,256,0
1579095912,1024,0
1579106712,256,1280
1579113912,512,0
1579121112,0,256
1579129212,256,0
1579149011,256,0
1579194910,512,1280
1579203911,512,256
1579221010,256,256
1579259711,0,1280
1579283111,1536,256
1579302058,256,512
1579355123,1024,0
1579368623,256,1024
1579377690,0,256
1579447994,512,1536
1579455924,256,0
1579482943,256,0
1579527020,256,512
1579534218,512,256
1579567511,512,0
1579603510,0,256
1579620611,768,512
1579635910,256,0
1579653011,0,512
1579690811,768,0
1579707199,256,768
1579711512,256,0
1579723223,512,0
1579763988,256,256
1579767564,0,768
1579788911,768,256
1579800715,512,512
1579810512,0,256
1579842014,256,0
1579858210,0,1280
1579878911,512,1024
1579885211,256,0
1579915360,768,0
1579929104,256,0
1579967111,512,768
1580015712,0,512
1580039110,256,768
1580067010,1024,256
1580105864,0,256
1580135411,1280,0
1580139911,0,256
1580175903,0,256
1580188537,512,0
1580200211,0,1280
1580222712,1792,0
1580239814,256,256
1580257811,512,0
1580264112,0,768
1580297412,0,1280
1580309112,256,512
1580319012,256,0
1580327111,256,0
1580358611,256,0
1580386745,0,768
1580401812,768,0
1580414418,256,0
1580437051,0,512
1580444112,256,0
1580481912,1024,0
1580488212,256,1280
1580493619,256,0
1580538611,256,0
1580563811,1024,512
1580572981,0,256
1580578212,0,512
1580583773,0,512
1580624386,512,0
1580632211,0,256
1580661002,512,512
1580676602,0,768
1580692749,256,0
1580733012,1280,512
1580749212,256,256
1580813111,0,768
1580828412,1536,0
1580847311,256,0
1580853023,256,0
1580867102,0,256
1580901302,0,1280
1580903106,768,0
1580908503,256,0
1580915711,256,0
1580921104,0,256
1580938212,0,256
1580992649,0,1024
1580999411,0,256
1581006611,0,256
1581010530,0,512
1581024612,0,256
1581032072,0,512
1581093013,1536,0
1581119161,1024,0
1581139805,256,0
1581146577,256,0
1581154268,256,0
1581162312,256,768
1581186611,256,0
1581205012,256,512
1581213798,256,0
1581245112,0,1792
1581258961,1280,256
1581274812,0,256
1581293711,0,256
1581335111,0,512
1581350413,1280,768
1581391985,0,256
1581426010,1280,768
1581428702,256,0
1581440410,0,256
1581444010,256,0
1581470111,0,256
1581511510,512,768
1581516013,256,0
1581529511,256,0
1581534011,0,256
1581542110,256,0
1581557796,512,0
1581584412,0,768
1581591611,1536,0
1581602410,256,256
1581609611,256,0
1581619020,256,0
1581626222,0,256
1581634811,256,768
1581648310,256,0
1581678010,0,1280
1581681612,0,256
1581685211,0,256
1581703372,1536,256
1581711310,256,512
1581713103,0,512
1581728411,0,512
1581776111,768,0
1581783311,0,1024
1581818576,256,0
1581848110,0,1024
1581862510,1024,0
1581869711,256,256
1581896710,0,256
1581953411,768,512
1581975011,0,256
1581994842,256,0
1582047011,1024,1280
1582061411,256,256
1582069511,0,256
1582100111,256,0
1582121934,0,768
1582145111,768,0
1582164140,512,0
1582208111,1280,0
1582215303,0,1280
1582250644,768,512
1582269311,0,1024
1582313411,1024,1024
1582334111,256,0
1582378210,0,1280
1582384512,1280,0
1582399803,512,0
1582428612,512,0
1582472006,768,1536
1582486212,512,0
1582546511,512,0
1582555511,256,512
1582576210,0,768
1582637548,768,512
1582645512,0,256
1582679988,512,256
1582690802,0,512
1582727583,512,256
1582758910,256,512
1582823711,1536,1024
1582829111,256,0
1582852511,0,256
1582895711,0,1024
1582915511,1536,768
1582929911,256,0
1582938910,256,0
1582986611,512,512
1583001911,256,0
1583009112,256,0
1583025313,0,256
1583028903,256,0
1583050831,0,1280
1583084036,768,512
1583096839,256,256
1583106311,0,256
1583140839,0,1024
1583163011,1024,0
1583185512,0,256
1583205311,256,0
1583235912,1024,0
1583250312,0,768
1583280014,0,256
1583285412,512,0
1583343912,1536,768
1583349304,0,512
1583359214,512,0
1583374513,512,0
1583385791,0,1536
1583430312,1024,0
1583438413,0,768
1583495111,256,1536
1583525712,768,512
1583549111,768,0
1583586011,0,1024
1583608512,768,0
1583694911,1024,768
1583758812,256,1024
1583781311,1024,0
1583804710,256,768
1583814118,256,0
1583864340,1536,768
1583875812,0,256
1583899217,512,0
1583935215,1024,2048
1583946912,512,0
1583963112,256,0
1583973911,512,0
1583994613,0,768
1584025216,1280,768
1584085511,512,768
1584096311,0,1792
1584115215,1792,0
1584126013,256,0
1584197111,0,1536
1584216295,512,0
1584249810,512,512
1584295215,1280,512
1584306016,0,512
1584338414,0,1280
1584370815,2048,0
1584387911,512,0
1584428411,256,512
1584447311,0,1536
1584450914,1280,0
1584468020,256,512
1584474303,768,0
1584506712,512,0
1584537312,0,2048
1584539111,256,0
1584552960,256,256
1584561258,0,768
1584584111,512,0
1584645313,512,768
1584661512,0,512
1584671901,256,0
1584728111,768,256
1584738014,0,512
1584794711,0,1024
1584799215,1536,0
1584825418,768,0
1584851660,512,0
1584885615,512,512
1584894611,256,0
1584900903,0,256
1584954903,0,768
1584976321,512,1792
1584982812,256,0
1584994511,256,0
1585009811,256,0
1585058412,1280,256
1585070112,0,512
1585091712,256,256
1585098015,0,256
1585144816,1024,1024
1585167313,0,256
1585244711,0,1536
1585251912,1024,0
1585254612,256,0
1585256878,256,0
1585278911,256,0
1585332912,768,512
1585346753,0,512
1585361173,0,256
1585395011,1280,0
1585416611,256,768
1585469917,0,1280
1585485010,1280,0
1585493111,512,512
1585500310,256,0
1585508410,256,0
1585524610,512,0
1585568710,0,1280
1585584910,1536,768
1585596609,0,512
1585609211,256,256
1585667237,768,768
1585673111,0,512
1585689303,512,0
1585708209,256,0
1585721984,0,1024
1585755911,1536,256
1585764911,256,512
1585771630,512,0
1585778874,256,256
1585786510,256,0
1585829711,0,256
1585845910,768,1280
1585851309,256,0
1585865710,512,256
1585880110,256,0
1585917009,0,2048
1585924210,2048,0
1585935911,256,256
1585948503,256,0
1585966502,256,0
1585970103,0,256
1586009113,0,1536
1586016903,1024,512
1586025911,256,512
1586036710,0,256
1586049303,256,0
1586056837,256,256
1586060110,0,256
1586097166,768,768
1586119509,512,0
1586124909,256,0
1586173510,1024,0
1586175311,256,0
1586179970,0,1024
1586191510,256,256
1586215809,512,512
1586225709,256,0
1586258109,0,1280
1586268913,1536,256
1586277262,256,256
1586302211,0,256
1586307612,256,0
1586311627,0,256
1586345411,0,1536
1586356212,512,256
1586375111,256,0
1586388610,256,0
1586441711,512,256
1586446211,0,256
1586453535,0,512
1586456111,256,0
1586469961,256,0
1586476828,256,0
1586488511,256,0
1586525412,768,0
1586528112,0,256
1586535311,512,0
1586547214,0,256
1586556911,0,256
1586607312,1024,0
1586613931,0,1280
1586623511,256,1024
1586647811,0,256
1586691011,0,1024
1586701941,1792,768
1586727010,256,0
1586734210,256,0
1586781010,512,1024
1586795557,512,0
1586803510,256,256
1586812510,512,0
1586817910,0,512
1586863810,0,512
1586871910,0,256
1586878345,512,256
1586886311,256,0
1586956511,1024,0
1586963711,0,1280
1586974511,256,0
1586988310,256,256
1587042911,1280,0
1587047515,512,256
1587054794,256,256
1587077110,256,256
1587122110,0,1792
1587129311,0,768
1587136512,1280,512
1587141911,256,0
1587155411,0,256
1587161270,512,0
1587220540,512,768
1587227674,0,256
1587233711,256,0
1587243619,0,256
1587248102,0,256
1587258911,256,0
1587302104,0,1024
1587306775,1536,0
1587318310,0,256
1587341238,256,256
1587344411,256,0
1587356398,256,0
1587384911,1024,0
1587390310,0,1280
1587394813,256,512
1587412816,256,0
1587420011,256,256
1587436210,0,256
1587473110,0,1536
1587488669,1024,256
1587503711,0,256
1587510013,0,256
1587515410,256,0
1587559510,0,256
1587573011,512,0
1587585612,256,0
1587596411,256,512
1587601810,0,256
1587631510,256,0
1587654012,1536,768
1587661210,0,256
1587673810,256,256
1587712815,0,256
1587728709,0,1280
1587742211,1280,0
1587749411,0,256
1587773710,0,256
1587821411,1536,0
1587848597,0,256
1587908711,1280,1792
1587912311,256,0
1587929411,256,512
1587951010,256,0
1587997811,1024,1024
1588005138,0,256
1588034015,256,256
1588037410,0,256
1588059911,0,1024
1588089614,1024,256
1588098939,256,0
1588127756,256,0
1588158911,1792,0
1588161787,256,0
1588173312,256,1280
1588181712,256,0
1588203093,256,0
1588251612,0,1792
1588259710,512,0
1588261030,0,256
1588261503,0,256
1588275911,256,512
1588312817,256,0
1588340710,1024,768
1588347910,512,256
1588362311,256,0
1588374015,0,256
1588383910,0,256
1588425310,0,1024
1588427111,1536,0
1588431615,256,256
1588440975,0,512
1588448092,512,0
1588496415,256,0
