DateTime,AddedIPs,RemovedIPs
1587992718,91,72
1587994087,12,11
1587996025,193,106
1587996648,156,37
1587997934,12,8
1587998113,1136,1094
1587999860,10,14
1588001782,304,173
1588003692,8,10
1588004359,246,71
1588005244,77,327
1588005610,10,7
1588007031,147,55
1588007537,8,15
1588008843,128,49
1588009447,7,11
1588010697,113,50
1588011365,12,11
1588011904,82,1
1588013294,7,9
1588015207,242,129
1588016043,60,85
1588017127,10,12
1588019059,10,10
1588019643,277,114
1588020967,11,6
1588022885,159,94
1588023243,35,75
1588024854,18,16
1588025805,172,100
1588026740,7,10
1588027010,63,71
1588028662,264,0
1588030589,149,123
1588032743,33,15
1588033052,176,209
1588034015,254,253
1588034648,7,6
1588036572,16,16
1588037410,0,256
1588037644,350,219
1588038495,9,13
1588038889,71,28
1588040419,22,12
1588040703,74,45
1588041246,31,56
1588042331,13,13
1588042393,78,33
1588043489,69,63
1588044255,14,13
1588044845,73,73
1588046164,12,16
1588047526,208,83
1588048088,13,8
1588048444,52,69
1588050020,13,13
1588051949,192,85
1588052044,47,70
1588053860,24,16
1588054349,127,75
1588055779,18,8
1588056303,76,61
1588057696,64,28
1588059245,81,188
1588059610,16,10
1588059911,0,1018
1588061541,27,13
1588061643,96,84
1588063448,14,11
1588064348,96,180
1588065368,17,9
1588065531,49,12
1588067294,9,12
1588068370,122,180
1588069205,11,596
1588070043,62,92
1588071128,17,17
1588071537,65,70
1588073055,302,0
1588073644,151,136
1588075020,17,24
1588076890,150,99
1588077244,29,107
1588078815,16,14
1588080732,54,42
1588080843,118,116
1588082900,95,35
1588083904,64,50
1588084817,14,16
1588085320,67,109
1588086736,18,14
1588086798,48,62
1588088658,10,12
1588089206,74,115
1588089614,1023,254
1588090573,16,6
1588090916,68,61
1588091672,46,81
1588092485,15,12
1588093408,286,68
1588094416,15,10
1588094704,94,2
1588096327,9,12
1588097022,191,231
1588098249,15,6
1588098939,385,99
1588100173,12,19
1588100182,28,20
1588102084,11,12
1588102444,91,146
1588104017,23,15
1588104634,96,67
1588105942,14,10
1588106044,40,74
1588107850,7,13
1588109768,19,14
1588111698,222,201
1588113244,109,103
1588113611,11,15
1588114830,69,92
1588115529,265,0
1588116303,74,0
1588117460,28,101
1588119606,18,16
1588120699,0,19080
1588121528,27,46
1588123456,19125,16
1588123504,82,55
1588125365,14,12
1588127286,65,123
1588127647,108,133
1588127756,256,0
1588129229,11,13
1588129919,89,124
1588131131,14,14
1588131243,76,70
1588133058,16,8
1588133281,103,96
1588134977,7,11
1588135510,78,83
1588136922,74,89
1588138444,113,74
1588138809,6,9
1588140292,65,92
1588140742,11,10
1588142044,52,73
1588142647,14,10
1588144565,17,16
1588144908,106,91
1588145644,36,78
1588146493,11,15
1588147149,67,56
1588148404,18,10
1588149243,83,83
1588150327,25,19
1588151146,80,102
1588152254,13,8
1588152844,85,78
1588154164,15,13
1588156087,12,627
1588158015,501,86
1588158911,1853,115
1588159929,18,13
1588160951,148,224
1588161861,266,17
1588163104,74,71
1588163767,13,26
1588164604,71,173
1588165695,19,12
1588167627,112,289
1588168765,49,144
1588169533,12,14
1588170304,59,6
1588170844,38,148
1588171458,8,12
1588173376,12,18
1588173380,352,1475
1588175299,58,138
1588177207,5,9
1588179141,158,273
1588181049,14,14
1588181103,117,111
1588181712,299,132
1588182968,13,26
1588183371,88,119
1588184887,11,16
1588185243,89,129
1588186815,17,20
1588187029,89,139
1588188740,11,16
1588188844,66,114
1588190653,12,14
1588191405,94,102
1588192568,17,24
1588193404,77,118
1588194500,10,22
1588195054,80,56
1588196408,15,14
1588198336,74,169
1588198406,95,74
1588200265,12,8
1588202171,447,197
1588203093,332,0
1588204098,10,15
1588204206,56,133
1588206020,13,28
1588206108,80,72
1588206844,35,179
1588207930,12,8
1588208527,0,17623
1588209851,34,36
1588210444,17566,0
1588211771,16,14
1588211916,70,136
1588213700,9,14
1588214710,84,13
1588215625,79,137
1588216846,75,109
1588217580,14,6
1588217677,30,131
1588219466,10,6
1588220704,130,145
1588221369,12,10
1588221911,15,123
1588223310,43,51
1588223451,33,63
1588225212,10,20
1588226374,106,201
1588227133,12,30
1588228443,95,72
1588229059,10,14
1588230387,89,89
1588230973,13,17
1588231503,35,0
1588232896,11,9
1588233515,92,113
1588234809,16,22
1588235103,54,6
1588235643,21,61
1588236733,11,16
1588237076,43,51
1588238655,9,23
1588238707,58,45
1588239244,20,63
1588240568,15,13
1588242486,45,647
1588244432,391,213
1588246332,19,10
1588247181,145,154
1588248502,13,13
1588249239,77,42
1588250044,48,83
1588250418,14,8
1588251612,0,1781
1588252030,122,161
1588252333,8,4
1588254259,10,12
1588254603,108,113
1588256416,10,9
1588257586,118,99
1588258329,6,8
1588258842,34,66
1588259710,506,0
1588260251,9,13
1588260304,49,0
1588261030,0,254
1588261503,31,330
1588262174,9,19
1588262570,52,310
1588264085,6,9
1588264445,150,243
1588266029,2,7
1588267933,11,5
1588268043,179,522
1588270104,84,74
1588271645,59,58
1588272021,11,15
1588273075,45,24
1588273932,7,12
1588274380,48,51
1588275858,6,11
1588275911,255,507
1588277775,109,176
1588278304,47,0
1588279695,8,16
1588279803,63,121
1588281604,11,17
1588281625,69,53
1588283533,104,132
1588284243,62,69
1588285463,12,9
1588286044,77,68
1588287413,14,19
1588288179,94,87
1588289288,246,0
1588289850,53,126
1588291229,10,13
1588292704,129,85
1588293213,21,9
1588294098,70,98
1588295303,16,3
1588297213,189,153
1588298682,63,82
1588299146,12,8
1588300443,69,86
1588301049,20,6
1588302973,20,9
1588303053,123,104
1588304894,12,15
1588305003,96,139
1588306827,17,12
1588307611,156,162
1588308739,14,3
1588309411,99,85
1588310652,20,10
1588311243,92,66
1588312566,10,9
1588312817,256,0
1588313186,101,84
1588314497,23,10
1588316662,136,116
1588318594,137,150
1588320502,83,91
1588321504,52,0
1588322422,46,108
1588324029,76,101
1588324330,10,22
1588325644,59,67
1588326251,4,15
1588326742,34,38
1588328177,12,597
1588328178,57,70
1588329244,57,73
1588330097,18,16
1588330732,52,88
1588332016,287,0
1588333932,121,75
1588334886,54,120
1588335857,17,16
1588336870,93,93
1588337769,9,15
1588338005,44,43
1588339684,8,8
1588340710,1101,886
1588341630,11,7
1588341834,62,55
1588343655,12,8
1588345466,75,83
1588345796,74,85
1588347377,16,11
1588347910,560,341
1588349310,90,93
1588350844,59,84
1588351219,18,12
1588351936,43,59
1588353135,16,8
1588353903,104,68
1588354444,25,78
1588355055,12,8
1588356294,97,93
1588356970,19,14
1588357476,37,0
1588359131,12,8
1588361048,13,9
1588361103,93,105
1588362311,254,0
1588362976,22,16
1588363764,156,158
1588364887,14,14
1588365389,53,104
1588366828,23,17
1588367393,73,66
1588368745,28,13
1588369398,70,115
1588370653,13,14
1588370990,75,49
1588372582,17,19
1588372653,68,77
1588374501,251,0
1588375468,133,349
1588376413,18,8
1588376652,96,114
1588378347,12,10
1588380251,72,62
1588380742,71,97
1588382168,22,17
1588383243,95,157
1588384096,17,6
1588384472,62,283
1588386011,23,8
1588386844,94,116
1588387942,12,12
1588389860,13,11
1588390443,134,195
1588391769,15,13
1588393692,9,12
1588394044,142,142
1588395624,12,8
1588397618,16,10
1588397643,134,174
1588399465,13,8
1588399930,111,79
1588401370,15,9
1588403314,207,161
1588404844,99,68
1588405210,17,14
1588407136,7,15
1588407152,79,80
1588409060,13,12
1588409404,71,84
1588410972,18,19
1588412044,143,124
1588412887,18,13
1588413638,66,89
1588414820,11,599
1588415103,65,1
1588415644,13,66
1588416730,15,14
1588417226,53,93
1588418661,322,0
1588419243,73,77
1588420567,17,11
1588420910,54,102
1588422494,18,13
1588422843,78,105
1588424423,17,15
1588425463,116,88
1588426336,16,1031
1588426444,33,74
1588427111,1536,0
1588428254,16,15
1588429377,118,59
1588430184,29,19
1588432106,290,319
1588432679,95,86
1588433643,32,135
1588434012,14,6
1588435946,33,13
1588436040,91,136
1588437853,16,10
1588439764,72,82
1588440303,130,97
1588440975,0,509
1588441699,14,14
1588443608,19,27
1588444670,169,174
1588445533,15,13
1588447458,82,98
1588447503,62,0
1588448092,512,0
1588449368,61,72
1588451288,186,88
1588451643,52,62
1588453227,16,13
1588454278,155,104
1588455132,11,9
1588455247,59,67
1588457061,25,8
1588457711,130,83
1588458981,23,10
1588460907,398,149
1588461611,54,9
1588462443,32,64
1588462818,25,14
1588464740,20,6
1588464942,94,88
1588466648,16,8
1588468572,98,118
1588469643,141,140
1588470490,18,12
1588472421,15,18
1588473979,189,175
1588474333,21,18
1588476252,22,12
1588476304,95,41
1588478177,28,8
1588479423,121,168
1588480094,27,9
1588482013,38,16
1588483503,154,179
1588483946,26,12
1588484045,21,75
1588486113,119,97
1588488014,115,91
1588488896,49,26
1588489941,28,22
1588490703,64,59
1588491850,24,9
1588492204,59,88
1588493774,25,22
1588493862,72,42
1588494844,60,62
1588495697,20,10
1588496093,38,30
1588496415,253,0
1588497607,19,14
1588497904,117,50
1588499527,18,6
1588500213,64,99
1588501461,79,802
