DateTime,AddedIPs,RemovedIPs
1573037769,2,0
1573072805,2,5
1573081462,1,0
1573125405,2,0
1573159205,6,3
1573212736,1,0
1573245607,5,2
1573256410,1,0
1573300097,3,0
1573332964,2,2
1573343794,5,0
1573387704,3,0
1573418645,2,4
1573431382,1,0
1573504807,3,2
1573518737,2,0
1573562413,2,0
1573591207,2,4
1573606096,8,0
1573649768,5,0
1573677849,4,4
1573693451,4,0
1573737153,7,0
1573764245,3,2
1573780821,5,0
1573824486,2,0
1573850645,4,4
1573868183,3,0
1573911866,1,0
1573937529,2,2
1573955572,6,0
1573999218,2,0
1574023207,2,1
1574042914,6,0
1574086581,3,0
1574109606,0,1
1574130251,6,0
1574173942,5,0
1574196246,2,2
1574217610,5,0
1574261547,2,0
1574282884,2,2
1574305249,4,0
1574369287,2,0
1574392574,3,0
1574436502,2,0
1574455444,1,5
1574480427,1,0
1574524098,3,0
1574542326,4,3
1574567774,5,0
1574611481,1,0
1574628244,2,1
1574655131,2,0
1574699078,6,0
1574714404,1,3
1574742739,3,0
1574786434,5,0
1574800804,3,2
1574873812,2,0
1574886999,4,2
1574917456,5,0
1574961141,3,0
1574973605,1,3
1575005057,2,0
1575048998,3,0
1575060005,3,1
1575092649,1,0
1575136334,2,0
1575146405,1,2
1575180027,3,0
1575223706,6,0
1575232806,2,1
1575267389,4,0
1575311063,2,0
1575319447,1,2
1575354734,1,0
1575398434,1,0
1575405845,2,2
1575442091,1,0
1575485770,3,0
1575492004,5,2
1575529457,3,0
1575573405,4,0
1575578406,2,6
1575617049,1,0
1575660761,1,0
1575664804,5,1
1575704423,2,0
1575748339,1,0
1575751205,0,2
1575792016,2,0
1575803767,0,24
1575835710,3,0
1575836859,2,2
1575879612,3,0
1575923537,1,0
1575924103,0,4
1575967209,2,0
1576009668,2,1
1576011137,33,0
1576055094,3,0
1576096164,5,2
1576098748,2,0
1576142419,5,0
1576182486,0,2
1576186353,2,0
1576230014,1,0
1576268892,4,2
1576273935,1,0
1576317633,2,0
1576355274,1,3
1576361301,3,0
1576404976,7,0
1576442164,1,1
1576448659,2,0
1576528218,1,1
1576536262,4,0
1576579942,2,0
1576614580,1,4
1576623612,1,0
1576667300,1,0
1576700933,4,1
1576711211,1,0
1576787350,0,1
1576798808,3,0
1576842492,2,0
1576873797,1,2
1576886177,2,0
1576929859,1,0
1576960315,2,0
1576973548,1,0
1577017219,2,0
1577046481,1,2
1577060885,4,0
1577104810,2,0
1577132916,3,2
1577148489,3,0
1577192169,1,0
1577219229,1,3
1577235854,2,0
1577279777,1,0
1577305896,3,1
1577323446,3,0
1577367133,1,0
1577392594,2,7
1577410825,1,0
1577454499,1,0
1577478569,5,2
1577498167,1,0
1577542097,2,0
1577564894,2,1
1577585788,3,0
1577629460,2,0
1577651308,0,3
1577673150,2,0
1577716823,3,0
1577737684,3,1
1577760727,1,0
1577804428,1,0
1577824068,2,0
1577848347,2,0
1577910477,1,5
1577935697,1,0
1577979625,3,0
1578001878,5,4
1578023295,2,0
1578083557,3,2
1578169686,3,1
1578241944,2,0
1578256041,1,4
1578285608,4,0
1578329298,2,0
1578342976,1,1
1578372963,1,0
1578416902,3,0
1578428952,1,3
1578460570,2,0
1578504269,2,0
1578515322,5,2
1578547942,1,0
1578591855,5,0
1578601793,2,3
1578679220,1,0
1578688304,2,2
1578766815,1,0
1578774506,3,4
1578810504,2,0
1578854180,2,0
1578860868,3,1
1578897851,1,0
1578941527,4,0
1578947331,1,2
1579028910,1,0
1579033747,2,3
1579116267,2,0
1579120051,1,4
1579203608,1,0
1579206521,2,1
1579247306,1,0
1579290981,3,0
1579293112,2,0
1579334924,1,0
1579378581,2,0
1579379327,1,1
1579422263,1,0
1579509608,1,1
1579552119,1,1
1579596969,1,0
1579638604,1,1
1579640656,2,0
1579684335,1,0
1579724866,2,2
1579728018,2,2
1579771688,2,0
1579811404,2,1
1579815375,4,0
1579859075,2,0
1579897912,0,2
1579902732,2,0
1579946434,2,0
1579984217,3,4
1579990102,3,0
1580033769,1,0
1580070491,4,3
1580077447,3,0
1580121148,14,0
1580156982,1,2
1580164827,1,0
1580208501,3,0
1580243272,2,1
1580252178,2,0
1580296107,1,0
1580329769,2,1
1580339770,7,0
1580383457,2,0
