DateTime,Entries,UniqueIPs
1587536166,5598,5598
1587538103,5604,5604
1587540017,5592,5592
1587541932,5597,5597
1587543855,5607,5607
1587545770,5605,5605
1587547693,5599,5599
1587549624,2873,2873
1587551532,2882,2882
1587553732,4160,4160
1587555616,4171,4171
1587557538,4196,4196
1587559456,4234,4234
1587561611,4240,4240
1587563529,4220,4220
1587565458,4231,4231
1587567365,4257,4257
1587569287,4257,4257
1587571223,4263,4263
1587573140,4277,4277
1587575052,4297,4297
1587576982,4340,4340
1587578891,4367,4367
1587580827,4364,4364
1587582741,4380,4380
1587584652,4443,4443
1587586570,4466,4466
1587588496,4500,4500
1587590408,4530,4530
1587592331,4568,4568
1587594257,4603,4603
1587596169,4631,4631
1587598093,5729,5729
1587600026,5754,5754
1587601937,5764,5764
1587603856,5772,5772
1587605782,5775,5775
1587607703,5762,5762
1587609621,5795,5795
1587611808,5800,5800
1587613711,5807,5807
1587615617,5791,5791
1587617879,5795,5795
1587619944,5801,5801
1587621854,5812,5812
1587623770,5811,5811
1587625704,5805,5805
1587627624,5785,5785
1587629530,5781,5781
1587631460,5774,5774
1587633366,5771,5771
1587635290,5778,5778
1587637212,3175,3175
1587639163,3197,3197
1587641057,4467,4467
1587642969,4507,4507
1587644885,4526,4526
1587646820,4511,4511
1587648736,4508,4508
1587650908,4512,4512
1587652819,4513,4513
1587654751,4506,4506
1587656670,4502,4502
1587658574,4525,4525
1587660487,4525,4525
1587662407,4503,4503
1587664335,4478,4478
1587666248,4466,4466
1587668165,4457,4457
1587670094,4454,4454
1587672013,4471,4471
1587673933,4459,4459
1587676106,4438,4438
1587678008,4443,4443
1587680171,4413,4413
1587682098,4374,4374
1587684015,5472,5472
1587685933,5450,5450
1587687849,5450,5450
1587689774,5469,5469
1587691688,5466,5466
1587693620,5466,5466
1587695541,5479,5479
1587697457,5495,5495
1587699372,5535,5535
1587701298,5534,5534
1587703214,5558,5558
1587705129,5529,5529
1587707057,5513,5513
1587708967,5488,5488
1587710888,5487,5487
1587712813,5509,5509
1587714732,5506,5506
1587716657,5487,5487
1587718567,5443,5443
1587720486,5415,5415
1587722422,2466,2466
1587724343,2473,2473
1587726295,3650,3650
1587728180,3612,3612
1587730110,3581,3581
1587732025,3570,3570
1587733941,3579,3579
1587735848,3595,3595
1587737766,3580,3580
1587739693,3533,3533
1587741610,3490,3490
1587743527,3482,3482
1587745452,3464,3464
1587747365,3445,3445
1587749293,3436,3436
1587751214,3429,3429
1587753141,3428,3428
1587755057,3429,3429
1587756979,3434,3434
1587758895,3411,3411
1587760828,3458,3458
1587762731,3443,3443
1587764648,3440,3440
1587766572,3446,3446
1587768733,3425,3425
1587770649,4530,4530
1587772573,4546,4546
1587774493,4553,4553
1587776412,4562,4562
1587778341,4566,4566
1587780256,4567,4567
1587782169,4546,4546
1587784101,4526,4526
1587786012,4528,4528
1587787934,4515,4515
1587789858,4522,4522
1587791766,4508,4508
1587793688,4511,4511
1587795623,4494,4494
1587797529,4491,4491
1587799447,4456,4456
1587801377,4449,4449
1587803286,4441,4441
1587805214,4419,4419
1587807177,4397,4397
1587809064,2192,2192
1587810968,2196,2196
1587812906,3259,3259
1587814813,3305,3305
1587816740,3354,3354
1587818646,3333,3333
1587820567,3328,3328
1587822492,3348,3348
1587824406,3336,3336
1587826328,3318,3318
1587828257,3308,3308
1587830166,3313,3313
1587832086,3296,3296
1587834021,3284,3284
1587835934,3288,3288
1587837851,3286,3286
1587839776,3273,3273
1587841689,3278,3278
1587843759,3253,3253
1587845769,3265,3265
1587847695,3283,3283
1587849604,3311,3311
1587851526,3330,3330
1587853455,3340,3340
1587855371,3386,3386
1587857285,4381,4381
1587859221,4431,4431
1587861133,4427,4427
1587863053,4414,4414
1587864977,4448,4448
1587866888,4469,4469
1587868808,4471,4471
1587870736,4457,4457
1587872650,4443,4443
1587874569,4467,4467
1587876494,4469,4469
1587878406,4475,4475
1587880326,4469,4469
1587882259,4470,4470
1587884166,4489,4489
1587886337,4469,4469
1587888255,4467,4467
1587890179,4484,4484
1587892095,4496,4496
1587894028,4516,4516
1587895935,2550,2550
1587897849,2548,2548
1587899777,3537,3537
1587901696,3540,3540
1587903608,3507,3507
1587905835,3491,3491
1587907807,3481,3481
1587909930,3481,3481
1587911770,3469,3469
1587913949,3459,3459
1587915849,3448,3448
1587917769,3515,3515
1587919692,3515,3515
1587921818,3509,3509
1587923773,3510,3510
1587925686,3510,3510
1587927617,3529,3529
1587929542,3577,3577
1587931457,3592,3592
1587933370,3599,3599
1587935299,3606,3606
1587937237,3638,3638
1587939132,3648,3648
1587941050,3656,3656
1587942975,4527,4527
1587944886,4529,4529
1587946815,4529,4529
1587948726,4531,4531
1587950651,4537,4537
1587952575,4559,4559
1587954487,4555,4555
1587956429,4565,4565
1587958333,4551,4551
1587960496,4581,4581
1587962412,4583,4583
1587964340,4596,4596
1587966743,4601,4601
1587968650,4613,4613
1587970577,4593,4593
1587972487,4612,4612
1587974416,4623,4623
1587976333,4639,4639
1587978256,4640,4640
1587980424,4643,4643
1587982343,2335,2335
1587984259,2356,2356
1587986417,3455,3455
1587988326,3442,3442
1587990253,3442,3442
1587992175,3423,3423
1587994087,3423,3423
1587996025,3398,3398
1587997934,3385,3385
1587999860,3385,3385
1588001782,3377,3377
1588003692,3339,3339
1588005610,3342,3342
1588007537,3331,3331
1588009447,3342,3342
1588011365,3322,3322
1588013294,3299,3299
1588015207,3315,3315
1588017127,3319,3319
1588019059,3318,3318
1588020967,3333,3333
1588022885,3329,3329
1588024854,3334,3334
1588026740,3364,3364
1588028662,4388,4388
1588030589,4398,4398
1588032743,4399,4399
1588034648,4408,4408
1588036572,4400,4400
1588038495,4414,4414
1588040419,4414,4414
1588042331,4409,4409
1588044255,4415,4415
1588046164,4386,4386
1588048088,4377,4377
1588050020,4377,4377
1588051949,4391,4391
1588053860,4394,4394
1588055779,4387,4387
1588057696,4377,4377
1588059610,4387,4387
1588061541,4406,4406
1588063448,4417,4417
1588065368,4424,4424
1588067294,4435,4435
1588069205,2331,2331
1588071128,2346,2346
1588073055,3372,3372
1588075020,3357,3357
1588076890,3364,3364
1588078815,3362,3362
1588080732,3353,3353
1588082900,3351,3351
1588084817,3350,3350
1588086736,3376,3376
1588088658,3374,3374
1588090573,3378,3378
1588092485,3368,3368
1588094416,3376,3376
1588096327,3371,3371
1588098249,3380,3380
1588100173,3379,3379
1588102084,3407,3407
1588104017,3436,3436
1588105942,3442,3442
1588107850,3450,3450
1588109768,3458,3458
1588111698,3463,3463
1588113611,3451,3451
1588115529,4378,4378
1588117460,4362,4362
1588119606,4365,4365
1588121528,4346,4346
1588123456,4325,4325
1588125365,4308,4308
1588127286,4314,4314
1588129229,4329,4329
1588131131,4342,4342
1588133058,4351,4351
1588134977,4356,4356
1588136922,4372,4372
1588138809,4373,4373
1588140742,4391,4391
1588142647,4399,4399
1588144565,4411,4411
1588146493,4405,4405
1588148404,4422,4422
1588150327,4440,4440
