DateTime,AddedIPs,RemovedIPs
1581006018,15,0
1581020660,5,1
1581035287,10,1
1581049929,14,1
1581064578,8,0
1581079205,9,0
1581093847,10,1
1581108498,8,0
1581123151,8,2
1581137768,10,0
1581152415,6,0
1581167308,9,2
1581181926,15,3
1581196567,14,1
1581211206,11,1
1581225862,5,1
1581240732,10,1
1581255378,5,1
1581270006,10,1
1581284661,4,1
1581299298,18,1
1581313925,11,1
1581328565,12,2
1581343220,4,0
1581358094,7,1
1581372746,13,1
1581387369,12,1
1581402006,9,0
1581416649,6,5
1581431286,9,1
1581445943,7,6
1581460568,6,3
1581475205,14,0
1581489860,9,0
1581504489,10,0
1581519125,14,1
1581533766,5,1
1581548427,16,0
1581563391,8,3
1581577926,15,0
1581592566,18,4
1581607206,14,6
1581621850,7,6
1581636488,15,1
1581651127,14,1
1581665766,6,3
1581680405,6,0
1581695051,7,0
1581709694,8,4
1581724324,7,1
1581738964,9,0
1581753626,3,1
1581768246,4,1
1581782887,9,1
1581797538,6,1
1581812167,10,0
1581826827,10,0
1581841446,8,0
1581856089,17,1
1581870739,5,1
1581885366,13,0
1581900007,20,1
1581914663,9,2
1581929284,14,1
1581943924,15,3
1581958564,24,0
1581973233,8,1
1581988092,12,1
1582002745,14,1
1582017365,10,2
1582032005,14,2
1582046660,13,2
1582061298,13,1
1582075931,7,3
1582090579,11,0
1582105220,9,1
1582119860,9,2
1582134494,11,4
1582149135,9,1
1582163766,7,2
1582178418,6,0
1582193305,9,1
1582207928,8,2
1582222572,9,0
1582237205,8,2
1582251859,5,0
1582266739,15,1
1582281380,7,2
1582296006,9,0
1582310649,13,1
1582325303,9,1
1582339926,13,0
1582354565,9,2
1582369219,18,0
1582383851,11,2
1582398505,13,1
1582413142,5,0
1582427771,8,1
1582442406,7,2
1582457058,8,3
1582471929,4,0
1582486586,4,1
1582515846,1,1
1582530498,1,1
1582559779,1,2
1582574423,0,2
1582589298,2,3
1582633219,0,10
1582647847,4,0
1582662489,1,0
1582677131,1,2
1582691778,6,1
1582706405,3,0
1582721051,3,1
1582735685,6,1
1582750326,1,0
1582764978,2,2
1582779626,1,2
1582794249,1,1
1582808892,1,1
1582838168,4,0
1582852818,1,0
1582882089,1,0
1582911366,1,0
1582926006,1,0
1582940662,3,0
1582955286,3,1
1582969927,1,0
1582984567,3,0
1583014102,2,0
1583028726,0,1
1583043365,2,0
1583058017,2,4
1583072664,2,5
1583087286,2,0
1583101930,5,0
1583116567,1,1
1583131209,2,0
1583145864,5,2
1583160486,2,2
1583175131,5,0
1583189765,1,3
1583204410,2,1
1583219076,3,1
1583233694,0,5
1583248575,5,0
1583263205,5,2
1583277850,3,1
1583292485,1,0
1583307127,0,1
1583321770,0,3
1583336405,0,2
1583351053,2,1
1583365684,0,1
1583380328,3,0
1583394965,2,0
1583424490,0,3
1583439130,2,1
1583453771,2,1
1583468407,1,1
1583483047,2,2
1583497687,3,127
1583512330,1,0
1583526966,0,15
1583541605,2,1
1583556249,2,0
1583570886,0,1
1583585527,1,0
1583600168,4,2
1583614813,0,2
1583629711,0,1
1583644327,1,0
1583658986,1,1
1583673630,1,0
1583688246,2,0
1583702915,1,0
1583717549,4,0
1583732165,2,1
1583761448,3,1
1583776095,0,1
1583790749,0,5
1583805366,1,1
1583820016,1,1
1583834648,7,3
1583849291,3,8
1583863929,3,1
1583878565,1,1
1583893206,10,0
1583907847,7,6
1583922488,1,2
1583951766,0,7
1583966407,2,1
1583981055,4,0
1583995687,6,0
1584010329,2,1
1584039635,3,1
1584054247,0,9
1584068891,0,6
1584083525,3,1
1584098170,0,3
1584112807,1,4
1584127448,2,0
1584142085,23,0
1584156734,17,3
1584171366,20,0
1584186009,10,1
1584200645,17,2
1584215288,21,3
1584229932,19,0
1584244565,15,2
1584259212,39,3
1584273847,23,1
1584288510,17,0
1584303132,13,2
1584317773,33,0
1584332405,44,1
1584347046,27,1
1584361691,27,1
1584376340,21,4
1584390985,29,1
1584405605,14,2
1584420250,31,1
1584434910,19,2
1584449552,18,3
1584464166,19,1
1584478822,27,2
1584493448,35,0
1584508090,50,0
1584522749,36,0
1584537369,47,0
1584552020,47,2
1584566646,28,0
1584581286,40,2
1584595940,31,3
1584610812,32,3
1584625459,34,2
1584640090,29,1
1584654725,31,1
1584669378,25,3
1584684008,27,3
1584698894,27,1
1584713526,12,2
1584728166,29,1
1584742822,26,0
1584757448,32,0
1584772090,26,2
1584786741,28,1
1584801610,40,0
1584816258,21,0
1584830899,55,0
1584845529,36,1
1584860165,12,0
1584874816,29,0
1584889454,16,0
1584904101,12,3
1584918735,38,4
1584933368,11,1
1584948017,17,3
1584962652,14,1
1584977285,26,1
1584991928,7,2
1585006577,18,1
1585021207,20,1
1585035847,11,1
1585050490,13,2
1585065129,16,0
1585079777,22,0
1585094417,7,1
1585109298,20,2
1585123927,31,0
1585138577,24,1
1585153209,19,2
1585167860,46,0
1585182487,13,0
1585197133,41,2
1585211777,31,2
1585226404,31,2
1585241050,19,1
1585255701,19,2
1585270335,20,1
1585284966,17,0
1585299608,17,4
1585314247,18,2
1585328897,18,4
1585343525,26,2
1585358166,16,1
1585372806,30,3
1585387458,17,1
1585402097,12,5
1585416727,10,2
1585431376,46,0
1585446007,31,2
1585460648,18,0
1585475287,27,1
1585489932,17,2
1585504575,21,0
1585519213,13,1
1585534342,21,2
1585548967,33,0
1585563606,27,0
1585578282,39,0
1585592887,19,1
1585607540,23,1
1585622178,29,0
1585636822,7,1
1585651448,27,0
1585666229,27,0
1585681008,37,1
1585695611,26,0
1585710489,22,0
1585725133,18,1
1585739782,34,1
1585754405,10,0
1585769060,22,0
1585783689,15,0
1585798334,19,0
1585812976,20,2
1585827606,12,0
1585842257,42,0
1585856901,34,0
1585871531,5,1
1585886209,30,1
1585900808,13,0
1585915448,12,0
1585930099,20,2
1585944735,13,1
1585959368,16,0
1585974017,15,2
1585988645,8,3
1586003318,18,13
1586017946,17,0
1586032571,17,0
1586047208,19,1
1586061857,13,0
1586076486,44,1
1586091132,32,1
1586105765,23,2
1586120407,13,1
1586135287,32,1
1586150171,38,3
1586164804,25,0
1586179459,38,1
1586194090,25,0
1586208729,26,1
1586223368,31,0
1586238006,20,0
1586252651,11,0
1586267299,22,3
1586281925,21,1
1586296568,35,1
1586311218,5,0
1586325848,18,2
1586340486,15,1
1586355139,16,1
1586370010,16,1
1586384659,16,1
1586399290,37,0
1586413927,29,1
1586428567,29,0
1586443207,23,1
1586457859,24,1
1586472497,18,1
1586487130,17,1
1586501776,26,0
1586516419,11,0
1586531054,30,0
1586545688,34,0
1586560328,20,0
1586574969,11,1
1586589607,13,1
1586604253,12,90
1586618898,12,0
1586633528,14,1
1586648175,26,1
1586662806,18,0
1586677445,12,1
1586692084,15,2
1586706728,18,1
1586721367,17,1
1586736013,31,1
1586750649,15,0
1586765293,23,1
1586779943,24,0
1586794575,13,2
1586809219,15,2
1586823888,9,0
1586838484,31,3
1586853137,21,0
1586867766,21,1
1586882408,20,2
1586897050,23,2
1586911695,31,0
1586926331,18,0
1586940966,27,1
1586955608,10,1
1586970248,10,2
1586984893,21,1
1586999534,26,2
1587014169,29,1
1587029059,23,3
1587043685,33,0
1587058325,23,0
1587072974,38,0
1587087607,36,1
1587102255,43,1
1587116887,26,1
1587131527,25,0
1587146203,17,0
1587160804,34,0
1587175447,23,2
1587190342,26,1
1587204966,27,2
1587219608,29,0
1587234255,21,1
1587248888,24,3
1587263530,26,0
1587278183,37,1
1587292805,49,1
1587307447,42,1
1587322086,28,0
1587336725,43,0
1587351405,30,1
1587366024,45,2
1587381066,16,1
1587396007,42,3
1587410661,24,0
1587425286,43,1
1587439926,33,0
1587454575,27,0
1587469205,31,0
1587483857,31,0
1587498727,53,2
1587513366,31,8
1587528016,36,0
1587542650,105,4
1587557299,14,1
1587571938,18,1
1587586568,36,2
1587601205,37,0
1587615859,16,1
1587630487,12,4
1587645128,14,1
1587659770,22,0
1587674423,12,0
1587689054,22,0
1587703687,25,2
1587718325,21,0
1587732973,23,2
1587747608,20,0
1587762257,18,0
1587776899,16,0
1587791524,23,0
1587806172,14,3
1587820808,15,1
1587835462,4,3
1587850087,8,1
1587864728,15,1
1587879375,16,5
1587894021,14,1
1587908774,13,0
1587923527,2,1
1587938166,34,1
1587952810,22,2
1587967704,25,0
1587982333,15,0
1587997212,22,0
1588011859,9,0
1588026730,28,1
1588041380,19,0
1588056006,31,0
1588070648,23,2
1588085290,19,0
1588099928,31,0
1588114574,12,1
1588129221,22,2
1588144094,14,2
1588158729,16,3
1588173371,18,0
1588188014,10,5
1588202650,28,0
1588217293,6,1
1588231929,13,5
1588246577,13,0
1588261208,13,1
1588275854,13,0
1588290493,22,1
1588305130,11,0
1588319765,20,0
1588334416,13,0
1588349300,8,0
1588363926,12,1
1588378569,18,0
1588393211,27,0
1588407851,15,1
1588422492,28,0
1588437127,21,1
1588451777,13,0
1588466412,22,1
1588481058,20,1
1588495696,20,1
