DateTime,AddedIPs,RemovedIPs
1588029122,2,7
1588030921,3,1
1588031521,1,12
1588032122,3,0
1588033322,3,8
1588033921,3,5
1588034521,2,0
1588035122,5,5
1588035721,5,0
1588036321,1,6
1588037521,4,0
1588038121,3,5
1588039321,7,3
1588041122,1,0
1588041722,0,7
1588042322,1,0
1588042921,0,2
1588044122,1,2
1588045322,3,6
1588046522,2,4
1588047122,1,5
1588047722,2,0
1588048922,2,12
1588049521,2,0
1588050121,4,5
1588050721,3,0
1588051921,1,0
1588052521,1,0
1588053721,7,13
1588054321,0,6
1588055521,6,0
1588056121,3,5
1588056721,1,0
1588057921,1,2
1588058521,2,0
1588059121,1,3
1588060322,3,5
1588060921,2,0
1588062121,4,3
1588062721,0,3
1588063921,1,0
1588065122,31,5
1588066321,1,2
1588066921,4,0
1588067521,2,0
1588068721,2,0
1588069321,1,0
1588069921,0,4
1588071121,4,1
1588072921,0,2
1588073521,0,2
1588075321,3,5
1588075921,1,2
1588076521,7,0
1588077121,1,1
1588078921,3,1
1588079522,1,0
1588080721,1,1
1588081922,4,2
1588082521,1,0
1588083121,0,1
1588083721,2,0
1588084921,0,1
1588086121,0,1
1588086721,0,3
1588087321,0,1
1588087922,3,3
1588090321,2,2
1588091522,0,1
1588092122,2,1
1588092722,4,0
1588093921,0,4
1588094521,1,1
1588095721,0,3
1588097521,0,3
1588098722,4,0
1588099921,0,3
1588100521,4,1
1588101721,2,2
1588102922,0,5
1588103521,1,0
1588104121,4,2
1588105321,0,3
1588105922,2,0
1588106522,5,1
1588107121,1,0
1588107721,0,3
1588108922,2,0
1588109522,1,0
1588110121,1,0
1588111321,4,3
1588111921,0,1
1588113121,1,1
1588113721,6,2
1588114322,1,6
1588114921,4,4
1588115521,2,0
1588116721,2,3
1588117321,3,0
1588118521,7,0
1588119121,7,3
1588120321,0,9
1588121522,2,2
1588122721,4,7
1588123921,2,5
1588124521,1,0
1588125721,2,4
1588126921,3,0
1588128121,0,6
1588128721,4,0
1588129921,1,0
1588130521,2,4
1588131721,3,0
1588132321,1,3
1588134121,8,1
1588135321,2,2
1588135921,2,0
1588136521,0,1
1588137721,1,4
1588138321,2,9
1588138921,1,1
1588140121,3,6
1588141321,2,4
1588141921,2,6
1588143121,3,0
1588143721,0,4
1588144921,1,6
1588147321,5,6
1588147921,0,1
1588149121,2,3
1588149721,3,0
1588150321,3,0
1588150921,0,2
1588151521,2,0
1588152722,1,1
1588153322,0,1
1588154521,1,3
1588155721,5,0
1588156321,2,1
1588156921,2,0
1588158122,2,0
1588159321,0,1
1588160521,0,2
1588161722,3,0
1588162321,2,0
1588162921,1,0
1588164121,0,3
1588165321,1,0
1588165921,1,0
1588166522,3,0
1588167121,1,0
1588168322,1,0
1588168921,1,1
1588169521,1,0
1588170121,0,3
1588171921,4,0
1588172522,0,4
1588173122,2,0
1588173721,1,1
1588174321,2,0
1588174921,1,2
1588176122,1,0
1588176721,1,6
1588177321,2,0
1588177922,1,0
1588178521,2,0
1588180921,3,2
1588182122,3,4
1588182721,1,0
1588183321,2,1
1588183921,1,0
1588184521,0,2
1588185722,1,3
1588186921,2,0
1588187522,0,3
1588188721,2,1
1588189321,2,0
1588190521,2,1
1588191721,6,4
1588192921,2,3
1588193521,1,0
1588195321,3,4
1588195922,1,0
1588197121,4,2
1588197721,0,1
1588198321,4,0
1588198921,1,10
1588200121,1,0
1588201321,1,2
1588202522,1,0
1588203121,0,5
1588203721,2,2
1588204922,1,5
1588205521,1,0
1588206721,0,3
1588207921,3,0
1588208521,1,2
1588209121,1,3
1588210321,1,0
1588210922,0,4
1588212121,0,2
1588213921,0,9
1588214521,0,5
1588215722,7,0
1588216322,0,5
1588216921,4,6
1588217521,0,3
1588218121,1,4
1588218721,1,2
1588220521,5,0
1588221121,2,2
1588222321,1,1
1588222921,1,1
1588224121,1,4
1588224721,1,0
1588225922,0,3
1588227721,1,3
1588228921,2,8
1588229521,1,0
1588230121,1,12
1588232521,1,1
1588233121,0,1
1588233722,1,3
1588234921,2,1
1588236121,0,2
1588239121,1,1
1588240921,5,1
1588241521,2,0
1588242121,3,1
1588243321,1,1
1588243921,1,0
1588244521,2,2
1588245721,3,5
1588246922,1,0
1588248121,2,0
1588249921,1,1
1588251121,0,1
1588252321,56,5
1588253521,3,0
1588254121,3,0
1588255321,1,0
1588255921,1,2
1588256521,1,0
1588257121,1,1
1588257721,1,0
1588258921,2,1
1588259521,5,0
1588260121,1,0
1588260721,1,0
1588261921,0,3
1588263721,1,0
1588266121,1,4
1588267922,1,6
1588269121,2,2
1588270321,1,0
1588271522,2,0
1588273321,0,3
1588273922,2,0
1588275122,0,2
1588276321,1,3
1588276921,1,0
1588278121,1,4
1588279322,4,0
1588280521,1,2
1588281721,1,3
1588282321,1,0
1588282921,3,0
1588283521,0,4
1588284122,2,0
1588284722,1,2
1588286521,3,0
1588287721,3,6
1588288321,3,2
1588289521,0,4
1588290122,4,2
1588290721,1,0
1588291922,0,14
1588293122,1,0
1588294321,3,4
1588294921,2,1
1588296121,1,2
1588297321,5,7
1588297922,6,1
1588299721,1,0
1588300921,3,2
1588301522,0,4
1588303321,4,0
1588303921,0,4
1588305122,2,1
1588305721,1,1
1588306921,2,0
1588308121,1,0
1588308722,1,0
1588309321,1,0
1588310522,5,2
1588312321,2,2
1588312922,3,4
1588314121,2,1
1588315322,8,3
1588315921,1,0
1588316521,1,0
1588317722,2,16
1588318322,2,2
1588318921,2,0
1588319521,0,4
1588320721,4,0
1588321321,2,0
1588321921,3,1
1588323121,1,0
1588323721,1,2
1588324322,0,3
1588325521,0,3
1588326721,3,0
1588327321,3,2
1588327921,2,0
1588328521,1,0
1588329121,1,3
1588329721,0,1
1588330321,1,2
1588332121,2,2
1588332721,2,0
1588333922,3,1
1588334521,2,0
1588336321,0,5
1588338121,2,8
1588339321,2,3
1588340521,4,1
1588342321,5,5
1588343521,0,2
1588344721,2,10
1588345321,1,11
1588345921,1,0
1588346521,3,0
1588347721,5,4
1588348321,8,0
1588348922,6,2
1588349521,4,0
1588350121,0,1
1588350721,2,0
1588351322,1,1
1588351921,18,0
1588352521,0,1
1588353122,3,3
1588353721,3,0
1588354321,7,0
1588354921,2,3
1588355522,5,0
1588356122,1,3
1588357321,9,0
1588358521,1,3
1588359121,6,0
1588360922,2,7
1588361521,8,1
1588362121,2,0
1588363321,11,6
1588364521,5,0
1588365722,0,15
1588366921,1,0
1588368122,6,5
1588369322,7,10
1588370521,8,0
1588371721,2,0
1588372322,6,4
1588373522,0,1
1588374121,1,0
1588375321,5,4
1588376522,4,4
1588377721,0,1
1588378921,3,7
1588380721,1,2
1588381322,2,0
1588381922,0,3
1588383121,5,1
1588383721,2,0
1588384921,0,1
1588386122,4,0
1588387322,3,2
1588388521,6,8
1588389721,6,4
1588390321,2,0
1588390922,3,0
1588392122,2,6
1588392721,9,6
1588393921,8,0
1588394521,2,0
1588395122,1,2
1588395721,1,0
1588396321,0,2
1588396921,3,0
1588397521,5,4
1588398121,8,1
1588399321,4,1
1588399921,4,0
1588400521,23,0
1588401722,3,0
1588402922,3,5
1588403521,0,2
1588404121,0,1
1588404721,1,2
1588405921,4,2
1588406521,1,0
1588407121,2,1
1588408321,3,8
1588409522,1,0
1588410121,0,2
1588411321,1,9
1588413121,0,1
1588414322,2,1
1588414921,1,0
1588416121,5,4
1588416721,1,0
1588417321,11,0
1588418521,6,0
1588419121,2,6
1588419721,1,0
1588420321,1,0
1588420922,1,1
1588421521,2,2
1588422721,1,0
1588423321,3,2
1588423921,3,0
1588425121,1,3
1588426321,1,0
1588426922,1,2
1588428122,0,3
1588429321,2,8
1588429921,1,0
1588431122,4,1
1588431721,2,0
1588432922,6,0
1588434121,3,1
1588435322,2,5
1588435922,1,2
1588437122,3,9
1588437721,1,3
1588438321,8,0
1588439522,1,0
1588440721,1,2
1588441321,2,0
1588441921,2,1
1588443122,2,0
1588444321,0,3
1588446121,0,2
1588446721,0,4
1588447321,0,1
1588447921,3,1
1588449121,8,2
1588450322,8,1
1588451521,5,3
1588452121,5,2
1588453321,3,5
1588453922,1,3
1588455121,1,2
1588455722,5,0
1588456921,11,5
1588459321,8,1
1588460522,5,0
1588461121,4,2
1588462321,0,1
1588462921,4,0
1588464121,6,2
1588464722,4,0
1588465922,4,1
1588466521,5,0
1588467121,19,3
1588467721,2,4
1588468921,11,2
1588470122,2,2
1588470721,4,3
1588471321,0,3
1588471921,1,0
1588472522,6,0
1588473722,15,0
1588474321,21,0
1588474922,4,0
1588476122,6,1
1588477321,2,2
1588478521,1,3
1588479722,0,1
1588480921,1,0
1588482121,6,2
1588483322,4,4
1588483921,1,0
1588484521,5,0
1588485721,5,3
1588486321,3,0
1588488121,4,3
1588489322,4,3
1588490521,15,0
1588491721,1,1
1588492921,2,3
1588494122,1,0
1588495322,3,0
1588495921,1,0
1588496521,2,3
1588497721,1,1
1588498322,1,0
1588498921,0,1
1588499521,0,1
1588500721,3,3
