DateTime,AddedIPs,RemovedIPs
1583276604,3,1
1583280204,5,3
1583283745,13,6
1583287404,3,0
1583290943,3,0
1583294604,4,0
1583301803,0,1
1583330604,0,1
1583337804,1,0
1583341404,1,1
1583348604,1,2
1583352204,1,1
1583363004,1,1
1583370204,1,2
1583373744,3,0
1583377404,0,1
1583391744,0,1
1583393245,0,1
1583399006,0,1
1583402545,1,1
1583409746,0,1
1583413345,1,0
1583424145,1,1
1583431346,0,2
1583435005,0,2
1583438605,0,3
1583449405,1,1
1583453005,1,1
1583456605,0,1
1583460147,0,1
1583463806,1,3
1583470946,2,2
1583478206,0,1
1583481806,0,1
1583489006,0,4
1583492606,1,1
1583496146,1,2
1583499746,3,1
1583503347,2,1
1583507006,1,1
1583510607,0,1
1583517807,0,2
1583521407,0,3
1583528606,0,1
1583532206,1,0
1583535806,1,0
1583539406,2,1
1583550208,0,1
1583553807,0,1
1583557347,0,1
1583561007,0,1
1583568207,1,0
1583571748,0,1
1583575348,2,3
1583578947,1,0
1583582608,0,1
1583589748,0,1
1583593407,1,1
1583596948,1,0
1583600608,6,0
1583604148,1,0
1583607807,0,1
1583618608,0,1
1583625808,1,0
1583629408,1,1
1583636548,0,2
1583640148,0,2
1583643748,1,1
1583647408,1,0
1583650948,1,2
1583654608,3,1
1583658150,2,0
1583661749,1,1
1583665348,1,2
1583676208,1,1
1583683409,2,3
1583690550,1,4
1583694150,0,1
1583697749,3,3
1583701349,2,3
1583705010,0,3
1583708609,5,1
1583715749,1,1
1583719409,5,0
1583733810,1,1
1583737409,1,1
1583740950,2,0
1583744549,1,0
1583751811,0,1
1583755409,1,2
1583759009,1,3
1583762065,69,95
1583768866,1,0
1583775674,2,0
1583779068,1,0
1583782499,1,0
1583789294,1,0
1583802955,1,0
1583815682,1,0
1583819102,2,0
1583839678,2,0
1583843093,1,0
1583846495,1,0
1583860343,2,0
1583905574,1,0
1583908789,1,0
1583912204,1,0
1583919101,1,0
1583925966,1,0
1583955427,1,0
1583972549,1,0
1584029845,2,12
1584033318,1,48
1584036761,1,0
1584046750,1,0
1584053669,1,0
1584060585,2,0
1584069874,6,0
1584073386,1,0
1584076848,5,0
1584083780,3,0
1584100060,1,0
1584113958,1,0
1584134797,1,0
1584141718,1,0
1584157992,2,0
1584164918,2,0
1584178812,1,0
1584185827,1,0
1584192781,1,0
1584199776,1,0
1584206668,1,0
1584213614,2,0
1584250692,2,0
1584263453,2,0
1584270370,1,0
1584284421,1,0
1584291411,1,0
1584312292,1,0
1584326090,1,0
1584333006,1,0
1584349245,13,0
1584356688,138,0
1584360631,5,0
1584364554,3,0
1584384525,4,0
1584391994,1,0
1584399677,15,0
1584403529,2,0
1584409867,7,0
1584413791,3,0
1584421196,1,0
1584428196,1,0
1584441313,1,0
1584448405,1,0
1584462370,1,0
1584469351,1,0
1584485643,1,0
1584494938,1,0
1584504200,1,0
1584507629,1,0
1584511067,1,0
1584531884,1,0
1584542232,1,0
1584545662,1,0
1584552552,1,0
1584568307,2,0
1584595534,2,0
1584633497,1,0
1584641166,1,0
1584649156,2,0
1584664772,7,0
1584668675,1,0
1584672613,10,0
1584680471,1,0
1584698686,1,0
1584706555,1,0
1584730202,1,0
1584738099,1,0
1584753795,2,0
1584769604,2,0
1584777484,1,0
1584781425,3,0
1584785365,2,0
1584796656,2,0
1584808442,2,0
1584812419,1,0
1584820300,1,0
1584832325,1,0
1584848395,1,0
1584852356,1,0
1584864324,1,0
1584878624,1,0
1584890414,1,0
1584905395,1,0
1584909346,1,0
1584917372,1,0
