DateTime,AddedIPs,RemovedIPs
1586313181,1,0
1586316782,2,1
1586320381,0,2
1586323982,2,0
1586327581,3,0
1586331181,2,1
1586334781,2,5
1586338381,1,0
1586341981,1,0
1586345582,2,0
1586349181,2,0
1586352781,4,0
1586356382,1,8
1586359981,2,0
1586363581,2,2
1586367181,5,0
1586370781,3,0
1586374381,2,2
1586377981,3,0
1586381581,1,2
1586385182,5,0
1586388781,3,1
1586392381,3,0
1586395981,1,4
1586399581,2,0
1586403182,0,1
1586410381,0,1
1586413981,2,0
1586417582,1,1
1586421181,2,4
1586424781,2,1
1586428382,1,0
1586431981,1,6
1586435581,0,2
1586439182,2,1
1586446381,1,7
1586449981,1,0
1586457182,2,0
1586460781,1,1
1586464381,1,0
1586467982,2,1
1586471581,4,0
1586475181,2,0
1586478781,0,2
1586482381,1,0
1586485982,3,1
1586489581,0,1
1586493181,3,0
1586496782,4,0
1586500381,2,1
1586503981,1,3
1586507581,1,0
1586511181,2,3
1586518381,0,1
1586521981,2,0
1586525582,1,2
1586529181,1,0
1586532782,0,2
1586536381,1,0
1586539982,0,1
1586543581,2,3
1586550782,2,0
1586557982,2,0
1586561582,0,1
1586568781,0,1
1586572381,1,0
1586579581,1,0
1586586781,0,5
1586593981,1,1
1586597581,4,1
1586601182,2,1
1586604781,0,1
1586608381,1,2
1586615582,1,3
1586619181,1,2
1586622781,2,5
1586629981,1,1
1586633582,0,1
1586637181,2,0
1586640782,0,2
1586644381,1,0
1586651582,2,3
1586662381,0,3
1586665981,1,0
1586669582,2,0
1586673182,3,2
1586676781,1,2
1586680381,1,0
1586691181,0,1
1586694782,1,1
1586698381,2,4
1586701981,2,0
1586705581,0,3
1586712781,3,1
1586716382,1,0
1586719982,1,0
1586723582,0,2
1586727181,1,0
1586730781,1,4
1586737981,1,3
1586745181,4,1
1586748781,0,3
1586752381,1,2
1586755982,3,3
1586759581,3,0
1586763181,5,1
1586766781,1,0
1586770381,0,1
1586773981,2,3
1586777581,0,2
1586781181,0,1
1586784782,3,1
1586788381,0,1
1586791982,2,0
1586795581,3,5
1586799181,1,2
1586802782,2,0
1586806381,0,1
1586809981,0,1
1586813581,1,0
1586817181,1,0
1586820781,0,4
1586827981,0,1
1586831581,0,3
1586835181,0,4
1586838782,0,2
1586842381,0,3
1586845981,4,0
1586849582,0,1
1586853182,1,2
1586856782,1,3
1586860382,3,0
1586863981,0,3
1586867582,0,1
1586871182,0,5
1586874781,0,2
1586878381,5,5
1586885582,0,9
1586889181,2,7
1586892781,3,5
1586896381,1,0
1586899981,1,6
1586903582,1,1
1586910781,0,2
1586914381,0,4
1586917981,0,1
1586921581,0,2
1586925182,0,1
1586928782,0,1
1586932382,0,3
1586939582,2,4
1586943181,1,2
1586946781,0,1
1586950381,2,2
1586953982,1,0
1586957581,1,5
1586961181,1,2
1586964782,0,6
1586968381,4,0
1586971981,3,9
1586975582,2,2
1586979181,3,2
1586982781,1,2
1586986381,0,1
1586989982,1,2
1586993581,3,1
1586997182,0,1
1587000781,0,2
1587004381,3,0
1587007981,1,4
1587011582,1,3
1587018782,1,3
1587022382,2,0
1587025982,2,1
1587029581,1,4
1587033182,0,4
1587036782,0,2
1587040381,1,0
1587043981,1,2
1587047581,0,1
1587051182,1,0
1587054781,2,1
1587058382,4,0
1587061982,2,0
1587065582,2,2
1587076382,0,1
1587079981,4,3
1587083581,5,0
1587087182,1,1
1587090782,2,3
1587094381,1,0
1587101581,0,1
1587105181,0,5
1587108782,0,2
1587112382,1,0
1587119581,2,6
1587123182,4,0
1587126782,1,3
1587130382,2,0
1587133982,1,5
1587137581,1,0
1587141181,1,4
1587144781,1,0
1587148381,2,1
1587162781,0,1
1587169982,0,2
1587173582,1,0
1587177181,3,1
1587180781,1,0
1587184382,0,3
1587187981,1,2
1587195181,1,0
1587198781,2,4
1587202381,1,1
1587205982,1,2
1587209582,0,1
1587213182,0,4
1587216782,2,0
1587220381,0,3
1587223982,1,1
1587227581,1,3
1587231182,2,2
1587234781,2,3
1587241981,2,4
1587245582,1,2
1587249182,3,0
1587252782,1,2
1587256382,0,1
1587259981,3,1
1587267181,2,1
1587270782,2,3
1587277981,3,4
1587285182,2,2
1587288782,2,2
1587292381,0,4
1587295981,1,2
1587299581,1,2
1587303181,1,0
1587306781,2,3
1587310381,1,0
1587313982,3,1
1587317581,4,7
1587324781,1,3
1587328382,1,0
1587331982,1,0
1587335582,2,0
1587339181,3,1
1587342782,1,0
1587346381,1,0
1587349982,1,3
1587357181,0,1
1587360781,2,1
1587364381,0,3
1587367982,3,2
1587371582,2,4
1587378781,0,1
1587385981,0,4
1587389581,0,2
1587393181,0,1
1587396781,2,0
1587400381,2,0
1587403982,0,2
